company_code,account_code,name,description,account_class,account_type,is_open_item_mgmt,consolidation_account_code,qbo_parent_account_code,qbo_account_type,qbo_account_subtype,system_source,is_active
T300,1101010,Cash,현금,ASSET,GENERAL,N,111111,,Bank,CashOnHand,ABC,Y
T300,1101030,Cash on hand (Petty cash),소액현금,ASSET,GENERAL,N,111111,,Bank,CashOnHand,ABC,Y
T300,1103001,Current Deposits (1),당좌예금(1),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T300,1103002,Current Deposits (2),당좌예금(2),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T300,1103003,Current Deposits (3),당좌예금(3),ASSET,GENERAL,N,111112,,Bank,Checking,ABC,Y
T300,1105001,Deposits on Demand (1),보통예금(1),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T300,1105002,Deposits on Demand (2),보통예금(2),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T300,1105003,Deposits on Demand (3),보통예금(3),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T300,1105004,Deposits on Demand (4),보통예금(4),ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T300,1105005,Outstanding check,미결제수표,ASSET,GENERAL,N,111113,,Bank,Checking,ABC,Y
T300,1117100,Accounts Receivable - Service,외상매출금-용역수입,ASSET,CUSTOMER,Y,111312,,Accounts Receivable,AccountsReceivable,ABC,Y
T300,1118030,Allowance for bad debt - AR,대손충당금(외상매출금),ASSET,GENERAL,N,111314,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T300,1126010,OTHER RECEIVABLES,미수금,ASSET,GENERAL,Y,111320,,Accounts Receivable,AccountsReceivable,ABC,Y
T300,1127010,Allowance for bad debt - Other Receivable,대손충당금(미수금),ASSET,GENERAL,N,111322,,Other Current Asset,AllowanceForBadDebts,ABC,Y
T300,1131010,Advance Payment,선급금,ASSET,GENERAL,N,111511,,Accounts Payable,AccountsPayable,ABC,Y
T300,1134010,Prepaid expense,선급비용,ASSET,GENERAL,N,111513,,Other Current Asset,PrepaidExpenses,ABC,Y
T300,1136010,Prepaid Goods and services tax (GST),부가세대급금,ASSET,GENERAL,N,111514,,Other Current Asset,OtherCurrentAssets,ABC,Y
T300,1138010,Prepaid taxes,선급법인세,ASSET,GENERAL,N,111411,,Other Current Asset,OtherCurrentAssets,ABC,Y
T300,1328010,(A) Security deposit,임차보증금,ASSET,GENERAL,N,121221,,Other Asset,SecurityDeposits,ABC,Y
T300,1328020,(A) Security deposit - Present Value Discounts,현재가치할인차금-임차보증금,ASSET,GENERAL,N,121222,,Other Asset,OtherLongTermAssets,ABC,Y
T300,1348010,Deferred tax assets,이연법인세자산(고정),ASSET,GENERAL,N,121611,,Other Asset,OtherLongTermAssets,ABC,Y
T300,2101010,Trade accounts payable,외상매입금,LIABILITY,GENERAL,N,211211,,Accounts Payable,AccountsPayable,ABC,Y
T300,2105010,Short-term loan,단기차입금,LIABILITY,GENERAL,N,211311,,Other Current Liability,LoanPayable,ABC,Y
T300,2105011,Short-term loan (foreign),단기차입금(해외),LIABILITY,GENERAL,N,211312,,Other Current Liability,LoanPayable,ABC,Y
T300,2107010,Other accounts payable,미지급금,LIABILITY,GENERAL,N,211212,,Accounts Payable,AccountsPayable,ABC,Y
T300,2107020,Other accounts payable - Payroll,미지급금-급여,LIABILITY,GENERAL,N,211212,,Other Current Liability,PayrollClearing,ABC,Y
T300,2109010,Accrued expenses,미지급비용,LIABILITY,GENERAL,N,211213,,Other Current Liability,OtherCurrentLiabilities,ABC,Y
T300,2109012,Accrued expenses - annual allowance,미지급비용(연차-보상분),LIABILITY,GENERAL,N,211213,,Other Current Liability,OtherCurrentLiabilities,ABC,Y
T300,2111010,Advances from customers,선수금,LIABILITY,GENERAL,Y,211811,,Accounts Receivable,AccountsReceivable,ABC,Y
T300,2115100,Payroll tax payable - Federal,예수금-국민연금,LIABILITY,GENERAL,N,211815,,Other Current Liability,StateLocalIncomeTaxPayable,ABC,Y
T300,2115200,Payroll tax payable - State,예수금-건강보험,LIABILITY,GENERAL,N,211815,,Other Current Liability,StateLocalIncomeTaxPayable,ABC,Y
T300,2117010,Sales tax payable,부가세예수금,LIABILITY,GENERAL,N,211814,,Other Current Liability,SalesTaxPayable,ABC,Y
T300,2117011,Tax payable - State,예수금-판매세-State,LIABILITY,GENERAL,N,211814,,Other Current Liability,SalesTaxPayable,ABC,Y
T300,2117012,Tax payable - County,예수금-판매세-County,LIABILITY,GENERAL,N,211814,,Other Current Liability,SalesTaxPayable,ABC,Y
T300,2117013,Tax payable - City,예수금-판매세-City,LIABILITY,GENERAL,N,211814,,Other Current Liability,SalesTaxPayable,ABC,Y
T300,2117014,Tax payable - Special,예수금-판매세-Special,LIABILITY,GENERAL,N,211814,,Other Current Liability,SalesTaxPayable,ABC,Y
T300,2125010,Accrued expenses-bonus,상여충당금,LIABILITY,GENERAL,N,211213,,Other Current Liability,OtherCurrentLiabilities,ABC,Y
T300,2127010,Income tax payable,미지급법인세,LIABILITY,GENERAL,N,211611,,Other Current Liability,FederalIncomeTaxPayable,ABC,Y
T300,2129010,Dividend payable,미지급배당금,LIABILITY,GENERAL,N,211813,,Other Current Liability,OtherCurrentLiabilities,ABC,Y
T300,2240010,Deferred tax liabilities,이연법인세부채(고정),LIABILITY,GENERAL,N,221611,,Long Term Liability,OtherLongTermLiabilities,ABC,Y
T300,2260010,Advance received - LT,장기선수금,LIABILITY,GENERAL,N,221815,,Long Term Liability,OtherLongTermLiabilities,ABC,Y
T300,3103010,Preferred stocks,우선주자본금,EQUITY,GENERAL,N,311020,,Equity,PreferredStock,ABC,Y
T300,3201010,Additional Paid-in Capital,주식발행초과금,EQUITY,GENERAL,N,312020,,Equity,OwnersEquity,ABC,Y
T300,4116010,Service Revenue - (Installation),용역수입(설치),REVENUE,SALES,N,410600,,Income,ServiceFeeIncome,ABC,Y
T300,4116020,Service Revenue - A/S,용역수입(A/S),REVENUE,SALES,N,410600,,Income,ServiceFeeIncome,ABC,Y
T300,4116021,Service Revenue - Installation and Dismantling,용역수입(이전설치및해체),REVENUE,SALES,N,410600,,Income,ServiceFeeIncome,ABC,Y
T300,4116030,Service Revenue - warehouse,용역수입(창고관리대행),REVENUE,SALES,N,410600,,Income,ServiceFeeIncome,ABC,Y
T300,4116040,Service Revenue - QC,용역수입(품질검수),REVENUE,SALES,N,410600,,Income,ServiceFeeIncome,ABC,Y
T300,4199010,Other Sales,기타매출,REVENUE,SALES,N,410600,,Income,OtherPrimaryIncome,ABC,Y
T300,4201010,Interest Income,이자수익,REVENUE,GENERAL,N,610100,,Other Income,InterestEarned,ABC,Y
T300,4201020,Interest income - Office Rent - Security Deposit,이자수익-보증금현할차,REVENUE,GENERAL,N,610100,,Other Income,InterestEarned,ABC,Y
T300,4203010,Dividend Income,배당금수익,REVENUE,GENERAL,N,610200,,Other Income,DividendIncome,ABC,Y
T300,4205010,Rental Income,임대료수입,REVENUE,GENERAL,N,520100,,Other Income,OtherMiscellaneousIncome,ABC,Y
T300,4207010,Commission Income,수수료수익,REVENUE,GENERAL,N,520200,,Other Income,OtherMiscellaneousIncome,ABC,Y
T300,4221010,Gains on disposition of tangible assets,유형자산처분이익,REVENUE,GENERAL,N,520500,,Other Income,OtherMiscellaneousIncome,ABC,Y
T300,4221020,Gains on disposition of intangible assets,무형자산처분이익,REVENUE,GENERAL,N,520700,,Other Income,OtherMiscellaneousIncome,ABC,Y
T300,4299010,Miscellaneous Income - Others,잡이익-기타,REVENUE,GENERAL,N,550300,,Other Income,OtherMiscellaneousIncome,ABC,Y
T300,5301010,Payroll expense - Employees,급여-사원급여,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5301020,Payroll expense - Bonus,급여-사원상여금,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5301030,Payroll expense - Overtime,급여-Overtime,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5301040,Payroll expense - Officers,급여-임원급여,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5301050,Payroll expense - Officers Bonus,급여-임원상여금,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5301060,Payroll expense - annual allowance,급여-연월차수당,EXPENSE,GENERAL,N,510100,,Expense,PayrollExpenses,ABC,Y
T300,5305010,Severance pay,퇴직급여,EXPENSE,GENERAL,N,510400,,Expense,PayrollExpenses,ABC,Y
T300,5309010,Compensation Expenses Associated with Stock Option,주식보상비용,EXPENSE,GENERAL,N,514200,,Expense,OtherBusinessExpenses,ABC,Y
T300,5401010,Employee welfare - Worker's compensation,복리후생비-부서운영비,EXPENSE,GENERAL,N,510600,,Expense,OtherBusinessExpenses,ABC,Y
T300,5401020,Employee welfare - Overtime meals,복리후생비-야근(특근)식대,EXPENSE,GENERAL,N,510600,,Expense,OtherBusinessExpenses,ABC,Y
T300,5401030,Employee welfare - Health Insurance,복리후생비-건강보험,EXPENSE,GENERAL,N,510600,,Expense,OtherBusinessExpenses,ABC,Y
T300,5401040,Employee welfare - Others,복리후생비-기타,EXPENSE,GENERAL,N,510600,,Expense,OtherBusinessExpenses,ABC,Y
T300,5403010,Travel Expenses - Transportation,여비교통비-교통비,EXPENSE,GENERAL,N,510800,,Expense,Travel,ABC,Y
