code,level,parent_code,name,eng_name,description,is_postable,is_active,system_source,created_by,updated_by
100000,01,,자산,Assets,,N,Y,ABC,abc-accounting,abc-accounting
110000,02,,유동자산,Current Assets,,N,Y,ABC,abc-accounting,abc-accounting
111100,03,110000,현금및현금성자산,Cash and Cash Equivalents,,N,Y,ABC,abc-accounting,abc-accounting
111111,04,111100,현금,Cash,,Y,Y,ABC,abc-accounting,abc-accounting
111112,04,111100,당좌예금,Current Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
111113,04,111100,보통예금,Ordinary Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
111214,04,111100,위험회피파생상품자산,Hedging Derivative Assets,,Y,Y,ABC,abc-accounting,abc-accounting
111215,04,111100,매도가능금융자산,Available-for-sale Financial Assets,,Y,Y,ABC,abc-accounting,abc-accounting
111311,04,111100,금융기관예치금,Financial Institution Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
111312,04,111100,매출채권,Trade Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
111313,04,111100,(매출채권 현재가치할인차금),(Trade Receivables Present Value Discount),,Y,Y,ABC,abc-accounting,abc-accounting
111314,04,111100,(매출채권 손상차손누계액),(Accumulated Impairment Loss on Trade Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
111317,04,111100,단기대여금,Short-term Loans,,Y,Y,ABC,abc-accounting,abc-accounting
111318,04,111100,(단기대여금 현재가치할인차금),(Short-term Loans Present Value Discount),,Y,Y,ABC,abc-accounting,abc-accounting
111319,04,111100,(단기대여금 손상차손누계액),(Accumulated Impairment Loss on Short-term Loans),,Y,Y,ABC,abc-accounting,abc-accounting
111320,04,111100,미수금,Other Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
111321,04,111100,(미수금 현재가치할인차금),(Other Receivables Present Value Discount),,Y,Y,ABC,abc-accounting,abc-accounting
111322,04,111100,(미수금 손상차손누계액),(Accumulated Impairment Loss on Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
111323,04,111100,미수수익,Accrued Income,,Y,Y,ABC,abc-accounting,abc-accounting
111324,04,111100,(미수수익 손상차손누계액),(Accumulated Impairment Loss on Accrued Income),,Y,Y,ABC,abc-accounting,abc-accounting
111325,04,111100,단기보증금,Short-term Deposits,,Y,Y,ABC,abc-accounting,abc-accounting
111326,04,111100,(단기보증금 현재가치할인차금),(Short-term Deposits Present Value Discount),,Y,Y,ABC,abc-accounting,abc-accounting
111327,04,111100,(단기보증금 손상차손누계액),(Accumulated Impairment Loss on Short-term Deposits),,Y,Y,ABC,abc-accounting,abc-accounting
111328,04,111100,기타매출채권및기타채권,Other Trade and Other Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
111329,04,111100,(기타매출채권및기타채권 현재가치할인차금),(Present Value Discount on Other Trade and Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
111330,04,111100,(기타매출채권및기타채권 손상차손누계액),(Accumulated Impairment Loss on Other Trade and Other Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
111400,03,110000,미수법인세환급액,Income Tax Refund Receivables,,N,Y,ABC,abc-accounting,abc-accounting
111411,04,111400,미수법인세환급액,Income Tax Refund Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
111500,03,110000,기타유동자산,Other Current Assets,,N,Y,ABC,abc-accounting,abc-accounting
111511,04,111500,선급금,Advance Payments,,Y,Y,ABC,abc-accounting,abc-accounting
111512,04,111500,(선급금 손상차손누계액),(Accumulated Impairment Loss on Advance Payments),,Y,Y,ABC,abc-accounting,abc-accounting
111513,04,111500,선급비용,Prepaid Expenses,,Y,Y,ABC,abc-accounting,abc-accounting
111514,04,111500,선급부가가치세,Prepaid VAT,,Y,Y,ABC,abc-accounting,abc-accounting
111515,04,111500,기타의기타유동자산,Other Current Assets - Others,,Y,Y,ABC,abc-accounting,abc-accounting
111516,04,111500,현재가치할인차금_선급금,Present Value Discount on Advance Payments,,Y,Y,ABC,abc-accounting,abc-accounting
111600,03,110000,유동성금융리스채권,Current Portion of Finance Lease Receivables,,N,Y,ABC,abc-accounting,abc-accounting
111611,04,111600,(유동성)금융리스채권,Current Portion of Finance Lease Receivables,,Y,Y,ABC,abc-accounting,abc-accounting
111612,04,111600,((유동성)금융리스채권 현재가치할인차금),(Present Value Discount on Current Portion of Finance Lease Receivables),,Y,Y,ABC,abc-accounting,abc-accounting
