hash_code,entity,field,value,contract_id,channel_contract_id,channel_order_item_id,is_signed,signed_time,form_id,revision,rental_code,customer_id,order_id,order_item_id,material_id,start_date,end_date,duration_in_months,contract_status,create_time,update_time,is_active
f615fa55b134d3938eaf430a84e72124,CollectOrderItem,order_item_id,0105436600004-0101,0105436600004-0101-50000A,gid://shopify/SubscriptionContract/19724239158,S-241231-000001,Y,2024-12-31 04:44:02.949000 +00:00,,,50000A,309d3d478519c37f0d0611f6f86431ae,0105436600004,0105436600004-0101,WP_999011,,,60,PENDING_CONFIRMATION,2024-12-31 04:44:23.655000 +00:00,2024-12-31 04:44:23.655000 +00:00,Y
2aaf84275021be9fd85249e73881459a,CollectOrderItem,order_item_id,0105436600003-0101,0105436600003-0101-30000A,15714746553,S-241231-000003,Y,2024-12-31 04:32:28.421000 +00:00,,,30000A,98cfc1993a4187294c0218f3d06669bd,0105436600003,0105436600003-0101,WP_113627,,,36,PENDING_CONFIRMATION,2024-12-31 04:33:15.757000 +00:00,2024-12-31 04:33:15.757000 +00:00,Y
30298728572433872725d031fdf77195,CollectOrderItem,order_item_id,0105436600002-0101,0105436600002-0101-30000A,15714582713,S-241231-000002,Y,2024-12-31 03:55:45.688000 +00:00,,,30000A,98cfc1993a4187294c0218f3d06669bd,0105436600002,0105436600002-0101,WP_113627,,,36,PENDING_CONFIRMATION,2024-12-31 03:56:36.397000 +00:00,2024-12-31 03:56:36.397000 +00:00,Y
47f18644a1cd905da7f119ebe73b96f3,CollectOrderItem,order_item_id,0105436600001-0101,0105436600001-0101-30000A,15714484409,S-241231-000001,Y,2024-12-31 03:50:42.145000 +00:00,,,30000A,98cfc1993a4187294c0218f3d06669bd,0105436600001,0105436600001-0101,WP_113627,,,36,PENDING_CONFIRMATION,2024-12-31 03:51:41.667000 +00:00,2024-12-31 03:51:41.667000 +00:00,Y
077d4aa440ecfe789b830dc464d68354,CollectOrderItem,order_item_id,0105436500072-0101,0105436500072-0101-30000A,15703474361,S-241230-000029,Y,2024-12-30 10:36:32.502000 +00:00,,,30000A,93a72e96a7bb13480c180440bfe65691,0105436500072,0105436500072-0101,WP_113627,,,36,PENDING_CONFIRMATION,2024-12-30 10:37:03.406000 +00:00,2024-12-30 10:37:03.406000 +00:00,Y
8b8e8ff6eb7ea97b2b62cd893a61796f,CollectOrderItem,order_item_id,0105436500071-0101,0105436500071-0101-30000A,15703146681,S-241230-000028,Y,2024-12-30 09:01:43.789000 +00:00,,,30000A,93a72e96a7bb13480c180440bfe65691,0105436500071,0105436500071-0101,WP_113627,,,36,PENDING_CONFIRMATION,2024-12-30 09:02:27.569000 +00:00,2024-12-30 09:02:27.569000 +00:00,Y
a38732d2511e633b644e4c62691891fe,CollectOrderItem,order_item_id,0105436500070-0101,0105436500070-0101-50000A,contract-100117355483533533,1001173554835335331457707,Y,2024-12-30 08:45:53.352000 +00:00,docusign_00001,0,50000A,65f187d787cec856ffaa0e9849bbb767,0105436500070,0105436500070-0101,WP_113780,,,60,PENDING_CONFIRMATION,2024-12-30 08:45:54.415000 +00:00,2024-12-30 08:45:54.415000 +00:00,Y
9ea72eb81bce48b20024b222493f9900,CollectOrderItem,order_item_id,0105436500069-0101,0105436500069-0101-30000A,contract-100117355483507501,1001173554835075011887562,Y,2024-12-30 08:45:50.749000 +00:00,docusign_00001,0,30000A,6c911c567b4f27888eb951166fc2d8b3,0105436500069,0105436500069-0101,WP_113786,,,36,PENDING_CONFIRMATION,2024-12-30 08:45:51.628000 +00:00,2024-12-30 08:45:51.628000 +00:00,Y
11ec083414fa739d45e4c8da0309436c,CollectOrderItem,order_item_id,0105436500068-0101,0105436500068-0101-50000A,contract-100117355483475722,1001173554834757221254647,Y,2024-12-30 08:45:47.571000 +00:00,docusign_00001,0,50000A,154c891250eb3e231e382b72e87a9a84,0105436500068,0105436500068-0101,WP_999015,,,60,PENDING_CONFIRMATION,2024-12-30 08:45:48.504000 +00:00,2024-12-30 08:45:48.504000 +00:00,Y
47c97c392032d5f4c885c5015c160964,CollectOrderItem,order_item_id,0105436500067-0101,0105436500067-0101-50000A,contract-100117355483434700,1001173554834347001084216,Y,2024-12-30 08:45:43.469000 +00:00,docusign_00001,0,50000A,e7af9243160d1c0b599475c0ec115c5c,0105436500067,0105436500067-0101,WP_113816,,,60,PENDING_CONFIRMATION,2024-12-30 08:45:45.811000 +00:00,2024-12-30 08:45:45.811000 +00:00,Y
a4fe8e25679a388cd97c8a806d1831e4,CollectOrderItem,order_item_id,0105436500066-0101,0105436500066-0101-N0000A,contract-100117355483405523,1001173554834055231008399,Y,2024-12-30 08:45:40.551000 +00:00,docusign_00001,0,N0000A,baee9b4acc9b79ec4d39fb9b64d759dc,0105436500066,0105436500066-0101,WP_999016,,,0,PENDING_CONFIRMATION,2024-12-30 08:45:41.515000 +00:00,2024-12-30 08:45:41.515000 +00:00,Y
68a0d54bd5633367935ed45e6ba988a8,CollectOrderItem,order_item_id,0105436500065-0101,0105436500065-0101-N0000A,contract-100117355483365252,1001173554833652521930029,Y,2024-12-30 08:45:36.525000 +00:00,docusign_00001,0,N0000A,53e46b67650e785b2f7762719d153fb3,0105436500065,0105436500065-0101,WP_113727,,,0,PENDING_CONFIRMATION,2024-12-30 08:45:38.513000 +00:00,2024-12-30 08:45:38.513000 +00:00,Y
34cca23573c7f46ee7512e17a33197b7,CollectOrderItem,order_item_id,0105436500064-0101,0105436500064-0101-50000A,contract-100117355483331742,1001173554833317421663945,Y,2024-12-30 08:45:33.173000 +00:00,docusign_00001,0,50000A,36aa43b75ea24712b027e5b2991e93cf,0105436500064,0105436500064-0101,WP_987011,,,60,PENDING_CONFIRMATION,2024-12-30 08:45:34.323000 +00:00,2024-12-30 08:45:34.323000 +00:00,Y
65aa0b5fc41045a9592401d24dc13427,CollectOrderItem,order_item_id,0105436500063-0101,0105436500063-0101-N0000A,contract-100117355483303352,1001173554833033521163383,Y,2024-12-30 08:45:30.334000 +00:00,docusign_00001,0,N0000A,34d03b157b3087bf633f97c63aa7a1f2,0105436500063,0105436500063-0101,WP_987016,,,0,PENDING_CONFIRMATION,2024-12-30 08:45:31.222000 +00:00,2024-12-30 08:45:31.222000 +00:00,Y
b671a497f8754d2f68b0616a2a7dcbc3,CollectOrderItem,order_item_id,0105436500062-0101,0105436500062-0101-50000A,contract-100117355483260843,1001173554832608431314820,Y,2024-12-30 08:45:26.083000 +00:00,docusign_00001,0,50000A,fb7e9dcda80ff7c523d7a61c13c5e636,0105436500062,0105436500062-0101,WP_113818,,,60,PENDING_CONFIRMATION,2024-12-30 08:45:28.508000 +00:00,2024-12-30 08:45:28.508000 +00:00,Y
