hash_code,entity,field,value,channel_id,channel_order_id,customer_id,order_id,order_product_type,receipt_id,shipping_id,referrer_code,order_create_time,order_update_time,update_time,create_time,is_active
01ee389716010f7ba17a5c4c8eafc548,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241230-000020,93a72e96a7bb13480c180440bfe65691,0105436500071,INSTALL,,,,2024-12-30 09:01:31.000000 +00:00,2024-12-30 09:01:37.000000 +00:00,2024-12-30 09:02:27.565000 +00:00,2024-12-30 09:02:27.563000 +00:00,Y
30345d7f8a60566b7f642ce858343a28,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241230-000014,1a571dab740f7a551a61e7e3d43cb4a2,0105436500008,INSTALL,,,,2024-12-30 04:04:43.000000 +00:00,2024-12-30 04:04:45.000000 +00:00,2024-12-30 04:05:23.432000 +00:00,2024-12-30 04:05:23.424000 +00:00,Y
8968a2416db6cd5a56ceb82e4a377abe,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241230-000013,0be7bb4b8c098a9db971dfb35bc397ff,0105436500007,INSTALL,,,,2024-12-30 04:01:25.000000 +00:00,2024-12-30 04:01:31.000000 +00:00,2024-12-30 04:02:19.342000 +00:00,2024-12-30 04:02:19.336000 +00:00,Y
4d315ab72706f36c5198ebeb2a3af503,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241230-000012,f6bb48c22e0013bea12249f6c3aad484,0105436500006,INSTALL,,,,2024-12-30 03:54:05.000000 +00:00,2024-12-30 03:54:07.000000 +00:00,2024-12-30 03:54:55.702000 +00:00,2024-12-30 03:54:55.695000 +00:00,Y
e9427c0b226fd85be098106747443c1e,,,,8622ace6b04c90c339cf3e170c604be8,100117352884652230,288aeac5a90d81de1e61effaeb9b6ee2,0105436200031,INSTALL,,,,2024-12-27 08:34:25.222000 +00:00,2024-12-27 08:34:25.222000 +00:00,2024-12-27 08:34:26.601000 +00:00,2024-12-27 08:34:26.599000 +00:00,Y
b8d32813f961755ac43e8b1d863e255f,,,,8622ace6b04c90c339cf3e170c604be8,100117352884618711,8eb3d41d9c017678af9a8d9a002a7ce3,0105436200030,INSTALL,,,,2024-12-27 08:34:21.869000 +00:00,2024-12-27 08:34:21.869000 +00:00,2024-12-27 08:34:23.366000 +00:00,2024-12-27 08:34:23.364000 +00:00,Y
1893732be47555927be37befdcba1cee,,,,8622ace6b04c90c339cf3e170c604be8,100117352884518344,1207c678ff6fb89028c7fb6244966ad4,0105436200027,INSTALL,,,,2024-12-27 08:34:11.833000 +00:00,2024-12-27 08:34:11.833000 +00:00,2024-12-27 08:34:13.120000 +00:00,2024-12-27 08:34:13.118000 +00:00,Y
5fc356c2a6e9c2c52f8bf55b1490872c,,,,8622ace6b04c90c339cf3e170c604be8,100117352884409694,20ee09593f30c0d26f4704e76471cea0,0105436200024,INSTALL,,,,2024-12-27 08:34:00.968000 +00:00,2024-12-27 08:34:00.968000 +00:00,2024-12-27 08:34:01.947000 +00:00,2024-12-27 08:34:01.946000 +00:00,Y
a7f5bdcba82b3066359cd98d49a7b501,,,,8622ace6b04c90c339cf3e170c604be8,100117352884338982,145f61df1f6b86763150b5dcfd3ddfe5,0105436200022,INSTALL,,,,2024-12-27 08:33:53.898000 +00:00,2024-12-27 08:33:53.898000 +00:00,2024-12-27 08:33:54.635000 +00:00,2024-12-27 08:33:54.633000 +00:00,Y
780a300c1bc1d1c420cdfdd608d09ab0,,,,8622ace6b04c90c339cf3e170c604be8,100117352884268984,ef2b8d85eb2d383dffb1e7dd3c4b9abb,0105436200020,INSTALL,,,,2024-12-27 08:33:46.897000 +00:00,2024-12-27 08:33:46.897000 +00:00,2024-12-27 08:33:48.241000 +00:00,2024-12-27 08:33:48.240000 +00:00,Y
ebcc8592cdb1b33eb0de92c57309af35,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241226-000077,5ef5258a5b923010b88bcf84a32f5c04,0105436100025,INSTALL,,,,2024-12-26 10:16:11.000000 +00:00,2024-12-26 10:16:12.000000 +00:00,2024-12-26 10:17:05.361000 +00:00,2024-12-26 10:17:05.354000 +00:00,Y
d95e4fb7027e1b094fac202cca5db42b,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241226-000062,8dddc3c0df38f528d01edbb2e39ce0b1,0105436100016,INSTALL,,,,2024-12-26 08:20:54.000000 +00:00,2024-12-26 08:20:55.000000 +00:00,2024-12-26 08:22:07.681000 +00:00,2024-12-26 08:22:07.671000 +00:00,Y
a9d10a8f53824804e5bdc241ff7da9ab,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241226-000059,8dddc3c0df38f528d01edbb2e39ce0b1,0105436100015,INSTALL,,,,2024-12-26 08:01:29.000000 +00:00,2024-12-26 08:01:35.000000 +00:00,2024-12-26 08:02:40.375000 +00:00,2024-12-26 08:02:40.373000 +00:00,Y
e14a578c011b4856d8b3960b015835ff,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241224-000071,a42e898b4b1425033517f5f0a42fc2a8,0105435900022,INSTALL,,,,2024-12-24 09:02:26.000000 +00:00,2024-12-24 09:02:31.000000 +00:00,2024-12-24 09:03:19.093000 +00:00,2024-12-24 09:03:19.091000 +00:00,Y
c0c4176026336aea9618ca62fbd4e47a,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000165,cb44023456e4eddf9bc3abeddeac0e73,0105435800053,INSTALL,,,,2024-12-23 09:08:13.000000 +00:00,2024-12-23 09:08:24.000000 +00:00,2024-12-23 09:09:23.885000 +00:00,2024-12-23 09:09:23.883000 +00:00,Y
05dbb079071f4f0cfa483070a43d1798,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000137,cb44023456e4eddf9bc3abeddeac0e73,0105435800020,INSTALL,,,,2024-12-23 08:42:00.000000 +00:00,2024-12-23 08:42:11.000000 +00:00,2024-12-23 08:43:09.224000 +00:00,2024-12-23 08:43:09.222000 +00:00,Y
d40685c3e6103636dea1c129ed7b64dc,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000128,cb44023456e4eddf9bc3abeddeac0e73,0105435800019,INSTALL,,,,2024-12-23 08:12:13.000000 +00:00,2024-12-23 08:12:24.000000 +00:00,2024-12-23 08:13:20.545000 +00:00,2024-12-23 08:13:20.524000 +00:00,Y
ce06f8fe027ef75e299f100057d8e7d6,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000119,cb44023456e4eddf9bc3abeddeac0e73,0105435800018,INSTALL,,,,2024-12-23 07:53:04.000000 +00:00,2024-12-23 07:53:14.000000 +00:00,2024-12-23 07:53:58.894000 +00:00,2024-12-23 07:53:58.893000 +00:00,Y
3946c06df62c6a24a05c0f0100ca2aa2,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000026,8dddc3c0df38f528d01edbb2e39ce0b1,0105435800004,INSTALL,,,,2024-12-23 03:33:50.000000 +00:00,2024-12-23 03:33:52.000000 +00:00,2024-12-23 03:34:27.785000 +00:00,2024-12-23 03:34:27.776000 +00:00,Y
180c9c70caee3a97706d9e86200ca767,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000020,8dddc3c0df38f528d01edbb2e39ce0b1,0105435800003,INSTALL,,,,2024-12-23 03:25:56.000000 +00:00,2024-12-23 03:26:06.000000 +00:00,2024-12-23 03:26:53.261000 +00:00,2024-12-23 03:26:53.257000 +00:00,Y
422c0a47631b5228f8c5225822a1f634,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241223-000001,cda886c58257ab5d62f047ee5e7e0a2d,0105435800001,INSTALL,,,,2024-12-23 01:51:21.000000 +00:00,2024-12-23 01:51:31.000000 +00:00,2024-12-23 01:52:23.796000 +00:00,2024-12-23 01:52:23.787000 +00:00,Y
6022eba423e237f3f0f3dc5b44c33cda,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241220-000052,a80d8e14d953481d23b0885bdba9b2c4,0105435500004,INSTALL,,,,2024-12-20 03:38:59.000000 +00:00,2024-12-20 03:39:10.000000 +00:00,2024-12-20 03:40:17.700000 +00:00,2024-12-20 03:40:17.689000 +00:00,Y
2afb235aa9be1c17bc916cc80b9a42d5,,,,aa9ef31a90e57a6a172ea2ef7014cd16,G-241220-000022,98cfc1993a4187294c0218f3d06669bd,0105435400107,INSTALL,,,,2024-12-19 19:29:42.000000 +00:00,2024-12-19 19:29:47.000000 +00:00,2024-12-19 19:30:23.507000 +00:00,2024-12-19 19:30:23.506000 +00:00,Y
f128ed385007415e23bf713ae9a73a7d,,,,8622ace6b04c90c339cf3e170c604be8,100117345961948973,61d486e6b01c4f0bf8ba0a30fb8adb9d,0105435400074,INSTALL,,,,2024-12-19 08:16:34.897000 +00:00,2024-12-19 08:16:34.897000 +00:00,2024-12-19 08:16:35.744000 +00:00,2024-12-19 08:16:35.743000 +00:00,Y
216aea46685d43947646fc1975db21bc,,,,8622ace6b04c90c339cf3e170c604be8,100117345961838123,488ccf419bdf28b7fb32a30911bcd8a0,0105435400070,INSTALL,,,,2024-12-19 08:16:23.811000 +00:00,2024-12-19 08:16:23.811000 +00:00,2024-12-19 08:16:24.461000 +00:00,2024-12-19 08:16:24.460000 +00:00,Y
916a4ad3c0fc386d076e15e4cc4a8916,,,,8622ace6b04c90c339cf3e170c604be8,100117345961802890,b13348ddb655a409c8356a7cd1cab680,0105435400069,INSTALL,,,,2024-12-19 08:16:20.288000 +00:00,2024-12-19 08:16:20.288000 +00:00,2024-12-19 08:16:22.356000 +00:00,2024-12-19 08:16:22.355000 +00:00,Y
5f38e4096b6e51ebd4baf519446881c3,,,,8622ace6b04c90c339cf3e170c604be8,100117345961770774,256b9052728d14f3a3a7e03583c01789,0105435400068,INSTALL,,,,2024-12-19 08:16:17.076000 +00:00,2024-12-19 08:16:17.076000 +00:00,2024-12-19 08:16:18.346000 +00:00,2024-12-19 08:16:18.345000 +00:00,Y
76c383a3a00d65e59fd294aa91b3aa3a,,,,8622ace6b04c90c339cf3e170c604be8,100117345961744053,bbc07fcc5ed8ca96888b697c752dc58f,0105435400067,INSTALL,,,,2024-12-19 08:16:14.405000 +00:00,2024-12-19 08:16:14.405000 +00:00,2024-12-19 08:16:15.281000 +00:00,2024-12-19 08:16:15.280000 +00:00,Y
6079bc2f2ca11a9f0a2c3abc8d27f21a,,,,8622ace6b04c90c339cf3e170c604be8,100117345961687130,72c75e2ecd586fc036f3d15a2424d81b,0105435400065,INSTALL,,,,2024-12-19 08:16:08.712000 +00:00,2024-12-19 08:16:08.712000 +00:00,2024-12-19 08:16:10.013000 +00:00,2024-12-19 08:16:10.001000 +00:00,Y
