hash_code,entity,field,value,price,rate,title,sales_tax_type,create_time,update_time,is_active
1691dcf3fc5e4b38c7a8e759a551e8fe,CollectOrder,order_id,0105436500008,337.5200,0.0625,Texas State Tax,STATE,,,Y
ecf86caf875adf0fcba27000b93fd89d,CollectOrder,order_id,0105436500008,54.0000,0.0100,Houston City Tax,CITY,,,Y
c8f7b99e2c22d3d7149787b4b80d1811,CollectOrder,order_id,0105436500008,54.0000,0.0100,Houston Mta Transit,SPECIAL,,,Y
e23eedf0c5009c10f1c2b9f6af7cae3e,CollectOrder,order_id,0105436500006,337.5200,0.0625,Texas State Tax,STATE,,,Y
a6d917eedcdd2fb3b3b49da49f701cf3,CollectOrder,order_id,0105436500006,54.0000,0.0100,Houston Mta Transit,SPECIAL,,,Y
a28b1e117e43cc58a486ef051bc54453,CollectOrder,order_id,0105436500006,54.0000,0.0100,Harris Co Emergency Services District 29 Sp,SPECIAL,,,Y
c5680bdef078352853e95634cb8a8982,CollectOrder,order_id,0105436100025,506.2500,0.0625,Texas State Tax,STATE,,,Y
dfb1623b34b4907bc9500044adc63adb,CollectOrder,order_id,0105436100025,81.0000,0.0100,Houston City Tax,CITY,,,Y
56ee2094e001f4b6a0d9582bee994cbb,CollectOrder,order_id,0105436100025,81.0000,0.0100,Houston Mta Transit,SPECIAL,,,Y
5c7513a534646d94820cfd1d9402e40b,CollectOrder,order_id,0105436100016,84.3800,0.0625,Texas State Tax,STATE,,,Y
960e34746c8866279882121627938e5c,CollectOrder,order_id,0105436100016,13.5000,0.0100,Houston City Tax,CITY,,,Y
6b308efe43113b51812b106930301b30,CollectOrder,order_id,0105436100016,13.5000,0.0100,Houston Mta Transit,SPECIAL,,,Y
09504afb7a942b2a909168e2d7612875,CollectOrder,order_id,0105435800004,421.8800,0.0625,Texas State Tax,STATE,,,Y
01937ad3f4b925811593e864a053cb68,CollectOrder,order_id,0105435800004,67.5000,0.0100,Houston City Tax,CITY,,,Y
391e84c917e58751ba561ba9a64ec88c,CollectOrder,order_id,0105435800004,67.5000,0.0100,Houston Mta Transit,SPECIAL,,,Y
7548eb19ad131c3e3a16c7c573756a8d,CollectOrder,order_id,0105435200061,62.2500,0.0625,Texas State Tax,STATE,,,Y
f5441513d3f085c07b1dea909121effd,CollectOrder,order_id,0105435200061,9.9600,0.0100,Houston City Tax,CITY,,,Y
c89e2404761c488a6f05ce69656dd425,CollectOrder,order_id,0105435200061,9.9600,0.0100,Houston Mta Transit,SPECIAL,,,Y
f367d0a7393065c7c9c68f0011906995,CollectOrder,order_id,0105435100032,90.6300,0.0625,Texas State Tax,STATE,,,Y
2e32112a0e68340d3c8d1e312600fcfe,CollectOrder,order_id,0105435100032,14.5000,0.0100,Houston City Tax,CITY,,,Y
5be62add6871a4f7e6ad6a9eb30cc3af,CollectOrder,order_id,0105435100032,14.5000,0.0100,Houston Mta Transit,SPECIAL,,,Y
9341d30455d5f38931293dd79ffae37b,CollectOrder,order_id,0105434700021,168.7500,0.0625,Texas State Tax,STATE,,,Y
6db8208141049b65732759e3c4464a05,CollectOrder,order_id,0105434700021,27.0000,0.0100,Houston Mta Transit,SPECIAL,,,Y
6ccbd9caebc56d87e21167e64c3c9892,CollectOrder,order_id,0105434700021,27.0000,0.0100,Harris Co Emergency Services District 29 Sp,SPECIAL,,,Y
b327f5ba8511354a6a0dd8d9b34c52ef,CollectOrder,order_id,0105434700005,168.7500,0.0625,Texas State Tax,STATE,,,Y
6fe1fa2e89a138c64a15d1022dde9317,CollectOrder,order_id,0105434700005,27.0000,0.0100,Houston City Tax,CITY,,,Y
832c1b3fc719638abd38c5c12a2e30e1,CollectOrder,order_id,0105434700005,27.0000,0.0100,Houston Mta Transit,SPECIAL,,,Y
3721147816abb1eac76cc15af0c35f7c,CollectOrder,order_id,0105434600008,84.3800,0.0625,Texas State Tax,STATE,,,Y
31ebe6af0b51d96cb1940be75577c629,CollectOrder,order_id,0105434600008,13.5000,0.0100,Houston City Tax,CITY,,,Y
597d16e21f19c6ed7bcc7be49e29c911,CollectOrder,order_id,0105434600008,13.5000,0.0100,Houston Mta Transit,SPECIAL,,,Y
