id,doc_id,version,doc_hash,doc_type,doc_status,workflow_status,workflow_id,document_date,posting_date,entry_date,fiscal_year,fiscal_month,company_code,tx_currency,tx_amount,currency,amount,reference,text,is_deleted,create_time,created_by,update_time,updated_by
1,SA2500300001,1,d15e16f8c55b8a320c320e045cd77d48,SA,NO,IN,,2024-12-08,2024-12-08,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434300039-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.250882,ONETIME,2025-01-03 11:57:14.171101,ONETIME
2,SA2500300002,1,25e0574f0856c37f8a024373bdc72329,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434500040-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.258050,ONETIME,2025-01-03 11:57:14.179597,ONETIME
3,SA2500300003,1,faad9508bcfbf2dcae57bcb25536a61e,SA,NO,IN,,2024-12-13,2024-12-13,2025-01-03,2024,12,N200,USD,1.0800,USD,1.0800,0105434900006-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.259186,ONETIME,2025-01-03 11:57:14.180426,ONETIME
4,SA2500300004,1,fe07af9c5d56c73a7f76bf6e07ea9121,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500008-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.260002,ONETIME,2025-01-03 11:57:14.181345,ONETIME
5,SA2500300005,1,1d8a20aa6ea6b6ada4270d29855e5eaf,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500008-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.260577,ONETIME,2025-01-03 11:57:14.182228,ONETIME
6,SA2500300006,1,d289ee7c6b62595c4bb36521faea75ef,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500008-0302,[일시불] 주문접수,N,2025-01-03 11:57:12.261118,ONETIME,2025-01-03 11:57:14.182968,ONETIME
7,SA2500300007,1,b545dbf59740ebf38fdb61591f86d005,SA,NO,IN,,2024-12-29,2024-12-29,2025-01-03,2024,12,N200,USD,1461.3800,USD,1461.3800,0105436500008-0402,[일시불] 주문접수,N,2025-01-03 11:57:12.261561,ONETIME,2025-01-03 11:57:14.184260,ONETIME
8,SA2500300008,1,7d529fcc4601586d03436b1cc67ed506,SA,NO,IN,,2024-12-10,2024-12-10,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434600007-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.261949,ONETIME,2025-01-03 11:57:14.185518,ONETIME
9,SA2500300009,1,c5a28a4a99d1574e7d7119490fba459c,SA,NO,IN,,2024-12-09,2024-12-09,2025-01-03,2024,12,N200,USD,1645.4000,USD,1645.4000,0105434400045-0102,[일시불] 주문접수,N,2025-01-03 11:57:12.262552,ONETIME,2025-01-03 11:57:14.188155,ONETIME
10,SA2500300010,1,4d2dc37989f983cd3d35b3b7791a74fa,SA,NO,IN,,2024-12-09,2024-12-09,2025-01-03,2024,12,N200,USD,1461.3750,USD,1461.3750,0105434400045-0202,[일시불] 주문접수,N,2025-01-03 11:57:12.262942,ONETIME,2025-01-03 11:57:14.189323,ONETIME
