id,version,doc_item_status,doc_id,line_number,account_code,account_side,company_code,tx_currency,tx_amount,currency,amount,exchange_rate_id,text,doc_template_code,cost_center,profit_center,segment,project,customer_id,vendor_id,create_time,created_by,update_time,updated_by
SA2500300001-001,1,NO,SA2500300001,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,cec51c756b0a7bba176b9b710ae59ba6,,2025-01-03 11:57:12.517460,ONETIME,2025-01-03 11:57:12.517462,ONETIME
SA2500300001-002,1,NO,SA2500300001,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,cec51c756b0a7bba176b9b710ae59ba6,,2025-01-03 11:57:12.517509,ONETIME,2025-01-03 11:57:12.517510,ONETIME
SA2500300002-001,1,NO,SA2500300002,1,1136010,D,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.520325,ONETIME,2025-01-03 11:57:12.520325,ONETIME
SA2500300002-002,1,NO,SA2500300002,2,2111010,C,N200,USD,1461.3750,USD,1461.3750,0,[일시불] 주문접수,CTOR001,C0001,,,,c0da25f34f5235658e4fe2b62de7962e,,2025-01-03 11:57:12.520332,ONETIME,2025-01-03 11:57:12.520332,ONETIME
SA2500300003-001,1,NO,SA2500300003,1,1136010,D,N200,USD,1.0800,USD,1.0800,0,[일시불] 주문접수,CTOR001,C0001,,,,fd30d36489682184a7b3f1249d4f25a8,,2025-01-03 11:57:12.522398,ONETIME,2025-01-03 11:57:12.522398,ONETIME
SA2500300003-002,1,NO,SA2500300003,2,2111010,C,N200,USD,1.0800,USD,1.0800,0,[일시불] 주문접수,CTOR001,C0001,,,,fd30d36489682184a7b3f1249d4f25a8,,2025-01-03 11:57:12.522404,ONETIME,2025-01-03 11:57:12.522404,ONETIME
SA2500300004-001,1,NO,SA2500300004,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.524601,ONETIME,2025-01-03 11:57:12.524602,ONETIME
SA2500300004-002,1,NO,SA2500300004,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.524607,ONETIME,2025-01-03 11:57:12.524607,ONETIME
SA2500300005-001,1,NO,SA2500300005,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.527254,ONETIME,2025-01-03 11:57:12.527254,ONETIME
SA2500300005-002,1,NO,SA2500300005,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.527260,ONETIME,2025-01-03 11:57:12.527260,ONETIME
SA2500300006-001,1,NO,SA2500300006,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.529065,ONETIME,2025-01-03 11:57:12.529066,ONETIME
SA2500300006-002,1,NO,SA2500300006,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.529071,ONETIME,2025-01-03 11:57:12.529072,ONETIME
SA2500300007-001,1,NO,SA2500300007,1,1136010,D,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.531945,ONETIME,2025-01-03 11:57:12.531946,ONETIME
SA2500300007-002,1,NO,SA2500300007,2,2111010,C,N200,USD,1461.3800,USD,1461.3800,0,[일시불] 주문접수,CTOR001,C0001,,,,1a571dab740f7a551a61e7e3d43cb4a2,,2025-01-03 11:57:12.531952,ONETIME,2025-01-03 11:57:12.531952,ONETIME
