doc_item_id,attribute_type,value,create_time
SA2500300001-001,ORDER_ID,0105434300039,2025-01-03 11:57:12.517531
SA2500300001-001,ORDER_ITEM_ID,0105434300039-0102,2025-01-03 11:57:12.517541
SA2500300001-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.517542
SA2500300001-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.517542
SA2500300001-001,MATERIAL_ID,WP_113725,2025-01-03 11:57:12.517543
SA2500300001-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.517543
SA2500300001-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.517543
SA2500300001-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.517544
SA2500300001-001,FILTER_TYPE,NANO_TRAP,2025-01-03 11:57:12.517544
SA2500300001-001,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.517545
SA2500300001-002,ORDER_ID,0105434300039,2025-01-03 11:57:12.517546
SA2500300001-002,ORDER_ITEM_ID,0105434300039-0102,2025-01-03 11:57:12.517547
SA2500300001-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.517547
SA2500300001-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.517547
SA2500300001-002,MATERIAL_ID,WP_113725,2025-01-03 11:57:12.517548
SA2500300001-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.517548
SA2500300001-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.517549
SA2500300001-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.517549
SA2500300001-002,FILTER_TYPE,NANO_TRAP,2025-01-03 11:57:12.517550
SA2500300001-002,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.517550
SA2500300002-001,ORDER_ID,0105434500040,2025-01-03 11:57:12.520335
SA2500300002-001,ORDER_ITEM_ID,0105434500040-0102,2025-01-03 11:57:12.520336
SA2500300002-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.520336
SA2500300002-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.520337
SA2500300002-001,MATERIAL_ID,WP_113780,2025-01-03 11:57:12.520337
SA2500300002-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.520338
SA2500300002-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.520338
SA2500300002-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.520339
SA2500300002-001,FILTER_TYPE,REVERSE_OSMOSIS,2025-01-03 11:57:12.520339
SA2500300002-001,FEATURE_TYPE,HOT_PURIFIED,2025-01-03 11:57:12.520339
SA2500300002-002,ORDER_ID,0105434500040,2025-01-03 11:57:12.520340
SA2500300002-002,ORDER_ITEM_ID,0105434500040-0102,2025-01-03 11:57:12.520341
SA2500300002-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.520341
SA2500300002-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.520342
SA2500300002-002,MATERIAL_ID,WP_113780,2025-01-03 11:57:12.520342
SA2500300002-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.520343
SA2500300002-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.520343
SA2500300002-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.520344
SA2500300002-002,FILTER_TYPE,REVERSE_OSMOSIS,2025-01-03 11:57:12.520344
SA2500300002-002,FEATURE_TYPE,HOT_PURIFIED,2025-01-03 11:57:12.520344
SA2500300003-001,ORDER_ID,0105434900006,2025-01-03 11:57:12.522407
SA2500300003-001,ORDER_ITEM_ID,0105434900006-0102,2025-01-03 11:57:12.522408
SA2500300003-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.522409
SA2500300003-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.522409
SA2500300003-001,MATERIAL_ID,WP_113783,2025-01-03 11:57:12.522409
SA2500300003-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.522410
SA2500300003-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.522410
SA2500300003-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.522411
SA2500300003-001,FILTER_TYPE,REVERSE_OSMOSIS,2025-01-03 11:57:12.522411
SA2500300003-001,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.522412
SA2500300003-002,ORDER_ID,0105434900006,2025-01-03 11:57:12.522413
SA2500300003-002,ORDER_ITEM_ID,0105434900006-0102,2025-01-03 11:57:12.522413
SA2500300003-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.522414
SA2500300003-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.522414
SA2500300003-002,MATERIAL_ID,WP_113783,2025-01-03 11:57:12.522415
SA2500300003-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.522415
SA2500300003-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.522416
SA2500300003-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.522416
SA2500300003-002,FILTER_TYPE,REVERSE_OSMOSIS,2025-01-03 11:57:12.522416
SA2500300003-002,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.522417
SA2500300004-001,ORDER_ID,0105436500008,2025-01-03 11:57:12.524612
SA2500300004-001,ORDER_ITEM_ID,0105436500008-0102,2025-01-03 11:57:12.524612
SA2500300004-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.524613
SA2500300004-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.524613
SA2500300004-001,MATERIAL_ID,WP_987014,2025-01-03 11:57:12.524614
SA2500300004-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.524614
SA2500300004-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.524614
SA2500300004-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.524615
SA2500300004-001,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.524615
SA2500300004-002,ORDER_ID,0105436500008,2025-01-03 11:57:12.524616
SA2500300004-002,ORDER_ITEM_ID,0105436500008-0102,2025-01-03 11:57:12.524617
SA2500300004-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.524617
SA2500300004-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.524618
SA2500300004-002,MATERIAL_ID,WP_987014,2025-01-03 11:57:12.524618
SA2500300004-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.524619
SA2500300004-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.524619
SA2500300004-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.524620
SA2500300004-002,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.524620
SA2500300005-001,ORDER_ID,0105436500008,2025-01-03 11:57:12.527273
SA2500300005-001,ORDER_ITEM_ID,0105436500008-0202,2025-01-03 11:57:12.527273
SA2500300005-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.527274
SA2500300005-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.527274
SA2500300005-001,MATERIAL_ID,WP_999013,2025-01-03 11:57:12.527275
SA2500300005-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.527275
SA2500300005-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.527275
SA2500300005-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.527276
SA2500300005-001,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.527276
SA2500300005-002,ORDER_ID,0105436500008,2025-01-03 11:57:12.527278
SA2500300005-002,ORDER_ITEM_ID,0105436500008-0202,2025-01-03 11:57:12.527278
SA2500300005-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.527278
SA2500300005-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.527279
SA2500300005-002,MATERIAL_ID,WP_999013,2025-01-03 11:57:12.527279
SA2500300005-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.527280
SA2500300005-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.527280
SA2500300005-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.527281
SA2500300005-002,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.527281
SA2500300006-001,ORDER_ID,0105436500008,2025-01-03 11:57:12.529075
SA2500300006-001,ORDER_ITEM_ID,0105436500008-0302,2025-01-03 11:57:12.529075
SA2500300006-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.529076
SA2500300006-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.529076
SA2500300006-001,MATERIAL_ID,WP_987012,2025-01-03 11:57:12.529077
SA2500300006-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.529077
SA2500300006-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.529078
SA2500300006-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.529078
SA2500300006-001,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.529078
SA2500300006-002,ORDER_ID,0105436500008,2025-01-03 11:57:12.529079
SA2500300006-002,ORDER_ITEM_ID,0105436500008-0302,2025-01-03 11:57:12.529080
SA2500300006-002,SALES_TYPE,ONETIME,2025-01-03 11:57:12.529080
SA2500300006-002,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.529081
SA2500300006-002,MATERIAL_ID,WP_987012,2025-01-03 11:57:12.529081
SA2500300006-002,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.529082
SA2500300006-002,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.529082
SA2500300006-002,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.529082
SA2500300006-002,FEATURE_TYPE,COLD_HOT_PURIFIED,2025-01-03 11:57:12.529083
SA2500300007-001,ORDER_ID,0105436500008,2025-01-03 11:57:12.531956
SA2500300007-001,ORDER_ITEM_ID,0105436500008-0402,2025-01-03 11:57:12.531957
SA2500300007-001,SALES_TYPE,ONETIME,2025-01-03 11:57:12.531957
SA2500300007-001,SALES_ITEM,PRODUCT,2025-01-03 11:57:12.531957
SA2500300007-001,MATERIAL_ID,WP_987011,2025-01-03 11:57:12.531958
SA2500300007-001,MATERIAL_TYPE,PRODUCT,2025-01-03 11:57:12.531958
SA2500300007-001,MATERIAL_CATEGORY_CODE,WATER_PURIFIER,2025-01-03 11:57:12.531959
SA2500300007-001,PRODUCT_CATEGORY,PRIMARY,2025-01-03 11:57:12.531959
