company_code,doc_template_code,symbol,kor_text,eng_text,biz_category,biz_system,biz_process,biz_event,account_event_category,account_event,is_active,biz_event_order,document_type,processing_type,order_item_status,service_flow_type,service_flow_status,charge_status,contract_status,logistics_status
T200,ONETIME_ORDER_RECEIVED,CTOR010,[일시불] 주문접수,[ONETIME] Order Received,CUSTOMER,ONETIME,ORDER,ORDER_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,N,10,ACCOUNTING_DOCUMENT,AUTO,ORDER_RECEIVED,,,,,
T200,ONETIME_SALES_RECOGNITION,CTOR030,[일시불] 설치완료-매출인식,[ONETIME] Installation Complete - Sales Recognition,CUSTOMER,ONETIME,ORDER,INSTALLATION_COMPLETED,REVENUE,REVENUE_RECOGNITION,Y,30,ACCOUNTING_DOCUMENT,AUTO,INSTALL_COMPLETED,INSTALL,SERVICE_COMPLETED,,,
T200,ONETIME_COGS_RECOGNITION,CTOR040,[일시불] 설치완료-매출원가 인식,[ONETIME] Installation Complete - Cost Recognition,CUSTOMER,ONETIME,ORDER,INSTALLATION_COMPLETED,COGS,COGS_RECOGNITION,Y,40,ACCOUNTING_DOCUMENT,AUTO,INSTALL_COMPLETED,INSTALL,,,,
T200,ONETIME_ADVANCE_PAYMENT_OFFSET,CTOR050,[일시불] 설치완료-선수금 대체,[ONETIME] Installation Complete - Advance Payment Transfer,CUSTOMER,ONETIME,ORDER,INSTALLATION_COMPLETED,ACCOUNT_RECEIVABLE,ADVANCE_PAYMENT_OFFSET,Y,50,ACCOUNTING_DOCUMENT,AUTO,INSTALL_COMPLETED,INSTALL,,,,
T200,ONETIME_PRICE_DIFFERENCE,CTOR060,[일시불] 설치완료-재고가액 확정,[ONETIME] Installation Complete - Inventory Value Confirmation,CUSTOMER,ONETIME,ORDER,INSTALLATION_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,N,60,ACCOUNTING_DOCUMENT,AUTO,INSTALL_COMPLETED,INSTALL,,,,
T200,ONETIME_PRODUCT_SHIPPED,CTLO010,[일시불:출고] 제품출고,[ONETIME] Product Shipment,CUSTOMER,ONETIME,ORDER,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,Y,10,GOODS_ISSUE,AUTO,BOOKING_CONFIRMED,INSTALL,SERVICE_SCHEDULED,,,
T200,ONETIME_PRODUCT_RECEIVED_GRADE_A,CTLO020,[일시불:반품] 반품입고-A급,[ONETIME:Return] Return Received - Grade A,CUSTOMER,ONETIME,RETURN,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,Y,20,GOODS_RECEIPT,AUTO,REFUND_COMPLETED,,,,,
T200,ONETIME_PRODUCT_RECEIVED_GRADE_B,CTLO030,[일시불:반품] 반품입고-B급,[ONETIME:Return] Return Received - Grade B,CUSTOMER,ONETIME,RETURN,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,Y,30,GOODS_RECEIPT,AUTO,REFUND_COMPLETED,,,,,
T200,ONETIME_INVENTORY_DISPOSED_GRADE_B,CTLO040,[일시불:폐기] B급자산 폐기,[ONETIME:Return] Grade B Asset Disposal,CUSTOMER,ONETIME,DISPOSAL,INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,Y,40,GOODS_ISSUE,AUTO,REFUND_COMPLETED,,,,,
T200,ONETIME_PAYMENT_RECEIVED,CTCP010,[일시불:결제] 수납,[ONETIME:Payment] Payment Received,CUSTOMER,ONETIME,PAYMENT,PAYMENT_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,Y,10,ACCOUNTING_DOCUMENT,AUTO,ORDER_RECEIVED,,,,,
T200,ONETIME_PAYMENT_VOID,CTCP020,[일시불:결제] 결제 취소(승인취소),[ONETIME:Payment] Approval Cancellation,CUSTOMER,ONETIME,PAYMENT,PAYMENT_CANCELLED,ACCOUNT_RECEIVABLE,PAYMENT_CANCELLED,Y,20,ACCOUNTING_DOCUMENT,AUTO,CANCELLATION_COMPLETED,,,,,
T200,ONETIME_PAYMENT_REFUND,CTCP030,[일시불:결제] 결제 환불(매입취소),[ONETIME:Payment] Refund,CUSTOMER,ONETIME,PAYMENT,PAYMENT_REFUNDED,ACCOUNT_RECEIVABLE,PAYMENT_REFUNDED,Y,30,ACCOUNTING_DOCUMENT,AUTO,CANCELLATION_COMPLETED,,,,,
