company_code,doc_template_code,line_order,account_code,ref_doc_template_code,account_side,requirement_type,cost_center,profit_center,segment,project,item_text_kor,item_text_eng
N200,ONETIME_PAYMENT_RECEIVED,1,1136010,,DEBIT,REQUIRED,C0001,,,,[일시불:결제] 수납-카드미수금,[ONETIME:Payment] Payment Received-Other Receivables-CreditCard
N200,ONETIME_PAYMENT_RECEIVED,2,2111010,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 수납-선수금,[ONETIME:Payment] Payment Received-AdvancesfromCustomers
N200,ONETIME_PAYMENT_RECEIVED,3,2115020,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 수납-예수금-판매세-State,[ONETIME:Payment] Payment Received-Deposits-SalesTax-State
N200,ONETIME_PAYMENT_RECEIVED,4,2115030,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 수납-예수금-판매세-County,[ONETIME:Payment] Payment Received-Deposits-SalesTax-County
N200,ONETIME_PAYMENT_RECEIVED,5,2115040,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 수납-예수금-판매세-City,[ONETIME:Payment] Payment Received-Deposits-SalesTax-City
N200,ONETIME_PAYMENT_RECEIVED,6,2115050,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 수납-예수금-판매세-Special,[ONETIME:Payment] Payment Received-Deposits-SalesTax-Special
N200,ONETIME_PAYMENT_DEPOSIT,1,1101010,,DEBIT,REQUIRED,C0001,,,,[일시불] 대금입금-현금-보통예금,[ONETIME:Deposit] Deposit Received-Cash - Regular Deposits
N200,ONETIME_PAYMENT_DEPOSIT,2,5423010,,DEBIT,REQUIRED,C0001,,,,[일시불] 대금입금-지급수수료-결제수수료,[ONETIME:Deposit] Deposit Received-ServiceFees-Payment-Fees
N200,ONETIME_PAYMENT_DEPOSIT,3,1136010,ONETIME_PAYMENT_RECEIVED,CREDIT,REQUIRED,C0001,,,,[일시불] 대금입금-카드미수금,[ONETIME:Deposit] Deposit Received-Other Receivables-CreditCard
N200,ONETIME_PAYMENT_VOID,1,2111010,,DEBIT,REQUIRED,C0001,,,,[일시불:결제] 결제 취소(승인취소)-선수금,[ONETIME:Payment] Approval Cancellation-AdvancesfromCustomers
N200,ONETIME_PAYMENT_VOID,2,1136010,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 결제 취소(승인취소)-카드미수금,[ONETIME:Payment] Approval Cancellation-Other Receivables-CreditCard
N200,ONETIME_PAYMENT_REFUND,1,2111010,,DEBIT,REQUIRED,C0001,,,,[일시불:결제] 결제 환불(매입취소)-선수금,[ONETIME:Payment] Refund-AdvancesfromCustomers
N200,ONETIME_PAYMENT_REFUND,2,2107010,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 결제 환불(매입취소)-미지급금,[ONETIME:Payment] Refund-AccruedExpensesGroup
N200,ONETIME_PAYMENT_REFUND,3,5423020,,CREDIT,REQUIRED,C0001,,,,[일시불:결제] 결제 환불(매입취소)-지급수수료-카드수수료,[ONETIME:Payment] Refund-ServiceFees-CreditCard-Fees
N200,ONETIME_PRODUCT_SHIPPED,1,1230010,,DEBIT,REQUIRED,C0001,,,,[일시불:출고] 제품출고-시송품-상품,[ONETIME] Product Shipment-Goods in Transit-Merchandise
N200,ONETIME_PRODUCT_SHIPPED,2,1201010,,CREDIT,REQUIRED,C0001,,,,[일시불:출고] 제품출고-상품,[ONETIME] Product Shipment-Merchandise
N200,ONETIME_SALES_RECOGNITION,1,1117010,,DEBIT,REQUIRED,C0001,,,,[일시불] 설치완료-매출인식-외상매출금-일시불,[ONETIME] Installation Complete - Sales Recognition-Accounts Receivable-Retail
N200,ONETIME_SALES_RECOGNITION,2,4103010,,CREDIT,REQUIRED,C0001,,,,[일시불] 설치완료-매출인식-상품매출-일시불,[ONETIME] Installation Complete - Sales Recognition-Sales Goods-Retail
N200,ONETIME_COGS_RECOGNITION,1,5103010,,DEBIT,REQUIRED,C0001,,,,[일시불] 설치완료-매출원가 인식-상품매출원가-일시불,[ONETIME] Installation Complete - Cost Recognition-COGS-Retail
N200,ONETIME_COGS_RECOGNITION,2,1230010,,CREDIT,REQUIRED,C0001,,,,[일시불] 설치완료-매출원가 인식-시송품-상품,[ONETIME] Installation Complete - Cost Recognition-Goods in Transit-Merchandise
