id,charge_id,invoice_id,create_time,update_time
5e4534f63092,0105429600059-0101-30000A-01,0105429600059-0101-30000A-2024-11,2024-12-09 03:21:57.259890,2024-12-09 03:21:57.259890
244dac4e6ef1,0105429600060-0101-30000A-01,0105429600060-0101-30000A-2024-11,2024-12-09 03:21:57.282379,2024-12-09 03:21:57.282379
51babba6e4c7,0105429600063-0101-30000A-01,0105429600063-0101-30000A-2024-11,2024-12-09 03:21:57.283650,2024-12-09 03:21:57.283650
ff9dbecadc89,0105429700016-0101-N0000A-01,0105429700016-0101-N0000A-2024-11,2024-12-09 03:21:57.284917,2024-12-09 03:21:57.284917
21889c420541,0105429700017-0101-N0000A-01,0105429700017-0101-N0000A-2024-11,2024-12-09 03:21:57.286556,2024-12-09 03:21:57.286556
f4ed5a8ce83c,0105429700019-0101-N0000A-01,0105429700019-0101-N0000A-2024-11,2024-12-09 03:21:57.287928,2024-12-09 03:21:57.287928
9114c51637e8,0105429700021-0101-70000A-01,0105429700021-0101-70000A-2024-11,2024-12-09 03:21:57.289267,2024-12-09 03:21:57.289267
0b5d530eedd7,0105429700022-0101-50000A-01,0105429700022-0101-50000A-2024-11,2024-12-09 03:21:57.290712,2024-12-09 03:21:57.290712
42eaa6688495,0105429700023-0101-30000A-01,0105429700023-0101-30000A-2024-11,2024-12-09 03:21:57.292228,2024-12-09 03:21:57.292228
fd8892b8c8b0,0105429700025-0101-50000A-01,0105429700025-0101-50000A-2024-11,2024-12-09 03:21:57.293230,2024-12-09 03:21:57.293230
ca0fd5421d34,0105429700026-0101-30000A-01,0105429700026-0101-30000A-2024-11,2024-12-09 03:21:57.294170,2024-12-09 03:21:57.294170
cd39a030511f,0105429700027-0101-N0000A-01,0105429700027-0101-N0000A-2024-11,2024-12-09 03:21:57.296404,2024-12-09 03:21:57.296404
004e4a6663ee,0105429700028-0101-30000A-01,0105429700028-0101-30000A-2024-11,2024-12-09 03:21:57.300512,2024-12-09 03:21:57.300512
4b29c575c925,0105429700029-0101-N0000A-01,0105429700029-0101-N0000A-2024-11,2024-12-09 03:21:57.302162,2024-12-09 03:21:57.302162
7f0fe2dbade6,0105429700030-0101-N0000A-01,0105429700030-0101-N0000A-2024-11,2024-12-09 03:21:57.303402,2024-12-09 03:21:57.303402
61f4f3e818c5,0105429700032-0101-30000A-01,0105429700032-0101-30000A-2024-11,2024-12-09 03:21:57.305494,2024-12-09 03:21:57.305494
8c5d53ba4ea9,0105429700033-0101-30000A-01,0105429700033-0101-30000A-2024-11,2024-12-09 03:21:57.308301,2024-12-09 03:21:57.308301
22f438b571a3,0105429800006-0101-50000A-01,0105429800006-0101-50000A-2024-11,2024-12-09 03:21:57.309562,2024-12-09 03:21:57.309562
cccaa852909a,0105429800015-0101-50000A-01,0105429800015-0101-50000A-2024-11,2024-12-09 03:21:57.310681,2024-12-09 03:21:57.310681
cee5708fdc6d,0105429800016-0101-N0000A-01,0105429800016-0101-N0000A-2024-11,2024-12-09 03:21:57.312005,2024-12-09 03:21:57.312005
1554f456400a,0105429800020-0101-50000A-01,0105429800020-0101-50000A-2024-11,2024-12-09 03:21:57.313149,2024-12-09 03:21:57.313149
87ec53113727,0105429800023-0101-30000A-01,0105429800023-0101-30000A-2024-11,2024-12-09 03:21:57.315842,2024-12-09 03:21:57.315842
7298f093c35b,0105429800024-0101-70000A-01,0105429800024-0101-70000A-2024-11,2024-12-09 03:21:57.317105,2024-12-09 03:21:57.317105
d55f59ba3d54,0105429800027-0101-N0000A-01,0105429800027-0101-N0000A-2024-11,2024-12-09 03:21:57.319924,2024-12-09 03:21:57.319924
00b95b45fd0c,0105429800028-0101-N0000A-01,0105429800028-0101-N0000A-2024-11,2024-12-09 03:21:57.320972,2024-12-09 03:21:57.320972
15820da4d0fb,0105429800029-0101-50000A-01,0105429800029-0101-50000A-2024-11,2024-12-09 03:21:57.322199,2024-12-09 03:21:57.322199
f0d2c4644f1e,0105429800033-0101-50000A-01,0105429800033-0101-50000A-2024-11,2024-12-09 03:21:57.324394,2024-12-09 03:21:57.324394
3ce04cc47e02,0105429800036-0101-30000A-01,0105429800036-0101-30000A-2024-11,2024-12-09 03:21:57.325565,2024-12-09 03:21:57.325565
f5f1ec2004bf,0105429800037-0101-70000A-01,0105429800037-0101-70000A-2024-11,2024-12-09 03:21:57.326634,2024-12-09 03:21:57.326634
36d103e822c4,0105429800038-0101-30000A-01,0105429800038-0101-30000A-2024-11,2024-12-09 03:21:57.327675,2024-12-09 03:21:57.327675
240520a41f46,0105429800039-0101-N0000A-01,0105429800039-0101-N0000A-2024-11,2024-12-09 03:21:57.328680,2024-12-09 03:21:57.328680
