id,service_charge_id,charge_status,last_charge_status,service_flow_id,service_billing_type,create_time,update_time
1abVoDkk0Rq,1abVoDfLcyX,PENDING,PENDING,1abVoDfLcyU,INVOICE_BILLING,2025-01-31 09:58:20.844563,2025-01-31 09:58:20.855745
1abYAYRMpSk,1abYAYLyRzR,PENDING,PENDING,1abYAYLyRzO,INVOICE_BILLING,2025-01-31 10:31:22.528591,2025-01-31 10:31:22.539386
1afpwmgQHcT,1afpwmaSht2,PENDING,PENDING,1afpwmaShsz,INVOICE_BILLING,2025-02-03 00:30:34.528877,2025-02-03 00:30:34.540258
1afpxFI9gOP,1afpxEyHlHo,PENDING,PENDING,1afpxEyHlHl,INVOICE_BILLING,2025-02-03 00:30:40.758068,2025-02-03 00:30:40.789810
1afpxRD1Y1x,1afpxQz7Cei,PENDING,PENDING,1afpxQz7Cef,INVOICE_BILLING,2025-02-03 00:30:43.387623,2025-02-03 00:30:43.392189
1afpxbgpJWI,1afpxbTCZH7,PENDING,PENDING,1afpxbTCZH4,INVOICE_BILLING,2025-02-03 00:30:45.677721,2025-02-03 00:30:45.681623
1afpxlOoYt8,1afpxlDkCoX,PENDING,PENDING,1afpxlDkCoU,INVOICE_BILLING,2025-02-03 00:30:47.799131,2025-02-03 00:30:47.802540
1afpy2b1t1e,1afpy2RNWbN,PENDING,PENDING,1afpy2RNWbK,INVOICE_BILLING,2025-02-03 00:30:51.554995,2025-02-03 00:30:51.558607
1afpyHKkf2F,1afpyHBNtk2,PENDING,PENDING,1afpyHBNtjz,INVOICE_BILLING,2025-02-03 00:30:54.773797,2025-02-03 00:30:54.777045
1afpyQhAOhg,1afpyQRYSY3,PENDING,PENDING,1afpyQRYSY0,INVOICE_BILLING,2025-02-03 00:30:56.817783,2025-02-03 00:30:56.822628
1afpyZGt1uq,1afpyZ66GyJ,PENDING,PENDING,1afpyZ66GyG,INVOICE_BILLING,2025-02-03 00:30:58.691871,2025-02-03 00:30:58.695091
1afpyhgK9ua,1afpyhcdNDf,PENDING,PENDING,1afpyhcdNDc,INVOICE_BILLING,2025-02-03 00:31:00.529602,2025-02-03 00:31:00.532693
1afpyuT3rsN,1afpyuErvN4,PENDING,PENDING,1afpyuErvN1,INVOICE_BILLING,2025-02-03 00:31:03.321318,2025-02-03 00:31:03.325043
1afpz1S05sh,1afpz1HmXCI,PENDING,PENDING,1afpz1HUw4B,INVOICE_BILLING,2025-02-03 00:31:04.847459,2025-02-03 00:31:04.850260
1afpz9xcRHm,1afpz9lPggv,PENDING,PENDING,1afpz9lPggs,INVOICE_BILLING,2025-02-03 00:31:06.706476,2025-02-03 00:31:06.709191
1afpzPfa7TJ,1afpzPRxNE8,PENDING,PENDING,1afpzPRxNE5,INVOICE_BILLING,2025-02-03 00:31:10.135202,2025-02-03 00:31:10.140188
1afpzfgicym,1afpzfcB2tf,PENDING,PENDING,1afpzfcB2tc,INVOICE_BILLING,2025-02-03 00:31:13.634932,2025-02-03 00:31:13.639418
1afpzt29LRQ,1afpzsqnOEl,PENDING,PENDING,1afpzsqnOEi,INVOICE_BILLING,2025-02-03 00:31:16.551295,2025-02-03 00:31:16.554728
