id,charge_id,charge_status,last_charge_status,billing_cycle,target_month,contract_id,start_date,end_date,create_time,update_time
1ayDYxMn5rs,0105504500002-0101-3XXXXA-18,CREATED,CREATED,18,,0105504500002-0101-3XXXXA,,,2025-02-14 02:17:56.771616,2025-02-14 02:17:56.780024
1ayDYxMn5rt,0105504500002-0101-3XXXXA-19,CREATED,CREATED,19,,0105504500002-0101-3XXXXA,,,2025-02-14 02:17:56.771868,2025-02-14 02:17:56.780126
1ayDYxMn5ru,0105504500002-0101-3XXXXA-20,CREATED,CREATED,20,,0105504500002-0101-3XXXXA,,,2025-02-14 02:17:56.771939,2025-02-14 02:17:56.780157
1ayDYxMn5rw,0105504500002-0101-3XXXXA-22,CREATED,CREATED,22,,0105504500002-0101-3XXXXA,,,2025-02-14 02:17:56.772055,2025-02-14 02:17:56.780311
1ayEvfR4hUT,0105504500003-0101-3XXXXA-06,CREATED,CREATED,6,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.889907,2025-02-14 02:37:03.953197
1ayEvfQn6MN,0105504500003-0101-3XXXXA-04,CREATED,CREATED,4,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.889755,2025-02-14 02:37:03.952586
1ayEvfR4hUV,0105504500003-0101-3XXXXA-08,CREATED,CREATED,8,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.890053,2025-02-14 02:37:03.953625
1ayEvfR4hUW,0105504500003-0101-3XXXXA-09,CREATED,CREATED,9,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.890118,2025-02-14 02:37:03.953818
1ayEvfR4hUU,0105504500003-0101-3XXXXA-07,CREATED,CREATED,7,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.889985,2025-02-14 02:37:03.953410
1ayEvfR4hUX,0105504500003-0101-3XXXXA-10,CREATED,CREATED,10,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.890185,2025-02-14 02:37:03.953974
1ayEvfRMIcc,0105504500003-0101-3XXXXA-11,CREATED,CREATED,11,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.890248,2025-02-14 02:37:03.954112
1ayEvfRMIcd,0105504500003-0101-3XXXXA-12,CREATED,CREATED,12,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.890312,2025-02-14 02:37:03.954259
1ayEvfRMIcf,0105504500003-0101-3XXXXA-14,CREATED,CREATED,14,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.891681,2025-02-14 02:37:03.954578
1ayEvfRMIce,0105504500003-0101-3XXXXA-13,CREATED,CREATED,13,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.891580,2025-02-14 02:37:03.954416
1ayEvfUCHvc,0105504500003-0101-3XXXXA-34,CREATED,CREATED,34,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.895189,2025-02-14 02:37:03.964048
1ayEvfUCHvf,0105504500003-0101-3XXXXA-36,CREATED,CREATED,36,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.895367,2025-02-14 02:37:03.964296
1ayEvfUCHve,0105504500003-0101-3XXXXA-35,CREATED,CREATED,35,,0105504500003-0101-3XXXXA,,,2025-02-14 02:37:03.895303,2025-02-14 02:37:03.964285
1ayGMHuBXTA,0105504500004-0101-NXXXXA-10,CREATED,CREATED,10,,0105504500004-0101-NXXXXA,,,2025-02-14 02:57:04.057199,2025-02-14 02:57:04.072286
1ayGMHuBXTB,0105504500004-0101-NXXXXA-11,CREATED,CREATED,11,,0105504500004-0101-NXXXXA,,,2025-02-14 02:57:04.057358,2025-02-14 02:57:04.072406
1ayGMHuBXT9,0105504500004-0101-NXXXXA-09,CREATED,CREATED,9,,0105504500004-0101-NXXXXA,,,2025-02-14 02:57:04.056921,2025-02-14 02:57:04.072184
1ayGMHuBXTC,0105504500004-0101-NXXXXA-12,CREATED,CREATED,12,,0105504500004-0101-NXXXXA,,,2025-02-14 02:57:04.057430,2025-02-14 02:57:04.072590
1awo1fKrOPc,0105504400001-0101-3XXXXA-01,CREATED,CREATED,1,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.073138,2025-02-13 05:52:59.151949
1awo1fN8BSB,0105504400001-0101-3XXXXA-04,CREATED,CREATED,4,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.077263,2025-02-13 05:52:59.159620
1awo1fLQafl,0105504400001-0101-3XXXXA-02,CREATED,CREATED,2,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.076659,2025-02-13 05:52:59.153963
1awo1fMqaK6,0105504400001-0101-3XXXXA-03,CREATED,CREATED,3,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.076840,2025-02-13 05:52:59.158679
1awo1fNhNiK,0105504400001-0101-3XXXXA-05,CREATED,CREATED,5,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.077630,2025-02-13 05:52:59.161097
1awo1fOGZyT,0105504400001-0101-3XXXXA-06,CREATED,CREATED,6,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.077872,2025-02-13 05:52:59.163174
1awo1fOYB6b,0105504400001-0101-3XXXXA-10,CREATED,CREATED,10,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.079038,2025-02-13 05:52:59.164921
1awo1fOGZyV,0105504400001-0101-3XXXXA-08,CREATED,CREATED,8,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.078364,2025-02-13 05:52:59.163783
1awo1fOYB6a,0105504400001-0101-3XXXXA-09,CREATED,CREATED,9,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.078577,2025-02-13 05:52:59.164589
1awo1fOpmEg,0105504400001-0101-3XXXXA-11,CREATED,CREATED,11,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.079153,2025-02-13 05:52:59.165185
1awo1fOpmEh,0105504400001-0101-3XXXXA-12,CREATED,CREATED,12,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.079544,2025-02-13 05:52:59.165496
1awo1fP7NMn,0105504400001-0101-3XXXXA-14,CREATED,CREATED,14,,0105504400001-0101-3XXXXA,,,2025-02-13 05:52:59.081322,2025-02-13 05:52:59.166121
