id,service_charge_id,charge_status,last_charge_status,service_flow_id,service_billing_type,create_time,update_time
1awxU400dVi,1awxU3ZtXXh,PENDING,PENDING,1awxU3ZbwPa,INVOICE_BILLING,2025-02-13 08:05:20.219005,2025-02-13 08:05:20.286897
1ax0hVXngr1,1ax0hVIkwxW,PENDING,PENDING,1ax0hVIkwxT,INVOICE_BILLING,2025-02-13 08:50:21.169007,2025-02-13 08:50:21.206016
1ax9dRJ2oTC,1ax9dR2ITnJ,PENDING,PENDING,1ax9dR2ITnG,ON_SITE_PAYMENT,2025-02-13 10:55:22.641315,2025-02-13 10:55:22.677231
1ayHC84SWwU,1ayHC81cXdl,PENDING,PENDING,1ayHC81cXdi,INVOICE_BILLING,2025-02-14 03:08:46.116073,2025-02-14 03:08:46.120545
1ayI0zN9Rli,1ayI0zK1rKv,PENDING,PENDING,1ayI0zK1rKs,INVOICE_BILLING,2025-02-14 03:20:14.869738,2025-02-14 03:20:14.874057
1ayKepMzHvU,1ayKepJrhUh,PENDING,PENDING,1ayKepJrhUe,ON_SITE_PAYMENT,2025-02-14 03:57:13.611149,2025-02-14 03:57:13.615481
1ayMNuJZXDY,1ayMNuGjXup,PENDING,PENDING,1ayMNuGjXum,ON_SITE_PAYMENT,2025-02-14 04:21:23.710571,2025-02-14 04:21:23.714619
1ayOjKfGk0B,1ayOjKcQkhS,PENDING,PENDING,1ayOjKcQkhP,ON_SITE_PAYMENT,2025-02-14 04:54:13.089350,2025-02-14 04:54:13.093894
1ayTCs2HZkq,1ayTCrzjBaB,PENDING,PENDING,1ayTCrzjBa8,INVOICE_BILLING,2025-02-14 05:56:51.576658,2025-02-14 05:56:51.580652
1ax9mUFbIJy,1ax9mTy0AFt,PENDING,PENDING,1ax9mTy0AFq,INVOICE_BILLING,2025-02-13 10:57:25.163508,2025-02-13 10:57:25.200753
1axIs1NyYdL,1axIs1KHlwQ,PENDING,PENDING,1axIs1K0AoJ,INVOICE_BILLING,2025-02-13 13:04:36.708680,2025-02-13 13:04:36.714798
1ayCCQWqAG3,1ayCCQIvoso,PENDING,PENDING,1ayCCQIvosl,INVOICE_BILLING,2025-02-14 01:58:52.029990,2025-02-14 01:58:52.060513
1ayTM2uPR8p,1ayTM2s8e6E,PENDING,PENDING,1ayTM2s8e6B,INVOICE_BILLING,2025-02-14 05:58:55.831900,2025-02-14 05:58:55.835674
1ayTM5cjZIp,1ayTM5aBB8A,PENDING,PENDING,1ayTM5aBB87,INVOICE_BILLING,2025-02-14 05:58:56.424503,2025-02-14 05:58:56.428253
1awo1jUJZOr,1awo1iT11OO,PENDING,PENDING,1awo1iT11OL,INVOICE_BILLING,2025-02-13 05:53:00.024713,2025-02-13 05:53:00.058545
1awoP4mOOC3,1awoP4VveeE,PENDING,PENDING,1awoP4VveeB,INVOICE_BILLING,2025-02-13 05:58:16.157400,2025-02-13 05:58:16.180265
1awoP9JyTGD,1awoP9GqspQ,PENDING,PENDING,1awoP9GqspN,INVOICE_BILLING,2025-02-13 05:58:17.168288,2025-02-13 05:58:17.172971
1ayDYxpAysm,1ayDYxmcai7,PENDING,PENDING,1ayDYxmcai4,INVOICE_BILLING,2025-02-14 02:17:56.876382,2025-02-14 02:17:56.880130
1ayEvgACvBN,1ayEvfxiZSS,PENDING,PENDING,1ayEvfxiZSP,INVOICE_BILLING,2025-02-14 02:37:04.084171,2025-02-14 02:37:04.112284
1ayGMIcSxma,1ayGMIZcyTr,PENDING,PENDING,1ayGMIZcyTo,INVOICE_BILLING,2025-02-14 02:57:04.223821,2025-02-14 02:57:04.228283
1ayVXCIWMgK,1ayVXCFxyVf,PENDING,PENDING,1ayVXCFxyVc,INVOICE_BILLING,2025-02-14 06:29:26.083365,2025-02-14 06:29:26.087593
1ayVXFETF5d,1ayVXFCU3B6,PENDING,PENDING,1ayVXFCU3B3,INVOICE_BILLING,2025-02-14 06:29:26.725739,2025-02-14 06:29:26.728552
1ayWXgfV7RK,1ayWXgdEKOj,PENDING,PENDING,1ayWXgdEKOg,INVOICE_BILLING,2025-02-14 06:43:32.335878,2025-02-14 06:43:32.339118
1ayXGmHcwxn,1ayXGmFM9vC,PENDING,PENDING,1ayXGmFM9v9,INVOICE_BILLING,2025-02-14 06:53:42.962795,2025-02-14 06:53:42.966388
1ayYYflH3y4,1ayYYfiR4fL,PENDING,PENDING,1ayYYfiR4fI,INVOICE_BILLING,2025-02-14 07:11:44.916555,2025-02-14 07:11:44.920334
1ayaPcoricn,1ayaPcmavaC,PENDING,PENDING,1ayaPcmava9,INVOICE_BILLING,2025-02-14 07:37:41.631395,2025-02-14 07:37:41.634732
1aybcc7NPiM,1aybcc4p1Xh,PENDING,PENDING,1aybcc4p1Xe,INVOICE_BILLING,2025-02-14 07:54:37.145475,2025-02-14 07:54:37.148979
1aycGHP9ZSw,1aycGHNANYP,PENDING,PENDING,1aycGHNANYM,INVOICE_BILLING,2025-02-14 08:03:34.310678,2025-02-14 08:03:34.313831
1aycO8nE2Fk,1aycO8lWRTH,PENDING,PENDING,1aycO8lWRTE,ON_SITE_PAYMENT,2025-02-14 08:05:20.767710,2025-02-14 08:05:20.770686
1aycOAYVbMQ,1aycOAWWPRt,PENDING,PENDING,1aycOAWWPRq,ON_SITE_PAYMENT,2025-02-14 08:05:21.152271,2025-02-14 08:05:21.155144
1awouIxBFB3,1awouI6Nqyy,PENDING,PENDING,1awouI6Nqyv,INVOICE_BILLING,2025-02-13 06:05:19.081609,2025-02-13 06:05:19.085579
1awouMpbUOH,1awouMncITk,PENDING,PENDING,1awouMncITh,INVOICE_BILLING,2025-02-13 06:05:19.929403,2025-02-13 06:05:19.932899
1awouOyjMQy,1awouOwkAWP,PENDING,PENDING,1awouOwkAWM,INVOICE_BILLING,2025-02-13 06:05:20.397646,2025-02-13 06:05:20.401614
1aydFQcW0X6,1aydFQaWocZ,PENDING,PENDING,1aydFQaWocW,ON_SITE_PAYMENT,2025-02-14 08:17:22.399457,2025-02-14 08:17:22.402475
1aydFTUm6Fg,1aydFTT4VTD,PENDING,PENDING,1aydFTT4VTA,ON_SITE_PAYMENT,2025-02-14 08:17:23.028057,2025-02-14 08:17:23.030895
1ayiSgmFwxr,1ayiSgjhYnC,PENDING,PENDING,1ayiSgjhYn9,INVOICE_BILLING,2025-02-14 09:30:20.068483,2025-02-14 09:30:20.072041
1awqZjcfUZn,1awqZjZpVH4,PENDING,PENDING,1awqZjZpVH1,INVOICE_BILLING,2025-02-13 06:28:39.756503,2025-02-13 06:28:39.760949
1awrGckdIIX,1awrGcfEupE,PENDING,PENDING,1awrGcfEupB,INVOICE_BILLING,2025-02-13 06:38:20.563354,2025-02-13 06:38:20.575880
1aylK1AaYow,1aylK17SyO9,PENDING,PENDING,1aylK17SyO6,INVOICE_BILLING,2025-02-14 10:10:21.497463,2025-02-14 10:10:21.501248
1awrOuol2yG,1awrOumUFvf,PENDING,PENDING,1awrOumUFvc,ON_SITE_PAYMENT,2025-02-13 06:40:12.855852,2025-02-13 06:40:12.859725
1aydFUdSDfq,1aydFUcJp9V,PENDING,PENDING,1aydFUcJp9S,ON_SITE_PAYMENT,2025-02-14 08:17:23.277390,2025-02-14 08:17:23.279960
1aydFVjZwvS,1aydFVhsM8z,PENDING,PENDING,1aydFVhsM8w,ON_SITE_PAYMENT,2025-02-14 08:17:23.516211,2025-02-14 08:17:23.519121
1aynWqBfI6X,1aynWq8pIno,PENDING,PENDING,1aynWq8pInl,ON_SITE_PAYMENT,2025-02-14 10:41:14.384426,2025-02-14 10:41:14.388029
1aynfh3OjrN,1aynfh17wom,PENDING,PENDING,1aynfh17woj,ON_SITE_PAYMENT,2025-02-14 10:43:14.270086,2025-02-14 10:43:14.273045
