id,charge_item_id,charge_item_type,quantity,subtotal_price,item_price,discount_price,prepaid_amount,promotions,currency,is_tax_exempt,create_time,update_time,service_charge_id,material_id
1awouI6Nqyz,1awouI6Nqyz,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:05:19.082425,2025-02-13 06:05:19.086917,1awouI6Nqyy,
1ayHC81cXdm,1ayHC81cXdm,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 03:08:46.116825,2025-02-14 03:08:46.121127,1ayHC81cXdl,
1ayI0zK1rKw,1ayI0zK1rKw,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 03:20:14.870941,2025-02-14 03:20:14.874596,1ayI0zK1rKv,
1ayKepJrhUi,1ayKepJrhUi,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 03:57:13.612156,2025-02-14 03:57:13.615937,1ayKepJrhUh,
1awouMncITl,1awouMncITl,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:05:19.930104,2025-02-13 06:05:19.934247,1awouMncITk,
1awouOwkAWQ,1awouOwkAWQ,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:05:20.398665,2025-02-13 06:05:20.402126,1awouOwkAWP,
1awqZjZpVH5,1awqZjZpVH5,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:28:39.757174,2025-02-13 06:28:39.761495,1awqZjZpVH4,
1ayMNuGjXuq,1ayMNuGjXuq,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 04:21:23.711528,2025-02-14 04:21:23.715122,1ayMNuGjXup,
1awrGcfEupF,1awrGcfEupF,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:38:20.567890,2025-02-13 06:38:20.578280,1awrGcfEupE,
1awrOumUFvg,1awrOumUFvg,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 06:40:12.856570,2025-02-13 06:40:12.861256,1awrOumUFvf,
1awxU3ZtXXi,1awxU3ZtXXi,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 08:05:20.226448,2025-02-13 08:05:20.298177,1awxU3ZtXXh,
1ayOjKcQkhT,1ayOjKcQkhT,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 04:54:13.090238,2025-02-14 04:54:13.094555,1ayOjKcQkhS,
1ayTCrzjBaC,1ayTCrzjBaC,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 05:56:51.577577,2025-02-14 05:56:51.581279,1ayTCrzjBaB,
1ayTM2s8e6F,1ayTM2s8e6F,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-14 05:58:55.832778,2025-02-14 05:58:55.836147,1ayTM2s8e6E,
1ax0hVJ2Y5b,1ax0hVJ2Y5b,INSTALLATION_FEE,1,0.00,0.00,0.00,0.00,{},USD,false,2025-02-13 08:50:21.178170,2025-02-13 08:50:21.208089,1ax0hVIkwxW,
