id,charge_id,invoice_id,create_time,update_time
2804e0c606ed,0105429600059-0101-30000A-01,0105429600059-0101-30000A-2024-11,2024-12-09 03:21:57.259890,2024-12-09 03:21:57.259890
6dd77221d7cd,0105429600060-0101-30000A-01,0105429600060-0101-30000A-2024-11,2024-12-09 03:21:57.282379,2024-12-09 03:21:57.282379
1b1b97009693,0105429600063-0101-30000A-01,0105429600063-0101-30000A-2024-11,2024-12-09 03:21:57.283650,2024-12-09 03:21:57.283650
9161f199dd1d,0105429700016-0101-N0000A-01,0105429700016-0101-N0000A-2024-11,2024-12-09 03:21:57.284917,2024-12-09 03:21:57.284917
708ade0c1622,0105429700017-0101-N0000A-01,0105429700017-0101-N0000A-2024-11,2024-12-09 03:21:57.286556,2024-12-09 03:21:57.286556
b639a442fa14,0105429700019-0101-N0000A-01,0105429700019-0101-N0000A-2024-11,2024-12-09 03:21:57.287928,2024-12-09 03:21:57.287928
f1ad5a345ccd,0105429700021-0101-70000A-01,0105429700021-0101-70000A-2024-11,2024-12-09 03:21:57.289267,2024-12-09 03:21:57.289267
3e8660520bd7,0105429700022-0101-50000A-01,0105429700022-0101-50000A-2024-11,2024-12-09 03:21:57.290712,2024-12-09 03:21:57.290712
d42a0300a9f0,0105429700023-0101-30000A-01,0105429700023-0101-30000A-2024-11,2024-12-09 03:21:57.292228,2024-12-09 03:21:57.292228
7485683a4712,0105429700025-0101-50000A-01,0105429700025-0101-50000A-2024-11,2024-12-09 03:21:57.293230,2024-12-09 03:21:57.293230
08dc3f5096a4,0105429700026-0101-30000A-01,0105429700026-0101-30000A-2024-11,2024-12-09 03:21:57.294170,2024-12-09 03:21:57.294170
189ec619f8c8,0105429700027-0101-N0000A-01,0105429700027-0101-N0000A-2024-11,2024-12-09 03:21:57.296404,2024-12-09 03:21:57.296404
000a127bc162,0105429700028-0101-30000A-01,0105429700028-0101-30000A-2024-11,2024-12-09 03:21:57.300512,2024-12-09 03:21:57.300512
2b0aa55df3bd,0105429700029-0101-N0000A-01,0105429700029-0101-N0000A-2024-11,2024-12-09 03:21:57.302162,2024-12-09 03:21:57.302162
85411ecba2f0,0105429700030-0101-N0000A-01,0105429700030-0101-N0000A-2024-11,2024-12-09 03:21:57.303402,2024-12-09 03:21:57.303402
f8738675c6af,0105429700032-0101-30000A-01,0105429700032-0101-30000A-2024-11,2024-12-09 03:21:57.305494,2024-12-09 03:21:57.305494
155a437f1c56,0105429700033-0101-30000A-01,0105429700033-0101-30000A-2024-11,2024-12-09 03:21:57.308301,2024-12-09 03:21:57.308301
043f37661bd2,0105429800006-0101-50000A-01,0105429800006-0101-50000A-2024-11,2024-12-09 03:21:57.309562,2024-12-09 03:21:57.309562
