id,contract_id,contract_status,last_contract_status,rental_code,order_item_id,customer_id,start_date,end_date,duration_in_months,payment_day,create_time,update_time
0a65dfc1b29a,0105429600059-0101-30000A,ACTIVE,PENDING_CONFIRMATION,3XXXXA,0105429600059-0101,92b8c1ec03a1f724578a805ad4eea983,2024-10-22,2027-10-22,36,10,2024-10-22 05:56:31.529232,2024-10-22 05:56:51.435412
28988189076a,0105429600059-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600059-0101,92b8c1ec03a1f724578a805ad4eea983,2024-10-22,2027-10-22,36,10,2024-10-22 05:56:31.529232,2024-10-22 05:56:31.529232
b6a1cb75ebde,0105429600060-0101-30000A,ACTIVE,PENDING_CONFIRMATION,3XXXXA,0105429600060-0101,add82a2c43fb87641687545f9b351ee1,2024-10-31,2027-10-31,36,10,2024-10-22 06:30:14.730080,2024-10-31 09:48:21.998462
5b2b6ed435fd,0105429600060-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600060-0101,add82a2c43fb87641687545f9b351ee1,2024-10-31,2027-10-31,36,10,2024-10-22 06:30:14.730080,2024-10-22 06:30:14.730080
3b0ab617b506,0105429600061-0101-70000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,7XXXXA,0105429600061-0101,cec51c756b0a7bba176b9b710ae59ba6,,,84,10,2024-10-22 07:07:09.459319,2024-10-22 07:07:09.459319
1cab5c12e0a3,0105429600062-0101-50000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,5XXXXA,0105429600062-0101,cec51c756b0a7bba176b9b710ae59ba6,,,60,10,2024-10-22 07:12:58.009287,2024-10-22 07:12:58.009287
b7539d177b40,0105429600062-0201-50000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,5XXXXA,0105429600062-0201,cec51c756b0a7bba176b9b710ae59ba6,,,60,10,2024-10-22 07:13:01.945818,2024-10-22 07:13:01.945818
47c0b0da4e64,0105429600063-0101-30000A,ACTIVE,PENDING_CONFIRMATION,3XXXXA,0105429600063-0101,40547a52af73f53d3eb30b01c8271cbf,2024-10-31,2027-10-31,36,10,2024-10-22 07:15:24.193841,2024-10-31 09:48:14.462822
6094862c64ac,0105429600063-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600063-0101,40547a52af73f53d3eb30b01c8271cbf,2024-10-31,2027-10-31,36,10,2024-10-22 07:15:24.193841,2024-10-22 07:15:24.193841
1d7e6cb260e2,0105429600064-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600064-0101,a20690ea4ee9e5cd16ff1eb4e6c605da,,,36,10,2024-10-22 08:31:08.350248,2024-10-22 08:31:08.350248
c6848b00ba04,0105429600066-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600066-0101,cec51c756b0a7bba176b9b710ae59ba6,,,36,10,2024-10-22 08:39:41.303651,2024-10-22 08:39:41.303651
63488fcf5b85,0105429600067-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600067-0101,f53cc378c83383c386b164cdc1ac3aac,,,36,10,2024-10-22 08:46:45.788850,2024-10-22 08:46:45.788850
b3aef2a7f6ed,0105429600068-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600068-0101,a42f95c7c289e5fa42095c8fb7fd6ee4,,,36,10,2024-10-22 10:03:43.998001,2024-10-22 10:03:43.998001
445e7468af2e,0105429600073-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429600073-0101,f53cc378c83383c386b164cdc1ac3aac,,,36,10,2024-10-22 23:08:24.745870,2024-10-22 23:08:24.745870
59bd820597c5,0105429700001-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700001-0101,3996058db446b5f16cc09974985ccf50,,,36,10,2024-10-23 02:18:39.837263,2024-10-23 02:18:39.837263
bb88629b8013,0105429700003-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700003-0101,05ab91030540bad4c501481f830b37e1,,,36,10,2024-10-23 04:10:07.055229,2024-10-23 04:10:07.055229
bb19429672e7,0105429700004-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700004-0101,9957ff1abce04f6c56c1b4056f8ac420,,,36,10,2024-10-23 04:31:39.920759,2024-10-23 04:31:39.920759
caf6742e55ba,0105429700005-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700005-0101,80c605eb9fe9e2aa5f6b78b0cb01c53f,,,36,10,2024-10-23 06:33:23.574524,2024-10-23 06:33:23.574524
16193b6abc22,0105429700007-0101-70000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,7XXXXA,0105429700007-0101,2e7fa1ad060563e8c890a628c36fa3cf,,,84,20,2024-10-23 07:35:15.450798,2024-10-23 07:35:15.450798
f7c1ba67bc82,0105429700008-0101-70000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,7XXXXA,0105429700008-0101,1785487e67f897c148d7de14d3abb00b,,,84,20,2024-10-23 07:35:18.418949,2024-10-23 07:35:18.418949
c47208398c57,0105429700009-0101-N0000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,NXXXXA,0105429700009-0101,2be15f6ecda52142bc10da083db3f86a,,,0,20,2024-10-23 07:35:20.450534,2024-10-23 07:35:20.450534
48c452cc649c,0105429700010-0101-70000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,7XXXXA,0105429700010-0101,c785c61ce7c4f8f08f648ed107bf7316,,,84,20,2024-10-23 07:35:22.529518,2024-10-23 07:35:22.529518
33dbbc6751ac,0105429700011-0101-50000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,5XXXXA,0105429700011-0101,fb21354bddf8ec403ac4aaffeaf9407c,,,60,20,2024-10-23 07:35:24.248928,2024-10-23 07:35:24.248928
34bfe334f3b5,0105429700012-0101-N0000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,NXXXXA,0105429700012-0101,b3c8cdc08362f9262878d15c1bc83f00,,,0,20,2024-10-23 07:35:25.910882,2024-10-23 07:35:25.910882
e7d9a896e7d3,0105429700013-0101-N0000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,NXXXXA,0105429700013-0101,ebd78919b08ffe9cc5447473572f4fe8,,,0,20,2024-10-23 07:35:27.796454,2024-10-23 07:35:27.796454
7a84d13c93b1,0105429700014-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700014-0101,4002aad12eda55d17f2697a50275b0e0,,,36,20,2024-10-23 07:35:29.636495,2024-10-23 07:35:29.636495
8c0360eafeeb,0105429700015-0101-30000A,PENDING_CONFIRMATION,PENDING_CONFIRMATION,3XXXXA,0105429700015-0101,6d156369cfc9ce288876c160ae982397,,,36,10,2024-10-23 07:35:31.231823,2024-10-23 07:35:31.231823
83e23348565e,0105429700016-0101-N0000A,ACTIVE,PENDING_CONFIRMATION,NXXXXA,0105429700016-0101,faab5dcfce8208b729a9115945e4b4af,2024-10-24,,0,20,2024-10-23 07:35:32.796480,2024-10-24 08:10:48.350454
