id,range_id,label,min_aging_days,max_aging_days,is_active,create_time
12,1XmqSbujw6m,91~120일,91,120,Y,2024-10-18 12:00:00.000000 +00:00
13,1XmqSbujw6q,~3년,731,1095,Y,2024-10-18 12:00:00.000000 +00:00
14,1XmqSbujw6s,4년 이상,1461,,Y,2024-10-18 12:00:00.000000 +00:00
15,1XmqSbujw6r,~4년,1096,1460,Y,2024-10-18 12:00:00.000000 +00:00
16,1XmqSbrcLg1,~30일,0,30,Y,2024-10-18 12:00:00.000000 +00:00
17,1XmqSbujw6p,366~730일,366,730,Y,2024-10-18 12:00:00.000000 +00:00
18,1XmqSbujw6n,121~180일,121,180,Y,2024-10-18 12:00:00.000000 +00:00
19,1XmqSbuSKyh,61~90일,61,90,Y,2024-10-18 12:00:00.000000 +00:00
20,1XmqSbujw6o,181~365일,181,365,Y,2024-10-18 12:00:00.000000 +00:00
21,1XmqSbuSKyg,31~60일,31,60,Y,2024-10-18 12:00:00.000000 +00:00
