id,source_warehouse_id,destination_warehouse_id,warehouse_transfer_id,transfer_status,movement_category,movement_group,movement_type,service_flow_id,inbound_purchase_order_item_id,inbound_bl_no,material_id,grade,quantity,create_time
11995,1SSfN08cWKS,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1Xl6qGvWq8z,,,WP_113784,GRADE_A,1,2024-11-01 00:46:44.958624 +00:00
11996,1SSfN08cWKS,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1Xl6JNCIvVk,,,WP_113781,GRADE_A,1,2024-11-01 00:46:54.731974 +00:00
11997,1SSfN08cWKS,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XgQxmEjEXw,,,WP_113781,GRADE_A,1,2024-11-01 00:47:13.327296 +00:00
11998,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWgAnlxOln,,,WP_113781,GRADE_A,1,2024-11-01 00:49:16.603955 +00:00
11999,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWgB00PaL7,,,WP_113781,GRADE_A,1,2024-11-01 00:49:24.738495 +00:00
12000,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWg9vVNr6I,,,WP_113781,GRADE_A,1,2024-11-01 00:49:35.220366 +00:00
12001,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWf2zAEwYI,,,WP_113781,GRADE_A,1,2024-11-01 00:50:02.566243 +00:00
12002,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWV4k4xQ80,,,WP_113781,GRADE_A,1,2024-11-01 00:50:14.744807 +00:00
12003,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XWUihncnov,,,WP_113781,GRADE_A,1,2024-11-01 00:50:22.324043 +00:00
12004,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XKZobfbrmT,,,WP_113781,GRADE_A,1,2024-11-01 00:51:45.147836 +00:00
12009,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XKZnlRPvt8,,,WP_113781,GRADE_A,1,2024-11-01 00:52:02.338584 +00:00
12018,1U0g4oUiIUx,,,,OUTBOUND,OUTBOUND_SALES,OUTBOUND_SALES_ORDER,1XKWwPx2ahc,,,WP_113781,GRADE_A,1,2024-11-01 00:52:37.478042 +00:00
