id,warehouse_id,parent_warehouse_id,name,warehouse_type,time_zone,is_active,create_time
1,1U0g4oUiIUx,1SSlmkCG5OV,tech0202,TECHNICIAN,America/Chicago,Y,2024-05-30 02:11:19.606702 +00:00
2,1TqsJHeoqAy,1SSlmkCG5OU,jihun,TECHNICIAN,America/Chicago,Y,2024-05-24 04:26:27.613256 +00:00
3,1SSfN08cWKS,1SSlmkCG5OV,tech0201,TECHNICIAN,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
4,1SSlmkCG5OW,1SSlmkB7gsD,Austin RDC,RDC,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
5,1U0gLF0Se7s,1SSlmkCG5OW,tech0303,TECHNICIAN,America/Chicago,Y,2024-05-30 02:15:02.074988 +00:00
6,1U0g84GpRuX,1SSlmkCG5OV,tech0203,TECHNICIAN,America/Chicago,Y,2024-05-30 02:12:03.681372 +00:00
7,1U0fpsxt6MT,1SSlmkCG5OU,tech0103,TECHNICIAN,America/Chicago,Y,2024-05-30 02:07:57.469150 +00:00
8,1U0gTrLUDBm,1SSlmkCG5OU,bran0101,TECHNICIAN,America/Chicago,Y,2024-05-30 02:16:58.784804 +00:00
9,1Txm4wW8VPw,1SSlmkCG5OU,Joohyub Baek,TECHNICIAN,America/Chicago,Y,2024-05-28 08:12:30.058797 +00:00
10,1U0fwCHLtwq,1SSlmkCG5OU,tech0104,TECHNICIAN,America/Chicago,Y,2024-05-30 02:09:22.921441 +00:00
11,1YppskAtejm,1SSlmkCG5OU,QuarantineWarehouse,TECHNICIAN,America/Chicago,N,2024-11-26 08:02:37.328778 +00:00
12,1U0gAfkjCzy,1SSlmkCG5OV,tech0204,TECHNICIAN,America/Chicago,Y,2024-05-30 02:12:38.950696 +00:00
13,1SSfCXuTPZh,1SSlmkCG5OU,tech0102,TECHNICIAN,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
14,1U2FkX99o0H,1SSlmkCG5OW,seongsoo,TECHNICIAN,America/Chicago,Y,2024-05-31 00:58:07.592133 +00:00
15,1SSezpQgUQD,1SSlmkCG5OU,tech0101,TECHNICIAN,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
16,1SSfSB5Agwm,1SSlmkCG5OW,tech0301,TECHNICIAN,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
17,1SSlmkCG5OU,1SSlmkB7gsD,Dallas RDC,RDC,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
18,1U0gHeRwDJV,1SSlmkCG5OW,tech0302,TECHNICIAN,America/Chicago,Y,2024-05-30 02:14:13.462353 +00:00
19,1U0gXs3VLGb,1SSlmkCG5OV,bran0201,TECHNICIAN,America/Chicago,Y,2024-05-30 02:17:53.109216 +00:00
20,1SSlmkCG5OV,1SSlmkB7gsD,Houston RDC,RDC,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
21,1Y79TtvB6kL,1SSlmkCG5OU,jihun5000,TECHNICIAN,America/Chicago,Y,2024-10-30 09:54:38.070278 +00:00
22,1U0gc7iiKRs,1SSlmkCG5OW,bran0301,TECHNICIAN,America/Chicago,Y,2024-05-30 02:18:50.700379 +00:00
23,1U0gOACDbtD,1SSlmkCG5OW,tech0304,TECHNICIAN,America/Chicago,Y,2024-05-30 02:15:41.648704 +00:00
24,1VhB19s5o5I,1SSlmkB7gsD,Guro,RDC,America/Chicago,Y,2024-08-01 01:15:17.403540 +00:00
25,1SSlmkB7gsD,,Dallas CDC,CDC,America/Chicago,Y,2024-05-17 08:52:43.708446 +00:00
