id,charge_id,invoice_id,create_time,update_time
1ZB5ZkvKv6P,0105429600059-0101-30000A-01,0105429600059-0101-30000A-2024-11,2024-12-09 03:21:57.259890,2024-12-09 03:21:57.259890
1ZB5ZkwBiUc,0105429600060-0101-30000A-01,0105429600060-0101-30000A-2024-11,2024-12-09 03:21:57.282379,2024-12-09 03:21:57.282379
1ZB5ZkwBiUd,0105429600063-0101-30000A-01,0105429600063-0101-30000A-2024-11,2024-12-09 03:21:57.283650,2024-12-09 03:21:57.283650
1ZB5ZkwBiUe,0105429700016-0101-N0000A-01,0105429700016-0101-N0000A-2024-11,2024-12-09 03:21:57.284917,2024-12-09 03:21:57.284917
1ZB5ZkwBiUf,0105429700017-0101-N0000A-01,0105429700017-0101-N0000A-2024-11,2024-12-09 03:21:57.286556,2024-12-09 03:21:57.286556
1ZB5ZkwBiUg,0105429700019-0101-N0000A-01,0105429700019-0101-N0000A-2024-11,2024-12-09 03:21:57.287928,2024-12-09 03:21:57.287928
1ZB5ZkwBiUh,0105429700021-0101-70000A-01,0105429700021-0101-70000A-2024-11,2024-12-09 03:21:57.289267,2024-12-09 03:21:57.289267
1ZB5ZkwBiUi,0105429700022-0101-50000A-01,0105429700022-0101-50000A-2024-11,2024-12-09 03:21:57.290712,2024-12-09 03:21:57.290712
1ZB5ZkwBiUj,0105429700023-0101-30000A-01,0105429700023-0101-30000A-2024-11,2024-12-09 03:21:57.292228,2024-12-09 03:21:57.292228
1ZB5ZkwBiUk,0105429700025-0101-50000A-01,0105429700025-0101-50000A-2024-11,2024-12-09 03:21:57.293230,2024-12-09 03:21:57.293230
1ZB5ZkwBiUl,0105429700026-0101-30000A-01,0105429700026-0101-30000A-2024-11,2024-12-09 03:21:57.294170,2024-12-09 03:21:57.294170
1ZB5ZkwBiUm,0105429700027-0101-N0000A-01,0105429700027-0101-N0000A-2024-11,2024-12-09 03:21:57.296404,2024-12-09 03:21:57.296404
1ZB5ZkwBiUn,0105429700028-0101-30000A-01,0105429700028-0101-30000A-2024-11,2024-12-09 03:21:57.300512,2024-12-09 03:21:57.300512
1ZB5ZkwTJcs,0105429700029-0101-N0000A-01,0105429700029-0101-N0000A-2024-11,2024-12-09 03:21:57.302162,2024-12-09 03:21:57.302162
1ZB5ZkwTJct,0105429700030-0101-N0000A-01,0105429700030-0101-N0000A-2024-11,2024-12-09 03:21:57.303402,2024-12-09 03:21:57.303402
1ZB5ZkwTJcu,0105429700032-0101-30000A-01,0105429700032-0101-30000A-2024-11,2024-12-09 03:21:57.305494,2024-12-09 03:21:57.305494
1ZB5ZkwTJcv,0105429700033-0101-30000A-01,0105429700033-0101-30000A-2024-11,2024-12-09 03:21:57.308301,2024-12-09 03:21:57.308301
1ZB5ZkwTJcw,0105429800006-0101-50000A-01,0105429800006-0101-50000A-2024-11,2024-12-09 03:21:57.309562,2024-12-09 03:21:57.309562
1ZB5ZkwTJcx,0105429800015-0101-50000A-01,0105429800015-0101-50000A-2024-11,2024-12-09 03:21:57.310681,2024-12-09 03:21:57.310681
1ZB5ZkwTJcy,0105429800016-0101-N0000A-01,0105429800016-0101-N0000A-2024-11,2024-12-09 03:21:57.312005,2024-12-09 03:21:57.312005
1ZB5ZkwTJcz,0105429800020-0101-50000A-01,0105429800020-0101-50000A-2024-11,2024-12-09 03:21:57.313149,2024-12-09 03:21:57.313149
1ZB5ZkwTJd0,0105429800023-0101-30000A-01,0105429800023-0101-30000A-2024-11,2024-12-09 03:21:57.315842,2024-12-09 03:21:57.315842
1ZB5ZkwTJd1,0105429800024-0101-70000A-01,0105429800024-0101-70000A-2024-11,2024-12-09 03:21:57.317105,2024-12-09 03:21:57.317105
1ZB5ZkwTJd2,0105429800027-0101-N0000A-01,0105429800027-0101-N0000A-2024-11,2024-12-09 03:21:57.319924,2024-12-09 03:21:57.319924
1ZB5ZkwTJd3,0105429800028-0101-N0000A-01,0105429800028-0101-N0000A-2024-11,2024-12-09 03:21:57.320972,2024-12-09 03:21:57.320972
