id,is_signed,signed_time,form_id,revision,customer_id,order_item_id,start_date,end_date,duration_in_months,contract_status_code,update_time,create_time,channel_contract_id,rental_code
1XZMMeXrWXI,true,2024-10-10 01:16:17.041,docusign_00001,0,4313ed2a372ce9c58c8f560e0685662e,0105428400120-0101,2024-10-11 00:00:00.000,2027-10-11 00:00:00.000,36,ACTIVE,2025-02-03 03:44:14.899461,2024-10-10 01:16:19.465715,contract-100117285229770423,3XXXXA
0105504200034-0101-7XXXXA,true,2025-02-11 02:21:09.001,,,5c082c13d0db196c28d90cb7d4ecf8c6,0105504200034-0101,,,84,PENDING_CONFIRMATION,2025-02-11 02:21:27.736330,2025-02-11 02:21:27.736330,16247161017,7XXXXA
0105501300035-0101-30000A,true,2025-01-13 02:11:07.795,,,cec51c756b0a7bba176b9b710ae59ba6,0105501300035-0101,,,36,PENDING_CONFIRMATION,2025-01-13 02:11:34.772468,2025-01-13 02:11:34.772468,13413613784,3XXXXA
0105431200038-0101-50000A,true,2024-11-07 08:44:34.535,docusign_00001,0,2a0b3bd78cbb212bdb914da38bf56222,0105431200038-0101,2024-11-08 00:00:00.000,2029-11-08 00:00:00.000,60,ACTIVE,2025-02-03 03:43:43.362179,2024-11-07 08:44:35.074514,contract-100117309690745360,5XXXXA
0105503400039-0101-3XXXXXA,true,2025-02-03 04:02:05.408,,,dad3bf0884a05aaffe5f589a4eebd331,0105503400039-0101,,,36,CONTRACT_CANCELLED,2025-02-03 04:11:36.651049,2025-02-03 04:02:35.064735,13687980248,3XXXXA
1XgbheFMW9q,true,2024-10-14 10:04:09.810,docusign_00001,0,b09d347bd311629fec6461ece96d96a6,0105428800064-0101,2024-10-14 00:00:00.000,2027-10-14 00:00:00.000,36,ACTIVE,2025-02-03 03:44:05.390726,2024-10-14 10:04:12.426608,contract-100117289002499290,3XXXXA
0105502000063-0101-70000A,true,2025-01-20 07:30:39.156,,,098afe4379e9399fc2ac5f2b2b4954e2,0105502000063-0101,2025-01-24 00:00:00.000,2032-01-24 00:00:00.000,84,ACTIVE,2025-02-10 11:00:24.687359,2025-01-20 07:31:10.532353,13513523416,7XXXXA
0105430300041-0101-N0000A,true,2024-10-29 08:36:47.760,docusign_00001,0,dbdbd5ae520f772af5c4d4b6091892cc,0105430300041-0101,,,0,PENDING_CONFIRMATION,2024-10-29 08:36:48.575216,2024-10-29 08:36:48.575216,contract-100117301910077612,NXXXXA
0105504200035-0101-3XXXXA,true,2025-02-11 02:42:47.048,,,fa1f60ab9b89f37dac4802c18e73e1cd,0105504200035-0101,,,36,PENDING_CONFIRMATION,2025-02-11 02:43:03.952827,2025-02-11 02:43:03.952827,16247390393,3XXXXA
0105431100015-0101-N0000A,true,2024-11-06 07:46:21.340,docusign_00001,0,22f561010268e527a4c99c6ee76a9f86,0105431100015-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:41.875430,2024-11-06 07:46:21.947717,contract-100117308791813411,NXXXXA
0105433300164-0101-50000A,true,2024-11-28 08:48:30.832,docusign_00001,0,7fd979cf2e79ccf6fc36eaa035d148b3,0105433300164-0101,2024-11-29 00:00:00.000,2029-11-29 00:00:00.000,60,ACTIVE,2025-02-03 03:43:53.278169,2024-11-28 08:48:31.418256,contract-100117327837108323,5XXXXA
0105433000003-0101-70000A,true,2024-11-25 00:49:46.655,,,e1b53dfd76c2ad9757a2179fe9333ded,0105433000003-0101,,,84,PENDING_CONFIRMATION,2024-11-25 00:50:19.432864,2024-11-25 00:50:19.432863,gid://shopify/SubscriptionContract/12826738904,7XXXXA
0105433300168-0101-50000A,true,2024-11-28 08:48:36.797,docusign_00001,0,6e62f9b08b1b989f738e0d5f2d7180a6,0105433300168-0101,,,60,PENDING_CONFIRMATION,2024-11-28 08:48:37.652762,2024-11-28 08:48:37.652762,contract-100117327837167983,5XXXXA
0105501500002-0101-30000A,true,2025-01-15 00:29:59.951,docusign_00001,0,73104ad66bd92f3fe9f02e26b170a001,0105501500002-0101,2025-01-17 00:00:00.000,2028-01-17 00:00:00.000,36,ACTIVE,2025-02-03 03:44:01.719663,2025-01-15 00:30:02.283392,contract-100117369009999533,3XXXXA
0105431100018-0101-N0000A,true,2024-11-06 07:46:25.270,docusign_00001,0,91f33da7b839aa2f32d00ddbb39f2cec,0105431100018-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:25.078774,2024-11-06 07:46:25.839341,contract-100117308791852732,NXXXXA
0105501300036-0101-N0000A,true,2025-01-13 02:33:06.687,,,5ef5258a5b923010b88bcf84a32f5c04,0105501300036-0101,,,0,PENDING_CONFIRMATION,2025-01-13 02:33:33.750289,2025-01-13 02:33:33.750288,13413941464,NXXXXA
0105431100023-0101-N0000A,true,2024-11-06 07:46:31.876,docusign_00001,0,084519c9e34bac03587ab1d4e33ccd06,0105431100023-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:41.902914,2024-11-06 07:46:32.572744,contract-100117308791918774,NXXXXA
0105431100025-0101-N0000A,true,2024-11-06 07:46:34.687,docusign_00001,0,d58f5383a1a982fda566c2f8577dc13c,0105431100025-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:41.909101,2024-11-06 07:46:35.214913,contract-100117308791946892,NXXXXA
0105431700022-0101-N0000A,true,2024-11-12 07:19:30.752,docusign_00001,0,874603cd5084d6444f6673de7ef4bf66,0105431700022-0101,2024-11-13 00:00:00.000,,0,ACTIVE,2025-02-03 03:43:44.185723,2024-11-12 07:19:31.642687,contract-100117313959707531,NXXXXA
0105430700095-0101-N0000A,true,2024-11-02 06:19:18.735,docusign_00001,0,fb5d14c7569355a20ec133454c4b9a43,0105430700095-0101,2024-11-07 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:25.464604,2024-11-02 06:19:19.593693,contract-100117305283587354,NXXXXA
0105503400040-0101-3XXXXXA,true,2025-02-03 04:09:36.684,,,dad3bf0884a05aaffe5f589a4eebd331,0105503400040-0101,,,36,CONTRACT_CANCELLED,2025-02-03 04:10:53.982963,2025-02-03 04:10:15.871695,13688144088,3XXXXA
0105502000059-0101-70000A,true,2025-01-20 07:02:18.891,,,098afe4379e9399fc2ac5f2b2b4954e2,0105502000059-0101,2025-01-24 00:00:00.000,2032-01-24 00:00:00.000,84,ACTIVE,2025-02-10 11:00:24.858649,2025-01-20 07:02:48.188203,13513097432,7XXXXA
0105430300007-0101-50000A,true,2024-10-29 00:24:14.347,docusign_00001,0,438d3770e92c95f5b0ee7ff7a4c1415d,0105430300007-0101,2024-10-31 00:00:00.000,2029-10-31 00:00:00.000,60,ACTIVE,2025-02-11 02:08:10.442147,2024-10-29 00:24:15.318691,contract-100117301614543484,5XXXXA
0105430200022-0101-N0000A,true,2024-10-28 00:10:22.038,docusign_00001,0,b3a22d9377aa354b7d164c8b593ed47f,0105430200022-0101,2024-10-29 00:00:00.000,,0,ACTIVE,2025-02-11 02:08:12.632461,2024-10-28 00:10:23.082825,contract-100117300742220391,NXXXXA
0105429600060-0101-30000A,true,2024-10-22 06:29:51.823,,,add82a2c43fb87641687545f9b351ee1,0105429600060-0101,2024-10-31 00:00:00.000,2027-10-31 00:00:00.000,36,ACTIVE,2025-02-11 02:08:13.122519,2024-10-22 06:30:14.581711,gid://shopify/SubscriptionContract/14732067001,3XXXXA
0105429800023-0101-30000A,true,2024-10-24 07:49:20.087,docusign_00001,0,90f839100c0baf9d24f1d8accf61a93f,0105429800023-0101,2024-10-25 00:00:00.000,2027-10-25 00:00:00.000,36,ACTIVE,2025-02-11 02:08:16.024526,2024-10-24 07:49:21.094370,contract-100117297561600884,3XXXXA
