id,contract_id,source_status,target_status,event,error_log,create_time
1Xi0wxCmqPg,1XUtk6tydgF,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 06:25:06.563763
1Xi49rT6O8L,1Xi49qnNM0Y,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 07:10:00.183473
1Xi4AGKhrdG,1Xi49qnex8e,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 07:10:05.599877
1Xi6Jgw7Hc8,1XgTtxbWaRS,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 07:40:12.530006
1Xi6LnFPytB,1XgWsA6qKg8,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 07:40:40.989774
1Xi6NBc8X7J,1XgWsA6qKgA,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 07:40:59.849900
1Xi7dDq4dGU,1Xi7dDbb5cw,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 07:58:36.627875
1Xi7yXWHDGR,1Xi7yX4k7dv,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 08:03:25.335778
1Xi80TGZ8r4,1Xi80T1EnpK,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 08:03:51.469070
1Xi8uiQrSWT,1Xi8uiCx793,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 08:16:33.145430
1Xi9HpIx5Mg,1XgWsA77voG,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 08:21:46.118163
1XiHMcx0a34,1XiHMchxq9O,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 10:14:48.077920
1XiJlbVbAa9,1XiJlbBReLJ,PENDING_CONFIRMATION,PENDING_CONFIRMATION,CREATE_CONTRACT,,2024-10-15 10:48:25.562831
1XiTrH0FgRb,1Xfv6mRneve,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 13:09:38.518849
1XiTs9o6xNQ,1Xfv67cgVvp,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 13:09:50.485010
1XiTt0BfeYV,1Xfv5oDQtWu,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 13:10:01.925001
1XiTtmcgwla,1Xfv5VKxpJd,PENDING_CONFIRMATION,ACTIVE,ACTIVATE_CONTRACT,,2024-10-15 13:10:12.504821
