id,channel_order_item_id,order_id,channel_order_id,sequence,order_item_status_code,order_item_type,material_id,quantity,item_price,registration_price,create_time,update_time,discount_price,total_price,tax,currency,shipping_information_id
0105418000023-0101,100117195630411113818,0105418000023,10011719563041,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:24:03.855,2024-06-28 08:24:07.381,0.00,0.00,0.00,USD,
0105418000001-0101,100117195628101113781,0105418000001,10011719562810,1,BOOKING_CONFIRMED,RENTAL,WP_113781,1,0.00,0.00,2024-06-28 08:20:13.797,2024-06-28 08:20:18.888,0.00,0.00,0.00,USD,
0105418000018-0101,100117195630161113637,0105418000018,10011719563016,1,BOOKING_CONFIRMED,RENTAL,WP_113637,1,0.00,0.00,2024-06-28 08:23:38.157,2024-06-28 08:23:41.872,0.00,0.00,0.00,USD,
0105418000011-0101,100117195629561113818,0105418000011,10011719562956,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:22:38.469,2024-06-28 08:22:41.957,0.00,0.00,0.00,USD,
0105418000002-0101,100117195629071113637,0105418000002,10011719562907,1,BOOKING_CONFIRMED,RENTAL,WP_113637,1,0.00,0.00,2024-06-28 08:21:50.013,2024-06-28 08:21:54.322,0.00,0.00,0.00,USD,
0105418000003-0101,100117195629141113713,0105418000003,10011719562914,1,BOOKING_CONFIRMED,RENTAL,WP_113713,1,0.00,0.00,2024-06-28 08:21:56.283,2024-06-28 08:21:59.842,0.00,0.00,0.00,USD,
0105418000012-0101,100117195629611113818,0105418000012,10011719562961,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:22:43.607,2024-06-28 08:22:47.323,0.00,0.00,0.00,USD,
0105418000027-0101,100117195643991113818,0105418000027,10011719564399,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:46:39.368,2024-06-28 08:46:42.979,0.00,0.00,0.00,USD,
0105418000005-0101,100117195629251113782,0105418000005,10011719562925,1,BOOKING_CONFIRMED,RENTAL,WP_113782,1,0.00,0.00,2024-06-28 08:22:07.523,2024-06-28 08:22:11.580,0.00,0.00,0.00,USD,
0105418000019-0101,100117195630211113818,0105418000019,10011719563021,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:23:43.224,2024-06-28 08:23:46.680,0.00,0.00,0.00,USD,
0105418000013-0101,100117195629881113725,0105418000013,10011719562988,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:23:11.369,2024-06-28 08:23:15.134,0.00,0.00,0.00,USD,
0105418000006-0101,100117195629311113637,0105418000006,10011719562931,1,BOOKING_CONFIRMED,RENTAL,WP_113637,1,0.00,0.00,2024-06-28 08:22:13.193,2024-06-28 08:22:17.013,0.00,0.00,0.00,USD,
0105418000007-0101,100117195629361113725,0105418000007,10011719562936,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:22:18.411,2024-06-28 08:22:22.198,0.00,0.00,0.00,USD,
0105418000014-0101,100117195629951113725,0105418000014,10011719562995,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:23:17.173,2024-06-28 08:23:20.539,0.00,0.00,0.00,USD,
0105418000008-0101,100117195629411113782,0105418000008,10011719562941,1,BOOKING_CONFIRMED,RENTAL,WP_113782,1,0.00,0.00,2024-06-28 08:22:23.806,2024-06-28 08:22:27.013,0.00,0.00,0.00,USD,
0105418000024-0101,100117195630461113792,0105418000024,10011719563046,1,BOOKING_CONFIRMED,RENTAL,WP_113792,1,0.00,0.00,2024-06-28 08:24:08.735,2024-06-28 08:24:12.679,0.00,0.00,0.00,USD,
0105418000009-0101,100117195629461113713,0105418000009,10011719562946,1,BOOKING_CONFIRMED,RENTAL,WP_113713,1,0.00,0.00,2024-06-28 08:22:28.585,2024-06-28 08:22:31.982,0.00,0.00,0.00,USD,
0105418000020-0101,100117195630261113725,0105418000020,10011719563026,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:23:48.013,2024-06-28 08:23:51.408,0.00,0.00,0.00,USD,
0105418000015-0101,100117195630001113792,0105418000015,10011719563000,1,BOOKING_CONFIRMED,RENTAL,WP_113792,1,0.00,0.00,2024-06-28 08:23:22.219,2024-06-28 08:23:25.994,0.00,0.00,0.00,USD,
0105418000010-0101,100117195629511113782,0105418000010,10011719562951,1,BOOKING_CONFIRMED,RENTAL,WP_113782,1,0.00,0.00,2024-06-28 08:22:33.658,2024-06-28 08:22:36.888,0.00,0.00,0.00,USD,
0105418000016-0101,100117195630051113818,0105418000016,10011719563005,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:23:27.803,2024-06-28 08:23:31.341,0.00,0.00,0.00,USD,
0105418000030-0101,100117195644141113713,0105418000030,10011719564414,1,BOOKING_CONFIRMED,RENTAL,WP_113713,1,0.00,0.00,2024-06-28 08:46:54.792,2024-06-28 08:46:58.490,0.00,0.00,0.00,USD,
0105418000021-0101,100117195630301113818,0105418000021,10011719563030,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:23:52.982,2024-06-28 08:23:56.890,0.00,0.00,0.00,USD,
0105418000017-0101,100117195630101113784,0105418000017,10011719563010,1,BOOKING_CONFIRMED,RENTAL,WP_113784,1,0.00,0.00,2024-06-28 08:23:32.952,2024-06-28 08:23:36.551,0.00,0.00,0.00,USD,
0105418000025-0101,100117195643161113725,0105418000025,10011719564316,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:45:17.103,2024-06-28 08:45:20.947,0.00,0.00,0.00,USD,
0105418000022-0101,100117195630361113784,0105418000022,10011719563036,1,BOOKING_CONFIRMED,RENTAL,WP_113784,1,0.00,0.00,2024-06-28 08:23:58.478,2024-06-28 08:24:02.117,0.00,0.00,0.00,USD,
0105418000028-0101,100117195644041113818,0105418000028,10011719564404,1,BOOKING_CONFIRMED,RENTAL,WP_113818,1,0.00,0.00,2024-06-28 08:46:44.653,2024-06-28 08:46:48.262,0.00,0.00,0.00,USD,
0105418000026-0101,100117195643921113792,0105418000026,10011719564392,1,BOOKING_CONFIRMED,RENTAL,WP_113792,1,0.00,0.00,2024-06-28 08:46:33.643,2024-06-28 08:46:37.295,0.00,0.00,0.00,USD,
0105418000034-0101,100117195644361113792,0105418000034,10011719564436,1,BOOKING_CONFIRMED,RENTAL,WP_113792,1,0.00,0.00,2024-06-28 08:47:15.844,2024-06-28 08:47:19.606,0.00,0.00,0.00,USD,
0105418000031-0101,100117195644201113782,0105418000031,10011719564420,1,BOOKING_CONFIRMED,RENTAL,WP_113782,1,0.00,0.00,2024-06-28 08:47:00.065,2024-06-28 08:47:03.909,0.00,0.00,0.00,USD,
0105418000029-0101,100117195644091113725,0105418000029,10011719564409,1,BOOKING_CONFIRMED,RENTAL,WP_113725,1,0.00,0.00,2024-06-28 08:46:49.611,2024-06-28 08:46:53.279,0.00,0.00,0.00,USD,
0105418000033-0101,100117195644301113781,0105418000033,10011719564430,1,BOOKING_CONFIRMED,RENTAL,WP_113781,1,0.00,0.00,2024-06-28 08:47:10.558,2024-06-28 08:47:14.377,0.00,0.00,0.00,USD,
0105418000032-0101,100117195644251113713,0105418000032,10011719564425,1,BOOKING_CONFIRMED,RENTAL,WP_113713,1,0.00,0.00,2024-06-28 08:47:05.583,2024-06-28 08:47:08.935,0.00,0.00,0.00,USD,
0105418000037-0101,100117195646111113781,0105418000037,10011719564611,1,BOOKING_CONFIRMED,RENTAL,WP_113781,1,0.00,0.00,2024-06-28 08:50:12.365,2024-06-28 08:50:16.001,0.00,0.00,0.00,USD,
0105418000035-0101,100117195644411113784,0105418000035,10011719564441,1,BOOKING_CONFIRMED,RENTAL,WP_113784,1,0.00,0.00,2024-06-28 08:47:21.183,2024-06-28 08:47:24.878,0.00,0.00,0.00,USD,
0105418000036-0101,100117195644461113784,0105418000036,10011719564446,1,BOOKING_CONFIRMED,RENTAL,WP_113784,1,0.00,0.00,2024-06-28 08:47:26.552,2024-06-28 08:47:29.799,0.00,0.00,0.00,USD,
