id,order_item_id,promotion_id,create_time,update_time,discount_price
1UnEeTbO3Oo,0105418000001-0101,1SUGW59ZHC0,2024-06-28 08:20:13.830091,2024-06-28 08:20:13.830091,
1UnEla6EFyQ,0105418000002-0101,1SUGW59ZHC0,2024-06-28 08:21:50.038121,2024-06-28 08:21:50.038121,
1UnEm2nzBff,0105418000003-0101,1SUGW59ZHC0,2024-06-28 08:21:56.284787,2024-06-28 08:21:56.284787,
1UnEmRGwq3T,0105418000004-0101,1SUGW59ZHC0,2024-06-28 08:22:01.629070,2024-06-28 08:22:01.629070,
1UnEmsGXmys,0105418000005-0101,1SUGW59ZHC0,2024-06-28 08:22:07.524182,2024-06-28 08:22:07.524182,
1UnEnIDw7I6,0105418000006-0101,1SUGW59ZHC0,2024-06-28 08:22:13.194470,2024-06-28 08:22:13.194470,
1UnEng6qi6T,0105418000007-0101,1SUGW59ZHC0,2024-06-28 08:22:18.411969,2024-06-28 08:22:18.411969,
1UnEo4oEcrU,0105418000008-0101,1SUGW59ZHC0,2024-06-28 08:22:23.806553,2024-06-28 08:22:23.806553,
1UnEoQgiMHC,0105418000009-0101,1SUGW59ZHC0,2024-06-28 08:22:28.585762,2024-06-28 08:22:28.585762,
1UnEonuz2Ht,0105418000010-0101,1SUGW59ZHC0,2024-06-28 08:22:33.659412,2024-06-28 08:22:33.659412,
1UnEp9weUGY,0105418000011-0101,1SUGW59ZHC0,2024-06-28 08:22:38.470477,2024-06-28 08:22:38.470477,
1UnEpXT5Uaz,0105418000012-0101,1SUGW59ZHC0,2024-06-28 08:22:43.608653,2024-06-28 08:22:43.608653,
1UnEraZ4VXj,0105418000013-0101,1SUGW59ZHC0,2024-06-28 08:23:11.369867,2024-06-28 08:23:11.369867,
1UnEs18bdW4,0105418000014-0101,1SUGW59ZHC0,2024-06-28 08:23:17.173661,2024-06-28 08:23:17.173661,
1UnEsOEvY1r,0105418000015-0101,1SUGW59ZHC0,2024-06-28 08:23:22.219674,2024-06-28 08:23:22.219674,
1UnEsnoByLQ,0105418000016-0101,1SUGW59ZHC0,2024-06-28 08:23:27.806650,2024-06-28 08:23:27.806650,
1UnEtBNSy0Q,0105418000017-0101,1SUGW59ZHC0,2024-06-28 08:23:32.953013,2024-06-28 08:23:32.953013,
1UnEtZDChBU,0105418000018-0101,1SUGW59ZHC0,2024-06-28 08:23:38.158002,2024-06-28 08:23:38.158002,
1UnEtwPUBQt,0105418000019-0101,1SUGW59ZHC0,2024-06-28 08:23:43.225343,2024-06-28 08:23:43.225343,
1UnEuIKrAOJ,0105418000020-0101,1SUGW59ZHC0,2024-06-28 08:23:48.014112,2024-06-28 08:23:48.014112,
1UnEuf55eVF,0105418000021-0101,1SUGW59ZHC0,2024-06-28 08:23:52.982454,2024-06-28 08:23:52.982454,
1UnEv4FQeX4,0105418000022-0101,1SUGW59ZHC0,2024-06-28 08:23:58.479699,2024-06-28 08:23:58.479699,
1UnEvSrQBp5,0105418000023-0101,1SUGW59ZHC0,2024-06-28 08:24:03.855860,2024-06-28 08:24:03.855860,
1UnEvpCuHl5,0105418000024-0101,1SUGW59ZHC0,2024-06-28 08:24:08.737031,2024-06-28 08:24:08.737031,
1UnGRU8dGaI,0105418000025-0101,1SUGW59ZHC0,2024-06-28 08:45:17.104959,2024-06-28 08:45:17.104959,
1UnGX8YUcVb,0105418000026-0101,1SUGW59ZHC0,2024-06-28 08:46:33.643793,2024-06-28 08:46:33.643793,
1UnGXYlUsv0,0105418000027-0101,1SUGW59ZHC0,2024-06-28 08:46:39.368945,2024-06-28 08:46:39.368945,
1UnGXwxwWVN,0105418000028-0101,1SUGW59ZHC0,2024-06-28 08:46:44.654449,2024-06-28 08:46:44.654449,
1UnGYJf3PX1,0105418000029-0101,1SUGW59ZHC0,2024-06-28 08:46:49.611648,2024-06-28 08:46:49.611648,
1UnGYhNdtCi,0105418000030-0101,1SUGW59ZHC0,2024-06-28 08:46:54.793148,2024-06-28 08:46:54.793148,
1UnGZ5WgLEK,0105418000031-0101,1SUGW59ZHC0,2024-06-28 08:47:00.066288,2024-06-28 08:47:00.066288,
1UnGZUmyuzS,0105418000032-0101,1SUGW59ZHC0,2024-06-28 08:47:05.584277,2024-06-28 08:47:05.584277,
1UnGZrZ9J7X,0105418000033-0101,1SUGW59ZHC0,2024-06-28 08:47:10.559369,2024-06-28 08:47:10.559369,
1UnGaFlawhg,0105418000034-0101,1SUGW59ZHC0,2024-06-28 08:47:15.845773,2024-06-28 08:47:15.845773,
1UnGaeD5KBT,0105418000035-0101,1SUGW59ZHC0,2024-06-28 08:47:21.184496,2024-06-28 08:47:21.184496,
1UnGb2mo4Qu,0105418000036-0101,1SUGW59ZHC0,2024-06-28 08:47:26.552978,2024-06-28 08:47:26.552978,
1UnGnHvZSLh,0105418000037-0101,1SUGW59ZHC0,2024-06-28 08:50:12.366410,2024-06-28 08:50:12.366410,
1UnGnhEC6Gu,0105418000038-0101,1SUGW59ZHC0,2024-06-28 08:50:17.892634,2024-06-28 08:50:17.892634,
1UnGo8IcEPL,0105418000039-0101,1SUGW59ZHC0,2024-06-28 08:50:23.805982,2024-06-28 08:50:23.805982,
1UnGoZgcgWT,0105418000040-0101,1SUGW59ZHC0,2024-06-28 08:50:29.788117,2024-06-28 08:50:29.788117,
1UnGoyT46Sx,0105418000041-0101,1SUGW59ZHC0,2024-06-28 08:50:35.200034,2024-06-28 08:50:35.200034,
1UnGpMRwH00,0105418000042-0101,1SUGW59ZHC0,2024-06-28 08:50:40.438857,2024-06-28 08:50:40.438857,
1UnGphzBMsg,0105418000043-0101,1SUGW59ZHC0,2024-06-28 08:50:45.142157,2024-06-28 08:50:45.142157,
1UnGq4StpYd,0105418000044-0101,1SUGW59ZHC0,2024-06-28 08:50:50.052268,2024-06-28 08:50:50.052268,
1UnGqQLwlDi,0105418000045-0101,1SUGW59ZHC0,2024-06-28 08:50:54.833079,2024-06-28 08:50:54.833079,
