id,service_flow_id,service_billing_type,service_charge_status,update_time,create_time,shopify_order_id
1a0yT8zNQeM,1a0yT8zNQeJ,INVOICE_BILLING,PENDING,2025-01-09 09:37:59.902629,2025-01-09 09:37:59.886535,
1a0yYaVv0V3,1a0yYaVv0V0,INVOICE_BILLING,PENDING,2025-01-09 09:39:13.634024,2025-01-09 09:39:13.617484,
1a0yzVazQjc,1a0yzVazQjZ,INVOICE_BILLING,PENDING,2025-01-09 09:45:18.163978,2025-01-09 09:45:18.159265,
1a0z7XTurIm,1a0z7XTurIj,ON_SITE_PAYMENT,PENDING,2025-01-09 09:47:06.912570,2025-01-09 09:47:06.908046,
1a108B21LAW,1a108B21LAT,INVOICE_BILLING,PENDING,2025-01-09 10:01:15.169523,2025-01-09 10:01:15.164772,
1a125adqwrQ,1a125adqwrN,INVOICE_BILLING,PENDING,2025-01-09 10:28:39.602003,2025-01-09 10:28:39.571717,
1a125mL64Dv,1a125mL64Ds,INVOICE_BILLING,PENDING,2025-01-09 10:28:41.931635,2025-01-09 10:28:41.925733,
1a14dEIoUg2,1a14dEIWtXv,INVOICE_BILLING,PENDING,2025-01-09 11:04:14.178073,2025-01-09 11:04:14.165369,
1a14dLQlwE0,1a14dLQlwDx,INVOICE_BILLING,PENDING,2025-01-09 11:04:15.724104,2025-01-09 11:04:15.719277,
1a1BIny8r2f,1a1BIny8r2c,INVOICE_BILLING,PENDING,2025-01-09 12:37:34.904824,2025-01-09 12:37:34.898148,
1a1D0IQlw1Q,1a1D0IQlw1N,INVOICE_BILLING,PENDING,2025-01-09 13:01:23.496775,2025-01-09 13:01:23.488853,
1a1xTPwsYlN,1a1xTPwsYlK,INVOICE_BILLING,PENDING,2025-01-09 23:51:40.345618,2025-01-09 23:51:40.317495,
1a20HsQ6hVX,1a20HsQ6hVU,INVOICE_BILLING,PENDING,2025-01-10 00:31:02.867163,2025-01-10 00:31:02.860910,
1a20IEbuqwH,1a20IEbuqwE,INVOICE_BILLING,PENDING,2025-01-10 00:31:07.714533,2025-01-10 00:31:07.709533,
1a20ITCYSVq,1a20ITCYSVn,INVOICE_BILLING,PENDING,2025-01-10 00:31:10.899020,2025-01-10 00:31:10.894262,
1a20IfMBStH,1a20IfMBStE,INVOICE_BILLING,PENDING,2025-01-10 00:31:13.553627,2025-01-10 00:31:13.549079,
1a20Is6zvJA,1a20Is6zvJ7,INVOICE_BILLING,PENDING,2025-01-10 00:31:16.338331,2025-01-10 00:31:16.334349,
1a20J4HDhZM,1a20J4HDhZJ,INVOICE_BILLING,PENDING,2025-01-10 00:31:18.998483,2025-01-10 00:31:18.993161,
1a20JMO7GiN,1a20JMO7GiK,INVOICE_BILLING,PENDING,2025-01-10 00:31:22.952597,2025-01-10 00:31:22.948302,
1a20JYaIfGC,1a20JYaIfG9,INVOICE_BILLING,PENDING,2025-01-10 00:31:25.618809,2025-01-10 00:31:25.612920,
1a20Jl83Zh7,1a20Jl83Zh4,INVOICE_BILLING,PENDING,2025-01-10 00:31:28.357050,2025-01-10 00:31:28.352731,
1a20Jy16P4i,1a20Jy16P4f,INVOICE_BILLING,PENDING,2025-01-10 00:31:31.177314,2025-01-10 00:31:31.167268,
1a20K9rSGUr,1a20K9rSGUo,INVOICE_BILLING,PENDING,2025-01-10 00:31:33.758860,2025-01-10 00:31:33.754293,
1a20KMshsXT,1a20KMshsXQ,INVOICE_BILLING,PENDING,2025-01-10 00:31:36.608880,2025-01-10 00:31:36.603256,
1a20KYQros0,1a20KYQrorx,INVOICE_BILLING,PENDING,2025-01-10 00:31:39.126614,2025-01-10 00:31:39.120613,
1a20Ki7Wd3c,1a20Ki7Wd3Z,INVOICE_BILLING,PENDING,2025-01-10 00:31:41.241564,2025-01-10 00:31:41.236950,
1a20Ku3DhIp,1a20Ku3DhIm,INVOICE_BILLING,PENDING,2025-01-10 00:31:43.848169,2025-01-10 00:31:43.842253,
1a20L4m1pol,1a20L4lkEge,INVOICE_BILLING,PENDING,2025-01-10 00:31:46.188426,2025-01-10 00:31:46.184044,
1a20LJ4BwFM,1a20LJ4BwFJ,INVOICE_BILLING,PENDING,2025-01-10 00:31:49.310194,2025-01-10 00:31:49.306116,
1a20LTA728G,1a20LTA728D,INVOICE_BILLING,PENDING,2025-01-10 00:31:51.518351,2025-01-10 00:31:51.512043,
1a20LezqXWN,1a20LezqXWK,INVOICE_BILLING,PENDING,2025-01-10 00:31:54.101156,2025-01-10 00:31:54.096140,
1a20LogVKdh,1a20LogVKde,INVOICE_BILLING,PENDING,2025-01-10 00:31:56.216773,2025-01-10 00:31:56.211934,
1a20M0hsOYK,1a20M0hsOYH,INVOICE_BILLING,PENDING,2025-01-10 00:31:58.844039,2025-01-10 00:31:58.839429,
1a20MBau5wO,1a20MBau5wL,INVOICE_BILLING,PENDING,2025-01-10 00:32:01.220596,2025-01-10 00:32:01.216216,
1a20MLS0s4Z,1a20MLS0s4W,INVOICE_BILLING,PENDING,2025-01-10 00:32:03.373893,2025-01-10 00:32:03.369469,
1a20MV5o62O,1a20MV5o62L,INVOICE_BILLING,PENDING,2025-01-10 00:32:05.480413,2025-01-10 00:32:05.475650,
1a20Mfs1QGx,1a20Mfs1QGu,INVOICE_BILLING,PENDING,2025-01-10 00:32:07.833200,2025-01-10 00:32:07.828871,
1a20Moq42Go,1a20Moq42Gl,INVOICE_BILLING,PENDING,2025-01-10 00:32:09.793636,2025-01-10 00:32:09.789167,
1a20MxkT1Qp,1a20MxkT1Qm,INVOICE_BILLING,PENDING,2025-01-10 00:32:11.737920,2025-01-10 00:32:11.733949,
1a20N7xk6qF,1a20N7xk6qC,INVOICE_BILLING,PENDING,2025-01-10 00:32:13.970896,2025-01-10 00:32:13.965918,
1a20NGfJzGP,1a20NGfJzGM,INVOICE_BILLING,PENDING,2025-01-10 00:32:15.870723,2025-01-10 00:32:15.866538,
1a20NPZPnTi,1a20NPZPnTf,INVOICE_BILLING,PENDING,2025-01-10 00:32:17.815590,2025-01-10 00:32:17.810644,
1a20NZpFFoJ,1a20NZpFFoG,INVOICE_BILLING,PENDING,2025-01-10 00:32:20.055660,2025-01-10 00:32:20.050948,
1a20NjehcxW,1a20NjehcxT,INVOICE_BILLING,PENDING,2025-01-10 00:32:22.202845,2025-01-10 00:32:22.198481,
1a20NsybL8J,1a20NsybL8G,INVOICE_BILLING,PENDING,2025-01-10 00:32:24.238157,2025-01-10 00:32:24.233956,
1a20O3y9oFJ,1a20O3y9oFG,INVOICE_BILLING,PENDING,2025-01-10 00:32:26.640205,2025-01-10 00:32:26.635997,
1a20OEuZ79P,1a20OEuZ79M,INVOICE_BILLING,PENDING,2025-01-10 00:32:29.029343,2025-01-10 00:32:29.024424,
1a20OOcJ9Te,1a20OOcJ9Tb,INVOICE_BILLING,PENDING,2025-01-10 00:32:31.148991,2025-01-10 00:32:31.144824,
1a24WYgQbVA,1a24WYgQbV7,INVOICE_BILLING,PENDING,2025-01-10 01:30:20.161637,2025-01-10 01:30:20.156521,
1a2AENyChty,1a2AENyChtv,INVOICE_BILLING,PENDING,2025-01-10 02:50:11.788134,2025-01-10 02:50:11.774246,
1a2C6IWB6ra,1a2C6IWB6rX,INVOICE_BILLING,PENDING,2025-01-10 03:16:21.478355,2025-01-10 03:16:21.473854,
1a2C6OBIumn,1a2C6OBIumk,INVOICE_BILLING,PENDING,2025-01-10 03:16:22.716359,2025-01-10 03:16:22.711169,
1a2CukoE3n4,1a2CukoE3n1,ON_SITE_PAYMENT,PENDING,2025-01-10 03:27:44.773546,2025-01-10 03:27:44.767286,
1a2D5dUTtHK,1a2D5dUTtHH,INVOICE_BILLING,PENDING,2025-01-10 03:30:12.144366,2025-01-10 03:30:12.134193,
1a2D5iwpkLt,1a2D5iwpkLq,INVOICE_BILLING,PENDING,2025-01-10 03:30:13.325061,2025-01-10 03:30:13.321102,
1a2DJQeUQBM,1a2DJQeUQBJ,ON_SITE_PAYMENT,PENDING,2025-01-10 03:33:18.921813,2025-01-10 03:33:18.917688,
1a2EtZ3RvTa,1a2EtZ3RvTX,INVOICE_BILLING,PENDING,2025-01-10 03:55:27.897666,2025-01-10 03:55:27.893123,
1a2Ev7Gtp7Z,1a2Ev7Gtp7W,INVOICE_BILLING,PENDING,2025-01-10 03:55:48.911219,2025-01-10 03:55:48.907186,
1a2EwYv0tVW,1a2EwYujINP,INVOICE_BILLING,PENDING,2025-01-10 03:56:08.494711,2025-01-10 03:56:08.490249,
1a2F0m3PMdp,1a2F0m3PMdm,INVOICE_BILLING,PENDING,2025-01-10 03:57:05.534365,2025-01-10 03:57:05.529529,
1a2F2Fi8mjW,1a2F2Fi8mjT,INVOICE_BILLING,PENDING,2025-01-10 03:57:25.551932,2025-01-10 03:57:25.546923,
1a2F3jto7oa,1a2F3jto7oX,INVOICE_BILLING,PENDING,2025-01-10 03:57:45.688712,2025-01-10 03:57:45.683674,
