id,service_type,order_id,order_item_id,customer_service_ticket_id,booking_id,outbound_delivery_id,billing_id,work_id,service_status_code,service_create_time,service_update_time,service_cancel_time,create_time,update_time,customer_service_id,service_complete_time
1UnEraam6K8,INSTALL,0105418000013,0105418000013-0101,,202406284d13bf41536c4269bcb0f568b8692f97,1UnErat24Bw,,202406283f3577ce267b43ba85b588814f7b4ef1,BOOKING_CONFIRMED,2024-06-28 08:23:11.375,2024-06-28 08:23:15.111,,2024-06-28 08:23:11.375,2024-06-28 08:23:15.111,,
1UnEo4qDolx,INSTALL,0105418000008,0105418000008-0101,,20240628f831a45e9be84108a0bf3c5c20f9a59a,1UnEo5JeidS,,2024062858cc7f260aad4acbabb54ac14af0ce32,BOOKING_CONFIRMED,2024-06-28 08:22:23.812,2024-06-28 08:22:26.991,,2024-06-28 08:22:23.812,2024-06-28 08:22:26.991,,
1UnEeTp0ndv,INSTALL,0105418000001,0105418000001-0101,,202406286bb8f41640014303a32d52e7c74ddd55,1UnEeVw469S,,20240628929fa329d13a498494e24296f2bf50a5,BOOKING_CONFIRMED,2024-06-28 08:20:13.852,2024-06-28 08:20:18.841,,2024-06-28 08:20:13.852,2024-06-28 08:20:18.841,,
1UnEvStgyrc,INSTALL,0105418000023,0105418000023-0101,,2024062852f935aceae3404988b4003f1acb83e5,1UnEvTLzTuN,,202406284e82aaca50bf49718b06b104feb82829,BOOKING_CONFIRMED,2024-06-28 08:24:03.862,2024-06-28 08:24:07.365,,2024-06-28 08:24:03.862,2024-06-28 08:24:07.365,,
1UnEuf6nFHe,INSTALL,0105418000021,0105418000021-0101,,2024062855c2326bbb7c410890d648b92e80c8a5,1UnEufYWY6X,,202406284ba371f002fe4c61b2f822f5979a09c8,BOOKING_CONFIRMED,2024-06-28 08:23:52.988,2024-06-28 08:23:56.866,,2024-06-28 08:23:52.988,2024-06-28 08:23:56.866,,
1UnElaH10ut,INSTALL,0105418000002,0105418000002-0101,,2024062895cf56bee6904c08a68e03d241ac5933,1UnElbO5BYb,,20240628a7f996905fc0444ea6e0cc72a0ece982,BOOKING_CONFIRMED,2024-06-28 08:21:50.056,2024-06-28 08:21:54.287,,2024-06-28 08:21:50.056,2024-06-28 08:21:54.287,,
1UnEoQiPx3b,INSTALL,0105418000009,0105418000009-0101,,202406289abb2a5ce09d40e99ce641a1d9c2c678,1UnEoQzp7lO,,20240628c0907a096df74c7aadf0198b39e3ba8f,BOOKING_CONFIRMED,2024-06-28 08:22:28.591,2024-06-28 08:22:31.963,,2024-06-28 08:22:28.591,2024-06-28 08:22:31.963,,
1UnEm2qXZqG,INSTALL,0105418000003,0105418000003-0101,,202406280f006cd8a81f401d8def214e06b95384,1UnEm3959Bo,,20240628cb5901d5637b4e1aba264671be3a5b10,BOOKING_CONFIRMED,2024-06-28 08:21:56.292,2024-06-28 08:21:59.817,,2024-06-28 08:21:56.292,2024-06-28 08:21:59.817,,
1UnEs1AapQX,INSTALL,0105418000014,0105418000014-0101,,20240628f963622d0fdd4f6c91d9a037f163c7b2,1UnEs1eJKMh,,2024062803697bfd434f43a5ad62b0ca55935bfb,BOOKING_CONFIRMED,2024-06-28 08:23:17.179,2024-06-28 08:23:20.520,,2024-06-28 08:23:17.179,2024-06-28 08:23:20.520,,
1UnEonwgd4I,INSTALL,0105418000010,0105418000010-0101,,2024062823e2976daa92482f8586ca156b493f47,1UnEooCxPEX,,20240628eb8aff45980645d7b89453c4cb145b39,BOOKING_CONFIRMED,2024-06-28 08:22:33.664,2024-06-28 08:22:36.858,,2024-06-28 08:22:33.664,2024-06-28 08:22:36.858,,
