id,title,rate,price,payment_id,service_payment_id,contract_payment_information_id,order_item_id
1YfvZ6ANB5b,Texas State Tax,0.0625,2.31,1YfvZ6A5ZxW,,,
1YfvZ6ANB5c,Houston City Tax,0.0100,0.37,1YfvZ6A5ZxW,,,
1YfvZ6ANB5d,Houston Mta Transit,0.0100,0.37,1YfvZ6A5ZxW,,,
1YfvZ6HBYDG,Texas State Tax,0.0625,2.31,,,,0105432500132-0102
1YfvZ6HBYDH,Houston City Tax,0.0100,0.37,,,,0105432500132-0102
1YfvZ6HBYDI,Houston Mta Transit,0.0100,0.37,,,,0105432500132-0102
1YfwCSxx5VX,Texas State Tax,0.0625,190.00,1YfwCSxx5VW,,,
1YfwCSxx5VY,Houston City Tax,0.0100,30.40,1YfwCSxx5VW,,,
1YfwCSxx5VZ,Houston Mta Transit,0.0100,30.40,1YfwCSxx5VW,,,
1YfwCT6keXe,Texas State Tax,0.0625,95.00,,,,0105432500136-0102
1YfwCT6keXf,Houston City Tax,0.0100,15.20,,,,0105432500136-0102
1YfwCT6keXg,Houston Mta Transit,0.0100,15.20,,,,0105432500136-0102
1YfwCT6keXh,Texas State Tax,0.0625,95.00,,,,0105432500136-0202
1YfwCT6keXi,Houston City Tax,0.0100,15.20,,,,0105432500136-0202
1YfwCT6keXj,Houston Mta Transit,0.0100,15.20,,,,0105432500136-0202
1YhVhC7ExNc,Texas State Tax,0.0625,95.00,1YhVhC7ExNb,,,
1YhVhC7ExNd,Houston City Tax,0.0100,15.20,1YhVhC7ExNb,,,
1YhVhC7ExNe,Houston Mta Transit,0.0100,15.20,1YhVhC7ExNb,,,
1YhVhCcBEYl,Texas State Tax,0.0625,95.00,,,,0105432600011-0102
1YhVhCcBEYm,Houston City Tax,0.0100,15.20,,,,0105432600011-0102
1YhVhCcBEYn,Houston Mta Transit,0.0100,15.20,,,,0105432600011-0102
1YhWk082lBg,Texas State Tax,0.0625,285.00,1YhWk082lBf,,,
1YhWk082lBh,Houston City Tax,0.0100,45.60,1YhWk082lBf,,,
1YhWk082lBi,Houston Mta Transit,0.0100,45.60,1YhWk082lBf,,,
1YhWk0BRwkZ,Texas State Tax,0.0625,95.00,,,,0105432600014-0102
1YhWk0BRwka,Houston City Tax,0.0100,15.20,,,,0105432600014-0102
1YhWk0BRwkb,Houston Mta Transit,0.0100,15.20,,,,0105432600014-0102
1YhWk0BRwkc,Texas State Tax,0.0625,95.00,,,,0105432600014-0202
1YhWk0BRwkd,Houston City Tax,0.0100,15.20,,,,0105432600014-0202
1YhWk0BRwke,Houston Mta Transit,0.0100,15.20,,,,0105432600014-0202
1YhWk0BRwkf,Texas State Tax,0.0625,95.00,,,,0105432600014-0302
1YhWk0BRwkg,Houston City Tax,0.0100,15.20,,,,0105432600014-0302
1YhWk0BRwkh,Houston Mta Transit,0.0100,15.20,,,,0105432600014-0302
1Ykm204iSgQ,Texas State Tax,0.0625,2.31,1Ykm2049GQH,,,
1Ykm204iSgR,Houston Mta Transit,0.0100,0.37,1Ykm2049GQH,,,
1Ykm204iSgS,Harris Co Emergency Services District 29 Sp,0.0100,0.37,1Ykm2049GQH,,,
1Ykm20WokYv,Texas State Tax,0.0625,2.31,,,,0105432800001-0102
1Ykm20WokYw,Houston Mta Transit,0.0100,0.37,,,,0105432800001-0102
1Ykm20WokYx,Harris Co Emergency Services District 29 Sp,0.0100,0.37,,,,0105432800001-0102
1YkzvgZSgtR,Texas State Tax,0.0625,84.38,1YkzvgZSgtQ,,,
1YkzvgZSgtS,Houston City Tax,0.0100,13.50,1YkzvgZSgtQ,,,
