id,company_code,vendor_id,category,first_name,middle_name,last_name,family_name,name_suffix,phone,mobile,fax,email,web_addr,address_jsonb,description,create_time,update_time,is_active,remark
0tVoqVNYKOzPpn6YA7jPCK3rJWOMlPP,T300,T200,CORPORATION,"[TEST]NECOA, Inc.",,,,,,1.213.453.0369,,help@necoa.com,www.necoa.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 법인,2025-01-02 00:00:00.000000,,Y,""
2ozWrhfAYXTqk3gZMcI8dhvlECNmNcP,N100,N300,CORPORATION,"NECOA Tech, Inc.",,,,,,1.213.453.0369,,help@necoa-tech.com,www.necoa-tech.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 테크 법인,2025-01-02 00:00:00.000000,,Y,""
qMYl1xLD6pBmzye9b2rr52FitMkVGZw,T100,T300,CORPORATION,"[TEST]NECOA Tech, Inc.",,,,,,1.213.453.0369,,help@necoa-tech.com,www.necoa-tech.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 테크 법인,2025-01-02 00:00:00.000000,,Y,""
tydOO6bBSQnjftAbZ2fychPJjx8aTob,T200,T300,CORPORATION,"[TEST]NECOA Tech, Inc.",,,,,,1.213.453.0369,,help@necoa-tech.com,www.necoa-tech.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 테크 법인,2025-01-02 00:00:00.000000,,Y,""
qtzTk5aIV45evegD9MRFp93Mxk0Kd4k,T300,T100,CORPORATION,"[TEST]NECOA Holdings, Inc.",,,,,,1.213.453.0369,,help@necoa-holdins.com,www.necoa-holdings.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 홀딩스 법인,2025-01-02 00:00:00.000000,,Y,""
p4j3gEm09UMNyciz3FwPCkZNhzuXlMe,N200,N100,CORPORATION,"NECOA Holdings, Inc.",,,,,,1.213.453.0369,,help@necoa-holdins.com,www.necoa-holdings.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 홀딩스 법인,2025-01-02 00:00:00.000000,,Y,""
psVw1ng0FqEGv8cLfWhLBlLqkMhUGB0,T100,T200,CORPORATION,"[TEST]NECOA, Inc.",,,,,,1.213.453.0369,,help@necoa.com,www.necoa.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 법인,2025-01-02 00:00:00.000000,,Y,""
Ess9AOAk1BWkpGSLm31nlIeyfn1W5yq,T200,T100,CORPORATION,"[TEST]NECOA Holdings, Inc.",,,,,,1.213.453.0369,,help@necoa-holdins.com,www.necoa-holdings.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",[TEST]네코아 홀딩스 법인,2025-01-02 00:00:00.000000,,Y,""
lHCc7MNvDYOhaRXXijEtsMixMmLM191,N200,N300,CORPORATION,"NECOA Tech, Inc.",,,,,,1.213.453.0369,,help@necoa-tech.com,www.necoa-tech.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 테크 법인,2025-01-02 00:00:00.000000,,Y,""
B5vdB5phMkD7a6rsaaf2yWJDcufeD8K,N100,N200,CORPORATION,"NECOA, Inc.",,,,,,1.213.453.0369,,help@necoa.com,www.necoa.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 법인,2025-01-02 00:00:00.000000,,Y,""
KGaBauvrC6b7DQ6ZDRxm9TH90cTBOAt,N300,N100,CORPORATION,"NECOA Holdings, Inc.",,,,,,1.213.453.0369,,help@necoa-holdins.com,www.necoa-holdings.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 홀딩스 법인,2025-01-02 00:00:00.000000,,Y,""
O0psWmySYO2NhR5thynz7WSESzaZcAj,N300,N200,CORPORATION,"NECOA, Inc.",,,,,,1.213.453.0369,,help@necoa.com,www.necoa.com,"{""city"": ""Los Angeles"", ""state"": ""CA"", ""zipCode"": ""90006"", ""address1"": ""928 S. Western Ave""}",네코아 법인,2025-01-02 00:00:00.000000,,Y,""
