submit_id,material_id,company_code,template_id,create_category,create_type,associated_type,asset_account_code,asset_account_name,income_account_code,income_account_name,expense_account_code,expense_account_name,document_type,management_unit,description,unit_price,rate_percent,sync_token,create_time,update_time,is_active
33,WP_543003,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:34:56.678745 +00:00,2024-12-12 04:34:56.678828 +00:00,Y
34,WP_543002,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:05.041006 +00:00,2024-12-12 04:35:05.041017 +00:00,Y
35,WP_543001,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:06.280452 +00:00,2024-12-12 04:35:06.280459 +00:00,Y
36,WP_241261,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:07.455340 +00:00,2024-12-12 04:35:07.455346 +00:00,Y
37,WP_241262,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:08.479133 +00:00,2024-12-12 04:35:08.479137 +00:00,Y
38,WP_115999,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:09.632435 +00:00,2024-12-12 04:35:09.632441 +00:00,Y
39,WPP_1237052,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:11.167912 +00:00,2024-12-12 04:35:11.167917 +00:00,Y
40,WPP_1237213,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:12.219602 +00:00,2024-12-12 04:35:12.219606 +00:00,Y
41,WPP_1236987,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:13.242174 +00:00,2024-12-12 04:35:13.242179 +00:00,Y
42,WPP_1237278,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:14.860138 +00:00,2024-12-12 04:35:14.860146 +00:00,Y
43,WPP_9240651,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:16.282655 +00:00,2024-12-12 04:35:16.282663 +00:00,Y
44,WPP_1237574,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:17.536111 +00:00,2024-12-12 04:35:17.536120 +00:00,Y
45,WPP_1237430,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:18.780479 +00:00,2024-12-12 04:35:18.780484 +00:00,Y
46,WPP_9244909,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:20.296670 +00:00,2024-12-12 04:35:20.296675 +00:00,Y
47,WPP_1237422,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:21.395774 +00:00,2024-12-12 04:35:21.395782 +00:00,Y
48,WPP_1237716,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:22.566642 +00:00,2024-12-12 04:35:22.566647 +00:00,Y
49,WPP_1237637,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:25.427081 +00:00,2024-12-12 04:35:25.427087 +00:00,Y
50,WPP_1237709,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:26.778671 +00:00,2024-12-12 04:35:26.778983 +00:00,Y
51,WPP_9230675,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:27.759005 +00:00,2024-12-12 04:35:27.759013 +00:00,Y
52,WPP_1237433,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:28.711841 +00:00,2024-12-12 04:35:28.711847 +00:00,Y
53,WPP_9227845,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:29.933664 +00:00,2024-12-12 04:35:29.933673 +00:00,Y
54,WPP_1237277,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:31.073537 +00:00,2024-12-12 04:35:31.073548 +00:00,Y
55,WPP_1237309,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:32.274437 +00:00,2024-12-12 04:35:32.274446 +00:00,Y
56,WP_113818,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:33.746619 +00:00,2024-12-12 04:35:33.746627 +00:00,Y
57,WP_113819,N200,1,PURCHASE,GOODS,NonInventory,1201010,상품,4103010,상품매출-일시불,5103010,상품매출원가-일시불,Invoice,SKU,,,,,2024-12-12 04:35:34.742618 +00:00,2024-12-12 04:35:34.742630 +00:00,Y
