id,material_id,material_model_name_prefix,rental_code,material_care_type,lease_type,commitment_duration,adjusted_commitment_duration,dist_value_m01,dist_value_r01,dist_value_r02,dist_value_r03,dist_value_s01,dist_value_t01,dist_ratio_m01,dist_ratio_r01,dist_ratio_r02,dist_ratio_r03,dist_ratio_s01,dist_ratio_t01,dist_price_m01,dist_price_r01,dist_price_r02,dist_price_r03,dist_price_s01,dist_price_t01,start_date
1,WP_113627,CHP-1300L,30000A,SELF_CARE,FINANCIAL_LEASE,36,36,640,,,,324,964,0.6639,,,,0.3361,1,29.88,,,,15.12,45,2024-01-01
2,WP_113627,CHP-1300L,30000A,HOME_CARE,FINANCIAL_LEASE,36,36,640,,,,324,964,0.6639,,,,0.3361,1,36.51,,,,18.49,55,2024-01-01
3,WP_113627,CHP-1300L,32000A,SELF_CARE,FINANCIAL_LEASE,24,24,640,,,,216,856,0.7477,,,,0.2523,1,23.93,,,,8.07,32,2024-01-01
4,WP_113627,CHP-1300L,32000A,HOME_CARE,FINANCIAL_LEASE,24,24,640,,,,216,856,0.7477,,,,0.2523,1,31.4,,,,10.6,42,2024-01-01
5,WP_113627,CHP-1300L,32200A,SELF_CARE,FINANCIAL_LEASE,24,24,640,,,,216,856,0.7477,,,,0.2523,1,18.69,,,,6.31,25,2024-01-01
6,WP_113627,CHP-1300L,32200A,HOME_CARE,FINANCIAL_LEASE,24,24,640,,,,216,856,0.7477,,,,0.2523,1,26.17,,,,8.83,35,2024-01-01
7,WP_113627,CHP-1300L,32N00A,SELF_CARE,OPERATING_LEASE,0,60,640,,,,600,1240,0.5161,,,,0.4839,1,16.52,,,,15.48,32,2024-01-01
8,WP_113627,CHP-1300L,32N00A,HOME_CARE,OPERATING_LEASE,0,60,640,,,,600,1240,0.5161,,,,0.4839,1,21.68,,,,20.32,42,2024-01-01
9,WP_113627,CHP-1300L,34000A,SELF_CARE,FINANCIAL_LEASE,48,48,640,,,,432,1072,0.597,,,,0.403,1,14.93,,,,10.07,25,2024-01-01
10,WP_113627,CHP-1300L,34000A,HOME_CARE,FINANCIAL_LEASE,48,48,640,,,,432,1072,0.597,,,,0.403,1,20.9,,,,14.1,35,2024-01-01
