id,material_model_name_prefix,rental_code,material_care_type,price,currency,tax_included,period_type,start_date
1,CHP-1300L,N0000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
2,CHP-1300L,N3000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
3,CHP-1300L,N3N00A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
4,CHP-1300L,N3200A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
5,CHP-1300L,N32N0A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
6,CHP-1300L,N5000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
7,CHP-1300L,N5N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
8,CHP-1300L,30000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
9,CHP-1300L,3N000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
10,CHP-1300L,32000A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
11,CHP-1300L,32N00A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
12,CHP-1300L,32200A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
13,CHP-1300L,34000A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
14,CHP-1300L,50000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
15,CHP-1300L,5N000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
16,CHP-1300L,52000A,SELF_CARE,23.00,USD,N,MONTHLY,2024-01-01
17,CHP-1300L,70000A,SELF_CARE,30.00,USD,N,MONTHLY,2024-01-01
18,CHP-1300L,N0000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
19,CHP-1300L,N3000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
20,CHP-1300L,N3N00A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
21,CHP-1300L,N3200A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
22,CHP-1300L,N32N0A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
23,CHP-1300L,N5000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
24,CHP-1300L,N5N00A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
25,CHP-1300L,30000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
26,CHP-1300L,3N000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
27,CHP-1300L,32000A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
