is_active,is_tax_exempt,quantity,total_price,create_time,update_time,charge_id,charge_item_id,charge_item_type,entity,field,hash_code,receipt_id,service_flow_id,value
Y,false,1,72.00,2024-12-03 13:10:43.021226 +00:00,,0105433700053-0101-N0000A-84,1Z1oE4SxYVo,RENTAL_FEE,CollectCharge,charge_id,023f608aa6dc8c90b807722565cd35d7,,,0105433700053-0101-N0000A-84
Y,false,1,72.00,2024-12-03 13:10:43.020937 +00:00,,0105433700053-0101-N0000A-83,1Z1oE4SxYVm,RENTAL_FEE,CollectCharge,charge_id,e675f52dbb99c6032c647b696547b8d5,,,0105433700053-0101-N0000A-83
Y,false,1,72.00,2024-12-03 13:10:43.020824 +00:00,,0105433700053-0101-N0000A-82,1Z1oE4SxYVk,RENTAL_FEE,CollectCharge,charge_id,1adab96f31a72652a4bdca69a2cde6a4,,,0105433700053-0101-N0000A-82
Y,false,1,72.00,2024-12-03 13:10:43.020707 +00:00,,0105433700053-0101-N0000A-81,1Z1oE4SxYVi,RENTAL_FEE,CollectCharge,charge_id,e16be9e8700844e8f54c89972862a966,,,0105433700053-0101-N0000A-81
Y,false,1,72.00,2024-12-03 13:10:43.020597 +00:00,,0105433700053-0101-N0000A-80,1Z1oE4SxYVg,RENTAL_FEE,CollectCharge,charge_id,82563e077a4301d051f259a056a9901e,,,0105433700053-0101-N0000A-80
Y,false,1,72.00,2024-12-03 13:10:43.020434 +00:00,,0105433700053-0101-N0000A-79,1Z1oE4SxYVe,RENTAL_FEE,CollectCharge,charge_id,31c0158211b6648cc49cf3018f2be05d,,,0105433700053-0101-N0000A-79
Y,false,1,72.00,2024-12-03 13:10:43.020240 +00:00,,0105433700053-0101-N0000A-78,1Z1oE4SxYVc,RENTAL_FEE,CollectCharge,charge_id,bd9ae3c7d0b903dcaa17f9aaeaa085bb,,,0105433700053-0101-N0000A-78
Y,false,1,72.00,2024-12-03 13:10:43.020077 +00:00,,0105433700053-0101-N0000A-77,1Z1oE4SxYVa,RENTAL_FEE,CollectCharge,charge_id,1906bf7f6c5ba96a1a9890b9d6d61188,,,0105433700053-0101-N0000A-77
Y,false,1,72.00,2024-12-03 13:10:43.019984 +00:00,,0105433700053-0101-N0000A-76,1Z1oE4SxYVY,RENTAL_FEE,CollectCharge,charge_id,e5f9f6162abde924521026f2cdc1388b,,,0105433700053-0101-N0000A-76
Y,false,1,72.00,2024-12-03 13:10:43.019883 +00:00,,0105433700053-0101-N0000A-75,1Z1oE4SfxNS,RENTAL_FEE,CollectCharge,charge_id,a677adb2f915f56d23abb85d454044d4,,,0105433700053-0101-N0000A-75
Y,false,1,72.00,2024-12-03 13:10:43.019769 +00:00,,0105433700053-0101-N0000A-74,1Z1oE4SfxNQ,RENTAL_FEE,CollectCharge,charge_id,adee4c5355da8e777638b5095551fc29,,,0105433700053-0101-N0000A-74
Y,false,1,72.00,2024-12-03 13:10:43.019618 +00:00,,0105433700053-0101-N0000A-73,1Z1oE4SfxNO,RENTAL_FEE,CollectCharge,charge_id,330d4450de6586e37bbf93fcaeec9518,,,0105433700053-0101-N0000A-73
Y,false,1,72.00,2024-12-03 13:10:43.019444 +00:00,,0105433700053-0101-N0000A-72,1Z1oE4SfxNM,RENTAL_FEE,CollectCharge,charge_id,56b9abbf460a1ae04cc3bd8df4c789fb,,,0105433700053-0101-N0000A-72
Y,false,1,72.00,2024-12-03 13:10:43.019288 +00:00,,0105433700053-0101-N0000A-71,1Z1oE4SfxNK,RENTAL_FEE,CollectCharge,charge_id,f1d5d727b3ef785af234434b460ae17f,,,0105433700053-0101-N0000A-71
Y,false,1,72.00,2024-12-03 13:10:43.019131 +00:00,,0105433700053-0101-N0000A-70,1Z1oE4SfxNI,RENTAL_FEE,CollectCharge,charge_id,e1fcaaa4ddbfd423b3104179e9eb314d,,,0105433700053-0101-N0000A-70
Y,false,1,72.00,2024-12-03 13:10:43.019012 +00:00,,0105433700053-0101-N0000A-69,1Z1oE4SfxNG,RENTAL_FEE,CollectCharge,charge_id,c6ab180e504f871137e710917d508d90,,,0105433700053-0101-N0000A-69
Y,false,1,72.00,2024-12-03 13:10:43.018738 +00:00,,0105433700053-0101-N0000A-68,1Z1oE4SfxNE,RENTAL_FEE,CollectCharge,charge_id,7b102f3524d140609877c583378c0ab9,,,0105433700053-0101-N0000A-68
Y,false,1,72.00,2024-12-03 13:10:43.018576 +00:00,,0105433700053-0101-N0000A-67,1Z1oE4SfxNC,RENTAL_FEE,CollectCharge,charge_id,986ee5525668b8d75b87a0def96b3843,,,0105433700053-0101-N0000A-67
Y,false,1,72.00,2024-12-03 13:10:43.018441 +00:00,,0105433700053-0101-N0000A-66,1Z1oE4SfxNA,RENTAL_FEE,CollectCharge,charge_id,03b51d399b1102fd9dc318e87564c09d,,,0105433700053-0101-N0000A-66
Y,false,1,72.00,2024-12-03 13:10:43.018270 +00:00,,0105433700053-0101-N0000A-65,1Z1oE4SfyRC,RENTAL_FEE,CollectCharge,charge_id,c4a04634fdb3cb7fbab23d488ce855ba,,,0105433700053-0101-N0000A-65
Y,false,1,72.00,2024-12-03 13:10:43.018000 +00:00,,0105433700053-0101-N0000A-64,1Z1oE4SfyRA,RENTAL_FEE,CollectCharge,charge_id,4f57a8584e51906abd62a858e6913256,,,0105433700053-0101-N0000A-64
Y,false,1,72.00,2024-12-03 13:10:43.017865 +00:00,,0105433700053-0101-N0000A-63,1Z1oE4SfyR8,RENTAL_FEE,CollectCharge,charge_id,1cb0a2c335296cb7bb13f5449a90aa9c,,,0105433700053-0101-N0000A-63
Y,false,1,72.00,2024-12-03 13:10:43.017707 +00:00,,0105433700053-0101-N0000A-62,1Z1oE4SfyR6,RENTAL_FEE,CollectCharge,charge_id,36fc66671b42f199ccaeb31b03900480,,,0105433700053-0101-N0000A-62
Y,false,1,72.00,2024-12-03 13:10:43.017601 +00:00,,0105433700053-0101-N0000A-61,1Z1oE4SfyR4,RENTAL_FEE,CollectCharge,charge_id,b6792c7be47cbc9ee3d03e120f91f631,,,0105433700053-0101-N0000A-61
Y,false,1,72.00,2024-12-03 13:10:43.017434 +00:00,,0105433700053-0101-N0000A-60,1Z1oE4SfyR2,RENTAL_FEE,CollectCharge,charge_id,adb1e2c02fe5939be1aa94b144018f99,,,0105433700053-0101-N0000A-60
Y,false,1,72.00,2024-12-03 13:10:43.017262 +00:00,,0105433700053-0101-N0000A-59,1Z1oE4SfyR0,RENTAL_FEE,CollectCharge,charge_id,7511c09d307ee8ec5675064ef005fec6,,,0105433700053-0101-N0000A-59
Y,false,1,72.00,2024-12-03 13:10:43.017161 +00:00,,0105433700053-0101-N0000A-58,1Z1oE4SfyQy,RENTAL_FEE,CollectCharge,charge_id,dd38b058052b7627dde684031b14e3b6,,,0105433700053-0101-N0000A-58
Y,false,1,72.00,2024-12-03 13:10:43.017031 +00:00,,0105433700053-0101-N0000A-57,1Z1oE4SfyQw,RENTAL_FEE,CollectCharge,charge_id,91784da13c6f724a8dd28373db5ee579,,,0105433700053-0101-N0000A-57
Y,false,1,72.00,2024-12-03 13:10:43.016917 +00:00,,0105433700053-0101-N0000A-56,1Z1oE4SfyQu,RENTAL_FEE,CollectCharge,charge_id,54c98bfb7202bb3fc851b23c21c31fba,,,0105433700053-0101-N0000A-56
Y,false,1,72.00,2024-12-03 13:10:43.016764 +00:00,,0105433700053-0101-N0000A-55,1Z1oE4SfyQs,RENTAL_FEE,CollectCharge,charge_id,90d59cb86fcbb65991ae34d2e0f88785,,,0105433700053-0101-N0000A-55
Y,false,1,72.00,2024-12-03 13:10:43.016651 +00:00,,0105433700053-0101-N0000A-54,1Z1oE4SONIm,RENTAL_FEE,CollectCharge,charge_id,9dadd59a953bff016ae36908242da945,,,0105433700053-0101-N0000A-54
Y,false,1,72.00,2024-12-03 13:10:43.016496 +00:00,,0105433700053-0101-N0000A-53,1Z1oE4SONIk,RENTAL_FEE,CollectCharge,charge_id,22a06d8d3a452c3cc1c6b12c0920f209,,,0105433700053-0101-N0000A-53
Y,false,1,72.00,2024-12-03 13:10:43.016312 +00:00,,0105433700053-0101-N0000A-52,1Z1oE4SONIi,RENTAL_FEE,CollectCharge,charge_id,7c323a4609fcff4b37ddbe8fdf5dd8f4,,,0105433700053-0101-N0000A-52
Y,false,1,72.00,2024-12-03 13:10:43.015406 +00:00,,0105433700053-0101-N0000A-51,1Z1oE4SONIg,RENTAL_FEE,CollectCharge,charge_id,f085bcb29f34e0a00d75c1c69b00b1a1,,,0105433700053-0101-N0000A-51
Y,false,1,72.00,2024-12-03 13:10:43.015267 +00:00,,0105433700053-0101-N0000A-50,1Z1oE4SONIe,RENTAL_FEE,CollectCharge,charge_id,062fe992bae5da990904cfa5de6436c9,,,0105433700053-0101-N0000A-50
Y,false,1,72.00,2024-12-03 13:10:43.015135 +00:00,,0105433700053-0101-N0000A-49,1Z1oE4SONIc,RENTAL_FEE,CollectCharge,charge_id,88afd1d4c59b8719eda227a1674cb34c,,,0105433700053-0101-N0000A-49
Y,false,1,72.00,2024-12-03 13:10:43.014426 +00:00,,0105433700053-0101-N0000A-48,1Z1oE4SONIa,RENTAL_FEE,CollectCharge,charge_id,a360172e2ef58a509d35f37028b2767f,,,0105433700053-0101-N0000A-48
Y,false,1,72.00,2024-12-03 13:10:43.014169 +00:00,,0105433700053-0101-N0000A-47,1Z1oE4SONIY,RENTAL_FEE,CollectCharge,charge_id,9c07e60199d5c4ccedace52adf91d010,,,0105433700053-0101-N0000A-47
Y,false,1,72.00,2024-12-03 13:10:43.014073 +00:00,,0105433700053-0101-N0000A-46,1Z1oE4SONIW,RENTAL_FEE,CollectCharge,charge_id,882f05baf9ac0b31fd9ed4f941500ba0,,,0105433700053-0101-N0000A-46
Y,false,1,72.00,2024-12-03 13:10:43.013971 +00:00,,0105433700053-0101-N0000A-45,1Z1oE4SONIU,RENTAL_FEE,CollectCharge,charge_id,f750ec2e33983dc9621292d01fcca67e,,,0105433700053-0101-N0000A-45
Y,false,1,72.00,2024-12-03 13:10:43.013842 +00:00,,0105433700053-0101-N0000A-44,1Z1oE4SONIS,RENTAL_FEE,CollectCharge,charge_id,ef3f3d6e608557d3e1b81db6711503a9,,,0105433700053-0101-N0000A-44
Y,false,1,72.00,2024-12-03 13:10:43.013135 +00:00,,0105433700053-0101-N0000A-43,1Z1oE4SONIQ,RENTAL_FEE,CollectCharge,charge_id,9930399f4bf6a8a2866041cfe0debb47,,,0105433700053-0101-N0000A-43
Y,false,1,72.00,2024-12-03 13:10:43.013034 +00:00,,0105433700053-0101-N0000A-42,1Z1oE4QyNe4,RENTAL_FEE,CollectCharge,charge_id,e5e8762583c62fb1ddd42361341aa7b0,,,0105433700053-0101-N0000A-42
Y,false,1,72.00,2024-12-03 13:10:43.012923 +00:00,,0105433700053-0101-N0000A-41,1Z1oE4QyNe2,RENTAL_FEE,CollectCharge,charge_id,581c877bce27b8d6e9cf943999e93661,,,0105433700053-0101-N0000A-41
Y,false,1,72.00,2024-12-03 13:10:43.012814 +00:00,,0105433700053-0101-N0000A-40,1Z1oE4QyNe0,RENTAL_FEE,CollectCharge,charge_id,5b64df86cd673554769e4d3d93067830,,,0105433700053-0101-N0000A-40
Y,false,1,72.00,2024-12-03 13:10:43.012665 +00:00,,0105433700053-0101-N0000A-39,1Z1oE4QyNdy,RENTAL_FEE,CollectCharge,charge_id,6879bca066a50e618b85a9c319c60dfb,,,0105433700053-0101-N0000A-39
