is_active,create_time,update_time,description,entity,feature_code,field,filter_type,hash_code,installation_type,material_brand_name,material_category_code,material_id,material_model_name,material_name,material_series_code,material_type,product_type,value
Y,2024-12-02 03:37:45.084421 +00:00,2024-12-02 03:37:45.084421 +00:00,high-efficiency heating component designed to regulate and maintain optimal water temperatures in purification systems.,,POWER_BOARD_ASSEMBLY,,,b248da5394e97d94753e4eb9b3f7ceca,,NECOA,WATER_PURIFIER_PART,WPP_1237052,,PBA-HEATER,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.084759 +00:00,2024-12-02 03:37:45.084759 +00:00,wireless communication module assembly that enables Wi-Fi connectivity for remote monitoring and control of electronic devices.,,WIFI_ASSEMBLY,,,0d6e1c6e508b21eab14bab37ab601c91,,NECOA,WATER_PURIFIER_PART,WPP_1237213,,PBA-WIFI ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.084826 +00:00,2024-12-02 03:37:45.084826 +00:00,nternal protective component designed to shield and secure sensitive parts within a system or device.,,POWER_BOARD_ASSEMBLY,,,f4b252bdb0430668ae421277d109e3c7,,NECOA,WATER_PURIFIER_PART,WPP_1236987,,COVER-INNER L ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.084890 +00:00,2024-12-02 03:37:45.084890 +00:00,precision control valve designed for regulating the flow of feed water into water purification systems.,,VALVE,,,2b78cf20872eb9d1b1eae1b36938a11a,,NECOA,WATER_PURIFIER_PART,WPP_1237278,,VALVE-FEED D,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.084953 +00:00,2024-12-02 03:37:45.084953 +00:00,precision-engineered assembly designed to securely join and seal fluid or gas lines in various systems.,,POWER_BOARD_ASSEMBLY,,,cde529df5b13c207f7d84d8fb03c7afe,,NECOA,WATER_PURIFIER_PART,WPP_9240651,,CONNECTOR-FITTING ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085017 +00:00,2024-12-02 03:37:45.085017 +00:00,control module that regulates and monitors the operation of the compressor in cooling systems.,,WIFI_ASSEMBLY,,,33625137e0f2d8a1771e63dab01061a8,,NECOA,WATER_PURIFIER_PART,WPP_1237574,,PBA-COMPRESSOR RUNNING DRIVE,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085081 +00:00,2024-12-02 03:37:45.085081 +00:00,comprehensive assembly designed to facilitate efficient repair and maintenance of printed board assemblies.,,POWER_BOARD_ASSEMBLY,,,2abe6d831ebeea46e11d860fb57ec7ce,,NECOA,WATER_PURIFIER_PART,WPP_1237430,,PBA-REPAIR HUB ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085145 +00:00,2024-12-02 03:37:45.085145 +00:00,"component designed to detect and alert users of any water leakage, ensuring timely maintenance and preventing potential damage.",,SENSOR_ASSEMBLY,,,493d317855592c96fdf9e84c09556df8,,NECOA,WATER_PURIFIER_PART,WPP_9244909,,SENSOR-LEAK DETECTOR ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085208 +00:00,2024-12-02 03:37:45.085208 +00:00,component that allows for the easy installation and rotational adjustment of a faucet to ensure precise positioning and secure mounting.,,POWER_BOARD_ASSEMBLY,,,a943caf3599361729172ffc70e8d571a,,NECOA,WATER_PURIFIER_PART,WPP_1237422,,FAUCET-INSTALL ROTATION ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
Y,2024-12-02 03:37:45.085271 +00:00,2024-12-02 03:37:45.085271 +00:00,"complete assembly unit designed for controlling the flow of water in water purification systems, ensuring easy and precise dispensing.",,FAUCET,,,8de423b2c44b968e1793ec8ea503bc03,,NECOA,WATER_PURIFIER_PART,WPP_1237716,,FAUCET ASSY,NECOA_WATER_PURIFIER_PART,PART,SECONDARY,
