is_active,create_time,order_create_time,order_update_time,update_time,channel_id,channel_order_id,customer_id,entity,field,hash_code,order_id,order_product_type,payment_id,referrer_code,value
Y,2024-12-06 08:08:48.817000 +00:00,2024-12-06 08:07:26.000000 +00:00,2024-12-06 08:07:38.000000 +00:00,2024-12-06 08:08:48.818000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241206-000020,,,,ede109e0ee871b054928cb0330368728,0105434100043,INSTALL,,,
Y,2024-12-06 07:54:25.826000 +00:00,2024-12-06 07:53:47.000000 +00:00,2024-12-06 07:53:54.000000 +00:00,2024-12-06 07:54:25.826000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241206-000016,,,,e7f9724f1103a6df4ff282f8e0ae05fa,0105434100040,INSTALL,,,
Y,2024-12-06 07:01:09.568000 +00:00,2024-12-06 07:00:28.000000 +00:00,2024-12-06 07:00:34.000000 +00:00,2024-12-06 07:01:09.569000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241206-000008,,,,edfbb6807e9758468e4c381d4934973c,0105434100005,INSTALL,,,
Y,2024-12-06 06:54:32.328000 +00:00,2024-12-06 06:53:37.000000 +00:00,2024-12-06 06:53:47.000000 +00:00,2024-12-06 06:54:32.336000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241206-000005,,,,0917cc136916f86b2470ab16e72bc9ba,0105434100004,INSTALL,,,
Y,2024-12-06 06:36:51.176000 +00:00,2024-12-06 06:35:49.000000 +00:00,2024-12-06 06:36:00.000000 +00:00,2024-12-06 06:36:51.176000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241206-000002,,,,c01c78a82f327b44c24f938799f68ab1,0105434100003,INSTALL,,,
Y,2024-12-05 11:05:19.741000 +00:00,2024-12-05 11:04:32.000000 +00:00,2024-12-05 11:04:42.000000 +00:00,2024-12-05 11:05:19.744000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241205-000012,,,,944075c241e402970bb14100dff933e8,0105434000056,INSTALL,,,
Y,2024-12-05 08:28:16.326000 +00:00,2024-12-05 08:27:34.000000 +00:00,2024-12-05 08:27:35.000000 +00:00,2024-12-05 08:28:16.371000 +00:00,b4d0a73361df1bbe3e0e44e91eefb321,G-241205-000009,,,,cab758be4f9518e5acc26d72d7eac3dd,0105434000055,INSTALL,,,
Y,2024-12-05 08:15:13.209000 +00:00,2024-12-05 08:15:12.757000 +00:00,2024-12-05 08:15:12.757000 +00:00,2024-12-05 08:15:13.210000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865127580,,,,257465f79df5ca6038543a79282bfef3,0105434000053,INSTALL,,,
Y,2024-12-05 08:15:11.021000 +00:00,2024-12-05 08:15:10.308000 +00:00,2024-12-05 08:15:10.308000 +00:00,2024-12-05 08:15:11.022000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865103083,,,,4d1e1c1e0a2ff5ee7792485957e490c5,0105434000052,INSTALL,,,
Y,2024-12-05 08:15:08.603000 +00:00,2024-12-05 08:15:07.959000 +00:00,2024-12-05 08:15:07.959000 +00:00,2024-12-05 08:15:08.604000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865079591,,,,c88684533783cf1a9f65c86ddd3a7f5d,0105434000051,INSTALL,,,
Y,2024-12-05 08:15:05.597000 +00:00,2024-12-05 08:15:05.114000 +00:00,2024-12-05 08:15:05.114000 +00:00,2024-12-05 08:15:05.598000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865051142,,,,45498691709682032378175bb111ff89,0105434000050,INSTALL,,,
Y,2024-12-05 08:15:03.352000 +00:00,2024-12-05 08:15:02.811000 +00:00,2024-12-05 08:15:02.811000 +00:00,2024-12-05 08:15:03.353000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865028112,,,,e2849795cd328bd894dd05b443300a7c,0105434000049,INSTALL,,,
Y,2024-12-05 08:15:01.098000 +00:00,2024-12-05 08:15:00.406000 +00:00,2024-12-05 08:15:00.406000 +00:00,2024-12-05 08:15:01.099000 +00:00,8622ace6b04c90c339cf3e170c604be8,100117333865004064,,,,7d110cce4b19298535e33fb63d2a85bf,0105434000048,INSTALL,,,
