discount_price,is_active,item_price,quantity,registration_price,tax,total_price,create_time,update_time,channel_order_id,channel_order_item_id,contract_id,currency,entity,field,hash_code,install_id,material_id,order_id,order_item_id,order_item_status,order_item_type,value
,Y,,1,,,,2024-12-06 13:05:55.919000 +00:00,2024-12-06 13:05:57.095000 +00:00,G-241206-000028,S-241206-000026,0105434100051-0101-30000A,,CollectOrder,orderId,9f90db0197055350b6f2c4c30ce52dfc,1Z6mb1MFryg,WP_113627,0105434100051,0105434100051-0101,BOOKING_SCHEDULED,RENTAL,0105434100051
,Y,,1,,,,2024-12-06 12:55:18.507000 +00:00,2024-12-06 12:55:21.403000 +00:00,G-241206-000004,S-241206-000003,0105434100047-0201-30000A,,CollectOrder,orderId,b2717e5d91df885a228f605105fb8543,1Z6lq6JXQI3,WP_113727,0105434100047,0105434100047-0201,BOOKING_SCHEDULED,RENTAL,0105434100047
,Y,,1,,,,2024-12-06 12:55:18.504000 +00:00,2024-12-06 12:55:20.665000 +00:00,G-241206-000004,S-241206-000002,0105434100047-0101-30000A,,CollectOrder,orderId,d62475a4cef3a73b737ce6b3dc6b7efb,1Z6lpxG4qyD,WP_113727,0105434100047,0105434100047-0101,BOOKING_SCHEDULED,RENTAL,0105434100047
,Y,,1,,,,2024-12-06 09:28:51.616000 +00:00,2024-12-06 09:28:54.131000 +00:00,G-241206-000025,S-241206-000025,0105434100046-0101-30000A,,CollectOrder,orderId,9689db9bc8f16a6eda97999ecdb95693,1Z6X5FvkGIA,WP_113627,0105434100046,0105434100046-0101,BOOKING_SCHEDULED,RENTAL,0105434100046
,Y,,1,,,,2024-12-06 09:22:26.860000 +00:00,2024-12-06 09:22:28.539000 +00:00,G-241206-000024,S-241206-000024,,,CollectOrder,orderId,1c491935025d560c85c067a11e13f47b,1Z6Wcw5e61M,WP_113627,0105434100045,0105434100045-0202,BOOKING_SCHEDULED,ONETIME,0105434100045
,Y,,1,,,,2024-12-06 09:22:26.859000 +00:00,2024-12-06 09:22:28.133000 +00:00,G-241206-000024,S-241206-000023,,,CollectOrder,orderId,bcd0ea66a8718207252205dcbdb86cc2,1Z6Wcqe92L0,WP_113627,0105434100045,0105434100045-0102,BOOKING_SCHEDULED,ONETIME,0105434100045
,Y,,1,,,,2024-12-06 08:47:43.498000 +00:00,2024-12-06 08:47:48.907000 +00:00,G-241206-000023,S-241206-000022,,,CollectOrder,orderId,34ec99bdd2fb0e4f52fa855e54759d3a,1Z6U9MdLDZL,WP_113627,0105434100044,0105434100044-0302,BOOKING_SCHEDULED,ONETIME,0105434100044
,Y,,1,,,,2024-12-06 08:47:43.497000 +00:00,2024-12-06 08:47:47.632000 +00:00,G-241206-000023,S-241206-000020,,,CollectOrder,orderId,f0ba982705c1cfae8af52b8c189208e2,1Z6U912yXDT,WP_113627,0105434100044,0105434100044-0102,BOOKING_SCHEDULED,ONETIME,0105434100044
,Y,,1,,,,2024-12-06 08:47:43.497000 +00:00,2024-12-06 08:47:48.438000 +00:00,G-241206-000023,S-241206-000021,,,CollectOrder,orderId,51456737a00361041fa701b16928d77b,1Z6U9KGabI6,WP_113627,0105434100044,0105434100044-0202,BOOKING_SCHEDULED,ONETIME,0105434100044
,Y,,1,,,,2024-12-06 08:08:48.821000 +00:00,2024-12-06 08:08:53.099000 +00:00,G-241206-000020,S-241206-000018,0105434100043-0501-30000A,,CollectOrder,orderId,14fdd21953ed42da38b89a32a91c3ddf,1Z6RMqFNDGJ,WP_113786,0105434100043,0105434100043-0501,SUSPENDED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:48.821000 +00:00,2024-12-06 08:08:53.683000 +00:00,G-241206-000020,S-241206-000019,0105434100043-0601-30000A,,CollectOrder,orderId,c648864a92c9cac7d7e47b95361d7fb9,1Z6RMud1Klf,WP_113786,0105434100043,0105434100043-0601,SUSPENDED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:48.820000 +00:00,2024-12-06 08:24:43.511000 +00:00,G-241206-000020,S-241206-000015,0105434100043-0201-30000A,,CollectOrder,orderId,eabd522d3d0d6ef4b50dc7d223d07ee1,1Z6RMeJeYDq,WP_113786,0105434100043,0105434100043-0201,CANCELLATION_COMPLETED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:48.820000 +00:00,2024-12-06 08:15:17.920000 +00:00,G-241206-000020,S-241206-000016,0105434100043-0301-30000A,,CollectOrder,orderId,bced5c7c50d84235c0f70714644721cc,1Z6RMjVpGsO,WP_113786,0105434100043,0105434100043-0301,CANCELLATION_COMPLETED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:48.820000 +00:00,2024-12-06 08:08:52.120000 +00:00,G-241206-000020,S-241206-000017,0105434100043-0401-30000A,,CollectOrder,orderId,d5e9dab619c8fee983fb73b5dfaa5410,1Z6RMnX356X,WP_113786,0105434100043,0105434100043-0401,SUSPENDED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:48.819000 +00:00,2024-12-06 08:13:51.305000 +00:00,G-241206-000020,S-241206-000014,0105434100043-0101-30000A,,CollectOrder,orderId,96cb70c9f8b788a988d0785b97b197b2,1Z6RMbNzGxK,WP_113786,0105434100043,0105434100043-0101,CANCELLATION_COMPLETED,RENTAL,0105434100043
,Y,,1,,,,2024-12-06 08:08:35.464000 +00:00,2024-12-06 08:08:43.994000 +00:00,G-241206-000020,S-241206-000017,0105434100042-0401-30000A,,CollectOrder,orderId,6c96ba2c21dfdc667323cc07e5b601a9,1Z6RM61yQOh,WP_113786,0105434100042,0105434100042-0401,SUSPENDED,RENTAL,0105434100042
,Y,,1,,,,2024-12-06 08:08:35.464000 +00:00,2024-12-06 08:08:46.146000 +00:00,G-241206-000020,S-241206-000018,0105434100042-0501-30000A,,CollectOrder,orderId,1ed1614b525c38a143bdd9ab70430f13,1Z6RMF4aCJi,WP_113786,0105434100042,0105434100042-0501,SUSPENDED,RENTAL,0105434100042
,Y,,1,,,,2024-12-06 08:08:35.464000 +00:00,2024-12-06 08:08:48.358000 +00:00,G-241206-000020,S-241206-000019,0105434100042-0601-30000A,,CollectOrder,orderId,7054741f3772e67e7ff786b57fbbed48,1Z6RMP6DjCc,WP_113786,0105434100042,0105434100042-0601,SUSPENDED,RENTAL,0105434100042
