hash_code,create_time,update_time,is_active,entity,field,value,discount_price,item_price,prepaid_amount,tax,currency
474cb2da6c0351a8bd314342972c4692,2024-12-06 14:06:01.524640 +00:00,2024-12-06 14:06:01.524695 +00:00,Y,CollectChargeItem,order_item_id,0105434100051-0101,0.0000,0.0000,0.0000,,USD
0bcf9c2020b34397d00c66b352917f04,2024-12-06 14:06:01.526469 +00:00,2024-12-06 14:06:01.526482 +00:00,Y,CollectChargeItem,order_item_id,0105434100047-0201,0.0000,0.0000,0.0000,,USD
d1af2689372773121f76f38df958f378,2024-12-06 14:06:01.526895 +00:00,2024-12-06 14:06:01.526901 +00:00,Y,CollectChargeItem,order_item_id,0105434100047-0101,0.0000,0.0000,0.0000,,USD
029a806f3feeec78675ed92bd6f357ac,2024-12-06 14:06:01.527330 +00:00,2024-12-06 14:06:01.527333 +00:00,Y,CollectChargeItem,order_item_id,0105434100046-0101,0.0000,0.0000,0.0000,,USD
302ae384af1bb4a65b1ea60793c17a88,2024-12-06 14:06:01.527651 +00:00,2024-12-06 14:06:01.527655 +00:00,Y,CollectChargeItem,order_item_id,0105434100045-0202,0.0000,1520.0000,0.0000,,USD
1cb3bbc100aa5439b317e59f074804d6,2024-12-06 14:06:01.527991 +00:00,2024-12-06 14:06:01.528002 +00:00,Y,CollectChargeItem,order_item_id,0105434100045-0102,0.0000,1520.0000,0.0000,,USD
1ad2f3d62259692ec765f54f29438b5a,2024-12-06 14:06:01.528358 +00:00,2024-12-06 14:06:01.528361 +00:00,Y,CollectChargeItem,order_item_id,0105434100044-0302,0.0000,1520.0000,0.0000,,USD
e83ef9dc5536f73d70483ea16a7809e0,2024-12-06 14:06:01.528609 +00:00,2024-12-06 14:06:01.528612 +00:00,Y,CollectChargeItem,order_item_id,0105434100044-0102,0.0000,1520.0000,0.0000,,USD
e253bd5998e83b8e8939a395ba6492df,2024-12-06 14:06:01.528832 +00:00,2024-12-06 14:06:01.528835 +00:00,Y,CollectChargeItem,order_item_id,0105434100044-0202,0.0000,1520.0000,0.0000,,USD
8c1aab1cba54540c1118a8979734784f,2024-12-06 14:06:01.529089 +00:00,2024-12-06 14:06:01.529092 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0501,0.0000,0.0000,0.0000,,USD
c1ef1484dc0e7561c193802097a9a30e,2024-12-06 14:06:01.529402 +00:00,2024-12-06 14:06:01.529405 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0601,0.0000,0.0000,0.0000,,USD
3633943ca40f38bcbac3cae61c952fb2,2024-12-06 14:06:01.529680 +00:00,2024-12-06 14:06:01.529687 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0201,0.0000,0.0000,0.0000,,USD
cdf684b87f4b7dafb307a36538a33090,2024-12-06 14:06:01.529970 +00:00,2024-12-06 14:06:01.529973 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0301,0.0000,0.0000,0.0000,,USD
8dd712bc9eecfe4e39d1f8d450105ac4,2024-12-06 14:06:01.530212 +00:00,2024-12-06 14:06:01.530215 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0401,0.0000,0.0000,0.0000,,USD
a9e8a21a99efa3c659ef18b98c495360,2024-12-06 14:06:01.530510 +00:00,2024-12-06 14:06:01.530512 +00:00,Y,CollectChargeItem,order_item_id,0105434100043-0101,0.0000,0.0000,0.0000,,USD
5dd38779d3669ae7f48fce66f9a19cdd,2024-12-06 14:06:01.530735 +00:00,2024-12-06 14:06:01.530740 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0401,0.0000,0.0000,0.0000,,USD
7a3527fc23d2ab7eeeac94eeda6a661b,2024-12-06 14:06:01.531013 +00:00,2024-12-06 14:06:01.531016 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0501,0.0000,0.0000,0.0000,,USD
a5613319ac9140356450f38634d82344,2024-12-06 14:06:01.531257 +00:00,2024-12-06 14:06:01.531260 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0601,0.0000,0.0000,0.0000,,USD
c2503dcdedc588f8dca54c7663580d2b,2024-12-06 14:06:01.531467 +00:00,2024-12-06 14:06:01.531470 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0201,0.0000,0.0000,0.0000,,USD
29969a805f4158c413eec2a717dee02c,2024-12-06 14:06:01.531743 +00:00,2024-12-06 14:06:01.531746 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0301,0.0000,0.0000,0.0000,,USD
79581fd4d02c5aa1627066fff6f459a4,2024-12-06 14:06:01.532054 +00:00,2024-12-06 14:06:01.532057 +00:00,Y,CollectChargeItem,order_item_id,0105434100042-0101,0.0000,0.0000,0.0000,,USD
04409b2137b8da1eb1dddb5b7f2ac831,2024-12-06 14:06:01.532299 +00:00,2024-12-06 14:06:01.532302 +00:00,Y,CollectChargeItem,order_item_id,0105434100041-0102,0.0000,1520.0000,0.0000,,USD
23e6066952044940664957cf4ef1e00e,2024-12-06 14:06:01.532544 +00:00,2024-12-06 14:06:01.532546 +00:00,Y,CollectChargeItem,order_item_id,0105434100040-0301,0.0000,0.0000,0.0000,,USD
0e656e0c032b852863a5b2431dd666d9,2024-12-06 14:06:01.532747 +00:00,2024-12-06 14:06:01.532749 +00:00,Y,CollectChargeItem,order_item_id,0105434100040-0101,0.0000,0.0000,0.0000,,USD
b473cdcb4aebd653087db3b60ae20078,2024-12-06 14:06:01.533081 +00:00,2024-12-06 14:06:01.533087 +00:00,Y,CollectChargeItem,order_item_id,0105434100040-0201,0.0000,0.0000,0.0000,,USD
2156eed0711b5de25cce7d4a8c0ab7de,2024-12-06 14:06:01.533362 +00:00,2024-12-06 14:06:01.533364 +00:00,Y,CollectChargeItem,order_item_id,0105434100039-0101,0.0000,0.0000,0.0000,,USD
