is_active,price,rate,create_time,update_time,entity,field,hash_code,title,value
Y,0.0000,0.0625,2024-12-06 14:21:23.814500 +00:00,2024-12-06 14:21:23.814533 +00:00,CollectOrderItem,order_item_id,95adbd40a02dffb4b22da16a16f0f56a,State Dallas,0105434100051-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.824586 +00:00,2024-12-06 14:21:23.824599 +00:00,CollectOrderItem,order_item_id,d1ea50df1734150589a97db455702cc3,State Dallas,0105434100047-0201
Y,0.0000,0.0625,2024-12-06 14:21:23.825398 +00:00,2024-12-06 14:21:23.825404 +00:00,CollectOrderItem,order_item_id,aa92a2e815bed19a451e497098bcbfe7,State Dallas,0105434100047-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.826035 +00:00,2024-12-06 14:21:23.826045 +00:00,CollectOrderItem,order_item_id,811c0def98a4c31353a001223290de3f,State Dallas,0105434100046-0101
Y,95.0000,0.0625,2024-12-06 14:21:23.826522 +00:00,2024-12-06 14:21:23.826526 +00:00,CollectOrderItem,order_item_id,9f8950b9a9180dad6d39b7e31f1712a0,State Dallas,0105434100045-0202
Y,95.0000,0.0625,2024-12-06 14:21:23.827437 +00:00,2024-12-06 14:21:23.827443 +00:00,CollectOrderItem,order_item_id,1a1c7dd26dcbff41e7b68620048f4a01,State Dallas,0105434100045-0102
Y,95.0000,0.0625,2024-12-06 14:21:23.827909 +00:00,2024-12-06 14:21:23.827914 +00:00,CollectOrderItem,order_item_id,29461a3cecbc111d3f6e09fac7c4980f,State Dallas,0105434100044-0302
Y,95.0000,0.0625,2024-12-06 14:21:23.828260 +00:00,2024-12-06 14:21:23.828266 +00:00,CollectOrderItem,order_item_id,664379bd72d32b58c0eaedd9f89cba77,State Dallas,0105434100044-0102
Y,95.0000,0.0625,2024-12-06 14:21:23.828690 +00:00,2024-12-06 14:21:23.828696 +00:00,CollectOrderItem,order_item_id,0e95cef28ca34bdfd0363c90a403d7fa,State Dallas,0105434100044-0202
Y,0.0000,0.0625,2024-12-06 14:21:23.829085 +00:00,2024-12-06 14:21:23.829089 +00:00,CollectOrderItem,order_item_id,7ea9eaa1539a5df2b8ea8bcb19b8cd07,State Dallas,0105434100043-0501
Y,0.0000,0.0625,2024-12-06 14:21:23.829479 +00:00,2024-12-06 14:21:23.829487 +00:00,CollectOrderItem,order_item_id,4a4be940b10537cf8a02aefe9ef41170,State Dallas,0105434100043-0601
Y,0.0000,0.0625,2024-12-06 14:21:23.829880 +00:00,2024-12-06 14:21:23.829884 +00:00,CollectOrderItem,order_item_id,c6bb53c03f9760dd4c006287b3ca7d51,State Dallas,0105434100043-0201
Y,0.0000,0.0625,2024-12-06 14:21:23.830200 +00:00,2024-12-06 14:21:23.830205 +00:00,CollectOrderItem,order_item_id,c34f9798bbc459bc146a581bb9e40058,State Dallas,0105434100043-0301
Y,0.0000,0.0625,2024-12-06 14:21:23.830593 +00:00,2024-12-06 14:21:23.830597 +00:00,CollectOrderItem,order_item_id,2b99ebe77b970e1304365b75ea6ffe05,State Dallas,0105434100043-0401
Y,0.0000,0.0625,2024-12-06 14:21:23.830981 +00:00,2024-12-06 14:21:23.830985 +00:00,CollectOrderItem,order_item_id,1739d94b444413c271b3501f7e73ddfc,State Dallas,0105434100043-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.831305 +00:00,2024-12-06 14:21:23.831308 +00:00,CollectOrderItem,order_item_id,7ae4b3a99442fff0c72ae8fd1551a349,State Dallas,0105434100042-0401
Y,0.0000,0.0625,2024-12-06 14:21:23.831616 +00:00,2024-12-06 14:21:23.831620 +00:00,CollectOrderItem,order_item_id,77e557d764865cec7ee2d50db45390ef,State Dallas,0105434100042-0501
Y,0.0000,0.0625,2024-12-06 14:21:23.831957 +00:00,2024-12-06 14:21:23.831961 +00:00,CollectOrderItem,order_item_id,0a9d949779c0c1ad801158cc67402c2d,State Dallas,0105434100042-0601
Y,0.0000,0.0625,2024-12-06 14:21:23.832241 +00:00,2024-12-06 14:21:23.832245 +00:00,CollectOrderItem,order_item_id,e4e23dc2ac13bded54a2b0922a15ee3d,State Dallas,0105434100042-0201
Y,0.0000,0.0625,2024-12-06 14:21:23.832571 +00:00,2024-12-06 14:21:23.832574 +00:00,CollectOrderItem,order_item_id,7e058418d94a56aac2cccd3cbf0ae070,State Dallas,0105434100042-0301
Y,0.0000,0.0625,2024-12-06 14:21:23.832938 +00:00,2024-12-06 14:21:23.832944 +00:00,CollectOrderItem,order_item_id,815a9ff86df40caa7f8af309afa7bcbd,State Dallas,0105434100042-0101
Y,95.0000,0.0625,2024-12-06 14:21:23.833271 +00:00,2024-12-06 14:21:23.833275 +00:00,CollectOrderItem,order_item_id,c95c0e5a6dd15aeabb5341083aa05ae2,State Dallas,0105434100041-0102
Y,0.0000,0.0625,2024-12-06 14:21:23.833607 +00:00,2024-12-06 14:21:23.833611 +00:00,CollectOrderItem,order_item_id,525f1111d4a6aed7816080f0109c6605,State Dallas,0105434100040-0301
Y,0.0000,0.0625,2024-12-06 14:21:23.833913 +00:00,2024-12-06 14:21:23.833916 +00:00,CollectOrderItem,order_item_id,44e35e7d37c9ac3ea91eccf3bf214737,State Dallas,0105434100040-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.834236 +00:00,2024-12-06 14:21:23.834239 +00:00,CollectOrderItem,order_item_id,6716855dcbfc0ff24e394a396e95ae5f,State Dallas,0105434100040-0201
Y,0.0000,0.0625,2024-12-06 14:21:23.834533 +00:00,2024-12-06 14:21:23.834538 +00:00,CollectOrderItem,order_item_id,97d6e9426f68a5582a922a615074582b,State Dallas,0105434100039-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.834871 +00:00,2024-12-06 14:21:23.834876 +00:00,CollectOrderItem,order_item_id,bec2516f47f195c60d43a1a7fce6a65d,State Dallas,0105434100038-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.835171 +00:00,2024-12-06 14:21:23.835175 +00:00,CollectOrderItem,order_item_id,8abeb54bbe546f8cb4cedd57d5de030d,State Dallas,0105434100037-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.835504 +00:00,2024-12-06 14:21:23.835508 +00:00,CollectOrderItem,order_item_id,e7538a9d1badf5d7fcbd132cb7a7b29f,State Dallas,0105434100036-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.835992 +00:00,2024-12-06 14:21:23.835996 +00:00,CollectOrderItem,order_item_id,e98c006159272fea8e63fb7ecd610221,State Dallas,0105434100035-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.836369 +00:00,2024-12-06 14:21:23.836373 +00:00,CollectOrderItem,order_item_id,93163150968a7824aa15cf4f80286e80,State Dallas,0105434100034-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.836672 +00:00,2024-12-06 14:21:23.836676 +00:00,CollectOrderItem,order_item_id,0c033409df814dccad6c575f76812c76,State Dallas,0105434100033-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.837043 +00:00,2024-12-06 14:21:23.837047 +00:00,CollectOrderItem,order_item_id,d7090abb0894796c2cd9d6eaa4e22f66,State Dallas,0105434100032-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.837333 +00:00,2024-12-06 14:21:23.837337 +00:00,CollectOrderItem,order_item_id,77af8f856837deb4192d69f0f6fc8315,State Dallas,0105434100031-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.837631 +00:00,2024-12-06 14:21:23.837634 +00:00,CollectOrderItem,order_item_id,d8c32097ea677fcebc8126fb83017847,State Dallas,0105434100030-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.837963 +00:00,2024-12-06 14:21:23.837967 +00:00,CollectOrderItem,order_item_id,9d2b4632e930da84015381b425e02e69,State Dallas,0105434100029-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.838283 +00:00,2024-12-06 14:21:23.838286 +00:00,CollectOrderItem,order_item_id,6415b7d979852b4d248d195c46e54c45,State Dallas,0105434100028-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.838649 +00:00,2024-12-06 14:21:23.838651 +00:00,CollectOrderItem,order_item_id,760de5a4e0ce27b1faa8dbd57906d796,State Dallas,0105434100027-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.838969 +00:00,2024-12-06 14:21:23.838973 +00:00,CollectOrderItem,order_item_id,75c29e51710b5267a70af8c7860492f3,State Dallas,0105434100026-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.839288 +00:00,2024-12-06 14:21:23.839294 +00:00,CollectOrderItem,order_item_id,2f806573c3b2bb23eb19692b6335f9fb,State Dallas,0105434100025-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.839623 +00:00,2024-12-06 14:21:23.839627 +00:00,CollectOrderItem,order_item_id,2c5becd5d76a54625615768a341cf841,State Dallas,0105434100024-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.839995 +00:00,2024-12-06 14:21:23.840000 +00:00,CollectOrderItem,order_item_id,4c0aa11674fd5b70c0b3586d4d1aab67,State Dallas,0105434100023-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.840403 +00:00,2024-12-06 14:21:23.840407 +00:00,CollectOrderItem,order_item_id,5693915058383662642d0f6baca57514,State Dallas,0105434100022-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.840975 +00:00,2024-12-06 14:21:23.840978 +00:00,CollectOrderItem,order_item_id,acc32b5e76ec73e7b43a05fbce0507dc,State Dallas,0105434100021-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.841355 +00:00,2024-12-06 14:21:23.841362 +00:00,CollectOrderItem,order_item_id,5767e2e823a0ba0fe0bdb97cbf425d45,State Dallas,0105434100020-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.841694 +00:00,2024-12-06 14:21:23.841698 +00:00,CollectOrderItem,order_item_id,c7d178aaddda959985bdffda770e74b8,State Dallas,0105434100019-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.842021 +00:00,2024-12-06 14:21:23.842025 +00:00,CollectOrderItem,order_item_id,88cc32bcc8f94f32c0910a7f47a31442,State Dallas,0105434100018-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.842316 +00:00,2024-12-06 14:21:23.842319 +00:00,CollectOrderItem,order_item_id,4e513dd3f90bdfafd83779376b541dfe,State Dallas,0105434100017-0101
Y,0.0000,0.0625,2024-12-06 14:21:23.842559 +00:00,2024-12-06 14:21:23.842562 +00:00,CollectOrderItem,order_item_id,93db972528b82ac285a520f764c95b80,State Dallas,0105434100016-0101
