id,account_type,attribute_category,attribute_type,field_requirement,is_active
1,ASSET,ASSIGNMENT,COST_CENTER,REQUIRED,N
2,ASSET,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
3,ASSET,ASSIGNMENT,SEGMENT,OPTIONAL,N
4,ASSET,ASSIGNMENT,PROJECT,OPTIONAL,N
5,ASSET,ATTRIBUTE,CUSTOMER_ID,OPTIONAL,N
6,ASSET,ATTRIBUTE,ORDER_ID,OPTIONAL,Y
7,ASSET,ATTRIBUTE,ORDER_ITEM_ID,OPTIONAL,Y
8,ASSET,ATTRIBUTE,CONTRACT_ID,OPTIONAL,Y
9,ASSET,ATTRIBUTE,SERIAL_NUMBER,OPTIONAL,Y
10,ASSET,ATTRIBUTE,SALES_TYPE,OPTIONAL,Y
11,ASSET,ATTRIBUTE,SALES_ITEM,OPTIONAL,Y
12,ASSET,ATTRIBUTE,RENTAL_CODE,OPTIONAL,Y
13,ASSET,ATTRIBUTE,LEASE_TYPE,OPTIONAL,Y
14,ASSET,ATTRIBUTE,CONTRACT_DURATION,OPTIONAL,Y
15,ASSET,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
16,ASSET,ATTRIBUTE,CURRENT_TERM,OPTIONAL,Y
17,ASSET,ATTRIBUTE,CHANNEL_TYPE,OPTIONAL,Y
18,ASSET,ATTRIBUTE,CHANNEL_NAME,OPTIONAL,Y
19,ASSET,ATTRIBUTE,CHANNEL_DETAIL,OPTIONAL,Y
20,ASSET,ATTRIBUTE,REFERRAL_CODE,OPTIONAL,Y
21,ASSET,ATTRIBUTE,CUSTOMER_INVOICE_ID,OPTIONAL,Y
22,ASSET,ATTRIBUTE,VENDOR_ID,NOT_ALLOWED,N
23,ASSET,ATTRIBUTE,PAYOUT_ID,NOT_ALLOWED,Y
24,ASSET,ATTRIBUTE,VENDOR_INVOICE_ID,NOT_ALLOWED,Y
25,ASSET,ATTRIBUTE,PURCHASE_ORDER,NOT_ALLOWED,Y
26,ASSET,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
27,ASSET,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
28,ASSET,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
29,ASSET,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
30,ASSET,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
31,ASSET,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
32,ASSET,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
33,ASSET,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
34,CUSTOMER,ASSIGNMENT,COST_CENTER,REQUIRED,N
35,CUSTOMER,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
36,CUSTOMER,ASSIGNMENT,SEGMENT,OPTIONAL,N
37,CUSTOMER,ASSIGNMENT,PROJECT,OPTIONAL,N
38,CUSTOMER,ATTRIBUTE,CUSTOMER_ID,REQUIRED,N
39,CUSTOMER,ATTRIBUTE,ORDER_ID,REQUIRED,Y
40,CUSTOMER,ATTRIBUTE,ORDER_ITEM_ID,REQUIRED,Y
41,CUSTOMER,ATTRIBUTE,CONTRACT_ID,OPTIONAL,Y
42,CUSTOMER,ATTRIBUTE,SERIAL_NUMBER,OPTIONAL,Y
43,CUSTOMER,ATTRIBUTE,SALES_TYPE,REQUIRED,Y
44,CUSTOMER,ATTRIBUTE,SALES_ITEM,REQUIRED,Y
45,CUSTOMER,ATTRIBUTE,RENTAL_CODE,OPTIONAL,Y
46,CUSTOMER,ATTRIBUTE,LEASE_TYPE,OPTIONAL,Y
47,CUSTOMER,ATTRIBUTE,CONTRACT_DURATION,OPTIONAL,Y
48,CUSTOMER,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
49,CUSTOMER,ATTRIBUTE,CURRENT_TERM,OPTIONAL,Y
50,CUSTOMER,ATTRIBUTE,CHANNEL_TYPE,OPTIONAL,Y
51,CUSTOMER,ATTRIBUTE,CHANNEL_NAME,OPTIONAL,Y
52,CUSTOMER,ATTRIBUTE,CHANNEL_DETAIL,OPTIONAL,Y
53,CUSTOMER,ATTRIBUTE,REFERRAL_CODE,OPTIONAL,Y
54,CUSTOMER,ATTRIBUTE,CUSTOMER_INVOICE_ID,OPTIONAL,Y
55,CUSTOMER,ATTRIBUTE,VENDOR_ID,NOT_ALLOWED,N
56,CUSTOMER,ATTRIBUTE,PAYOUT_ID,NOT_ALLOWED,Y
57,CUSTOMER,ATTRIBUTE,VENDOR_INVOICE_ID,NOT_ALLOWED,Y
58,CUSTOMER,ATTRIBUTE,PURCHASE_ORDER,NOT_ALLOWED,Y
59,CUSTOMER,ATTRIBUTE,MATERIAL_ID,OPTIONAL,Y
60,CUSTOMER,ATTRIBUTE,MATERIAL_TYPE,OPTIONAL,Y
61,CUSTOMER,ATTRIBUTE,MATERIAL_CATEGORY_CODE,OPTIONAL,Y
62,CUSTOMER,ATTRIBUTE,PRODUCT_CATEGORY,OPTIONAL,Y
63,CUSTOMER,ATTRIBUTE,MATERIAL_SERIES_CODE,OPTIONAL,Y
64,CUSTOMER,ATTRIBUTE,INSTALLATION_TYPE,OPTIONAL,Y
65,CUSTOMER,ATTRIBUTE,FILTER_TYPE,OPTIONAL,Y
66,CUSTOMER,ATTRIBUTE,FEATURE_TYPE,OPTIONAL,Y
67,VENDOR,ASSIGNMENT,COST_CENTER,REQUIRED,N
68,VENDOR,ASSIGNMENT,PROFIT_CENTER,OPTIONAL,N
69,VENDOR,ASSIGNMENT,SEGMENT,OPTIONAL,N
70,VENDOR,ASSIGNMENT,PROJECT,OPTIONAL,N
71,VENDOR,ATTRIBUTE,CUSTOMER_ID,NOT_ALLOWED,N
72,VENDOR,ATTRIBUTE,ORDER_ID,NOT_ALLOWED,Y
73,VENDOR,ATTRIBUTE,ORDER_ITEM_ID,NOT_ALLOWED,Y
74,VENDOR,ATTRIBUTE,CONTRACT_ID,NOT_ALLOWED,Y
75,VENDOR,ATTRIBUTE,SERIAL_NUMBER,NOT_ALLOWED,Y
76,VENDOR,ATTRIBUTE,SALES_TYPE,NOT_ALLOWED,Y
77,VENDOR,ATTRIBUTE,SALES_ITEM,NOT_ALLOWED,Y
78,VENDOR,ATTRIBUTE,RENTAL_CODE,NOT_ALLOWED,Y
79,VENDOR,ATTRIBUTE,LEASE_TYPE,NOT_ALLOWED,Y
80,VENDOR,ATTRIBUTE,CONTRACT_DURATION,NOT_ALLOWED,Y
81,VENDOR,ATTRIBUTE,COMMITMENT_DURATION,OPTIONAL,Y
82,VENDOR,ATTRIBUTE,CURRENT_TERM,NOT_ALLOWED,Y
83,VENDOR,ATTRIBUTE,CHANNEL_TYPE,NOT_ALLOWED,Y
84,VENDOR,ATTRIBUTE,CHANNEL_NAME,NOT_ALLOWED,Y
85,VENDOR,ATTRIBUTE,CHANNEL_DETAIL,NOT_ALLOWED,Y
