doc_template_code,biz_category,biz_system,sales_type,biz_process,biz_event,account_event_category,account_event,text_kor,text_eng,is_active,biz_event_order,document_type,processing_type,order_item_status,charge_status,contract_status,service_flow_status,logistics_status
ONETIME_ORDER_RECEIPT,CUSTOMER,ONETIME,ONETIME,ORDER,ORDER_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,[일시불] 주문접수,,Y,1,ACCOUNTING_DOCUMENT,RULE,ORDER_RECEIVED,,,,
ONETIME_PAYMENT_DEPOSIT,CUSTOMER,ONETIME,ONETIME,ORDER,DEPOSIT_RECEIVED,ACCOUNT_RECEIVABLE,DEPOSIT_RECEIVED,[일시불] 대금입금,,Y,2,ACCOUNTING_DOCUMENT,RULE,ORDER_RECEIVED,,,,
ONETIME_PRODUCT_SHIPPED,CUSTOMER,ONETIME,ONETIME,ORDER,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[일시불] 제품출고,,Y,3,GOODS_ISSUE,RULE,BOOKING_CONFIRMED,,,SERVICE_SCHEDULED,
ONETIME_SALES_RECOGNITION,CUSTOMER,ONETIME,ONETIME,ORDER,INSTALLATION_COMPLETED,REVENUE,REVENUE_RECOGNITION,[일시불] 설치완료-매출인식,,Y,4,ACCOUNTING_DOCUMENT,RULE,INSTALL_COMPLETED,,,,
ONETIME_COGS_RECOGNITION,CUSTOMER,ONETIME,ONETIME,ORDER,INSTALLATION_COMPLETED,COGS,COGS_RECOGNITION,[일시불] 설치완료-매출원가 인식,,Y,5,ACCOUNTING_DOCUMENT,RULE,INSTALL_COMPLETED,,,,
ONETIME_ADVANCE_PAYMENT_OFFSET,CUSTOMER,ONETIME,ONETIME,ORDER,INSTALLATION_COMPLETED,ACCOUNT_RECEIVABLE,ADVANCE_PAYMENT_OFFSET,[일시불] 설치완료-선수금 대체,,Y,6,ACCOUNTING_DOCUMENT,RULE,INSTALL_COMPLETED,,,,
ONETIME_INVENTORY_PRICE_DIFFERENCE,CUSTOMER,ONETIME,ONETIME,ORDER,INSTALLATION_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[일시불] 설치완료-재고가액 확정,,N,7,ACCOUNTING_DOCUMENT,RULE,INSTALL_COMPLETED,,,,
ONETIME_PAYMENT_CANCEL_RECEIVED,CUSTOMER,ONETIME,ONETIME,CANCEL,ORDER_CANCEL_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_CANCEL_RECEIVED,[일시불:취소] 취소접수,,N,1,ACCOUNTING_DOCUMENT,RULE,CANCELLATION_RECEIVED,,,,
ONETIME_PAYMENT_AUTH_CANCELLED,CUSTOMER,ONETIME,ONETIME,CANCEL,PAYMENT_AUTH_CANCELLED,ACCOUNT_RECEIVABLE,PAYMENT_AUTH_CANCELLED,[일시불:취소] 승인취소,,Y,2,ACCOUNTING_DOCUMENT,RULE,CANCELLATION_COMPLETED,,,,
ONETIME_PAYMENT_CAPTURE_REVERSAL,CUSTOMER,ONETIME,ONETIME,CANCEL,PAYMENT_CAPTURE_REVERSAL,ACCOUNT_RECEIVABLE,PAYMENT_CAPTURE_REVERSAL,[일시불:취소] 매입취소,,Y,3,ACCOUNTING_DOCUMENT,RULE,CANCELLATION_COMPLETED,,,,
ONETIME_RETURN_RECEIVED,CUSTOMER,ONETIME,ONETIME,RETURN,RETURN_RECEIVED,,,[일시불:반품] 반품접수,,N,1,ACCOUNTING_DOCUMENT,RULE,REFUND_RECEIVED,,,,
ONETIME_RETURN_SALES_CANCELLED,CUSTOMER,ONETIME,ONETIME,RETURN,SALES_CANCELLED,REVENUE,REVENUE_CANCELLED,[일시불:반품] 매출취소,,Y,2,ACCOUNTING_DOCUMENT,RULE,REFUND_COMPLETED,,,,
ONETIME_RETURN_PAYMENT_REFUND,CUSTOMER,ONETIME,ONETIME,RETURN,PAYMENT_REFUNDED,ACCOUNT_RECEIVABLE,PAYMENT_REFUND,[일시불:반품] 환불,,Y,3,ACCOUNTING_DOCUMENT,RULE,REFUND_COMPLETED,,,,
ONETIME_RETURN_PRODUCT_RECEIPT,CUSTOMER,ONETIME,ONETIME,RETURN,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[일시불:반품] 반품입고,,Y,4,GOODS_RECEIPT,RULE,REFUND_COMPLETED,,,,
ONETIME_RETURN_PAYMENT_RECEIVED,CUSTOMER,ONETIME,ONETIME,RETURN,PAYMENT_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,[일시불:반품] 현장수납,,N,5,ACCOUNTING_DOCUMENT,RULE,REFUND_COMPLETED,,,,
ONETIME_RETURN_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,ONETIME,ONETIME,RETURN,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[일시불:반품] B급자산 폐기,,Y,6,GOODS_ISSUE,RULE,REFUND_COMPLETED,,,,
ONETIME_REPLACEMENT_RECEIVED,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,REPLACEMENT_RECEIVED,,,[일시불:교환] 접수완료,,N,1,ACCOUNTING_DOCUMENT,RULE,ORDER_CONFIRMED,,,SERVICE_CREATED,
ONETIME_REPLACEMENT_PRODUCT_SHIPPED,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[일시불:교환] 제품출고,,Y,2,GOODS_ISSUE,RULE,ORDER_CONFIRMED,,,SERVICE_SCHEDULED,
ONETIME_REPLACEMENT_INSTALLATION_COMPLETED,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,INSTALLATION_COMPLETED,COGS,COGS_RECOGNITION,[일시불:교환] 설치완료,,Y,3,ACCOUNTING_DOCUMENT,RULE,ORDER_CONFIRMED,,,SERVICE_COMPLETED,
ONETIME_REPLACEMENT_PRODUCT_RECEIPT,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[일시불:교환] 교환입고,,Y,4,GOODS_RECEIPT,RULE,ORDER_CONFIRMED,,,SERVICE_COMPLETED,
ONETIME_REPLACEMENT_INVENTORY_PRICE_DIFFERENCE,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,REPLACEMENT_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[일시불:교환] 재고가액 확정,,Y,5,ACCOUNTING_DOCUMENT,RULE,,,,,
ONETIME_REPLACEMENT_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,ONETIME,ONETIME,REPLACEMENT,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[일시불:반품] B급자산 폐기,,Y,6,GOODS_ISSUE,RULE,,,,,
