id,material_series_code,rental_code,material_care_type,price,currency,tax_included,period_type,start_date
1,NECOA_ROCT,N0000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
2,NECOA_ROCT,N3000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
3,NECOA_ROCT,N3N00A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
4,NECOA_ROCT,N3200A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
5,NECOA_ROCT,N32N0A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
6,NECOA_ROCT,N5000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
7,NECOA_ROCT,N5N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
8,NECOA_ROCT,30000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
9,NECOA_ROCT,3N000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
10,NECOA_ROCT,32000A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
11,NECOA_ROCT,32N00A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
12,NECOA_ROCT,32200A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
13,NECOA_ROCT,34000A,SELF_CARE,25.00,USD,N,MONTHLY,2024-01-01
14,NECOA_ROCT,50000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
15,NECOA_ROCT,5N000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
16,NECOA_ROCT,52000A,SELF_CARE,23.00,USD,N,MONTHLY,2024-01-01
17,NECOA_ROCT,70000A,SELF_CARE,30.00,USD,N,MONTHLY,2024-01-01
18,NECOA_ROCT,N0000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
19,NECOA_ROCT,N3000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
20,NECOA_ROCT,N3N00A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
21,NECOA_ROCT,N3200A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
22,NECOA_ROCT,N32N0A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
23,NECOA_ROCT,N5000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
24,NECOA_ROCT,N5N00A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
25,NECOA_ROCT,30000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
26,NECOA_ROCT,3N000A,HOME_CARE,55.00,USD,N,MONTHLY,2024-01-01
27,NECOA_ROCT,32000A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
28,NECOA_ROCT,32N00A,HOME_CARE,42.00,USD,N,MONTHLY,2024-01-01
29,NECOA_ROCT,32200A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
30,NECOA_ROCT,34000A,HOME_CARE,35.00,USD,N,MONTHLY,2024-01-01
31,NECOA_ROCT,50000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
32,NECOA_ROCT,5N000A,HOME_CARE,45.00,USD,N,MONTHLY,2024-01-01
33,NECOA_ROCT,52000A,HOME_CARE,33.00,USD,N,MONTHLY,2024-01-01
34,NECOA_ROCT,70000A,HOME_CARE,40.00,USD,N,MONTHLY,2024-01-01
35,NECOA_NTCT,N0000A,SELF_CARE,93.00,USD,N,MONTHLY,2024-01-01
36,NECOA_NTCT,N3000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
37,NECOA_NTCT,N3N00A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
38,NECOA_NTCT,N3200A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
39,NECOA_NTCT,N32N0A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
40,NECOA_NTCT,N5000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
41,NECOA_NTCT,N5N00A,SELF_CARE,50.00,USD,N,MONTHLY,2024-01-01
42,NECOA_NTCT,30000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
43,NECOA_NTCT,3N000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
44,NECOA_NTCT,32000A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
45,NECOA_NTCT,32N00A,SELF_CARE,46.00,USD,N,MONTHLY,2024-01-01
46,NECOA_NTCT,32200A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
47,NECOA_NTCT,34000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
48,NECOA_NTCT,50000A,SELF_CARE,36.00,USD,N,MONTHLY,2024-01-01
49,NECOA_NTCT,5N000A,SELF_CARE,50.00,USD,N,MONTHLY,2024-01-01
50,NECOA_NTCT,52000A,SELF_CARE,33.00,USD,N,MONTHLY,2024-01-01
51,NECOA_NTCT,70000A,SELF_CARE,43.00,USD,N,MONTHLY,2024-01-01
52,NECOA_NTCT,N0000A,HOME_CARE,103.00,USD,N,MONTHLY,2024-01-01
53,NECOA_NTCT,N3000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
54,NECOA_NTCT,N3N00A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
55,NECOA_NTCT,N3200A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
56,NECOA_NTCT,N32N0A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
57,NECOA_NTCT,N5000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
58,NECOA_NTCT,N5N00A,HOME_CARE,60.00,USD,N,MONTHLY,2024-01-01
59,NECOA_NTCT,30000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
60,NECOA_NTCT,3N000A,HOME_CARE,75.00,USD,N,MONTHLY,2024-01-01
61,NECOA_NTCT,32000A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
62,NECOA_NTCT,32N00A,HOME_CARE,56.00,USD,N,MONTHLY,2024-01-01
63,NECOA_NTCT,32200A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
64,NECOA_NTCT,34000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
65,NECOA_NTCT,50000A,HOME_CARE,46.00,USD,N,MONTHLY,2024-01-01
66,NECOA_NTCT,5N000A,HOME_CARE,60.00,USD,N,MONTHLY,2024-01-01
67,NECOA_NTCT,52000A,HOME_CARE,43.00,USD,N,MONTHLY,2024-01-01
68,NECOA_NTCT,70000A,HOME_CARE,53.00,USD,N,MONTHLY,2024-01-01
69,NECOA_ROICE,N0000A,SELF_CARE,65.00,USD,N,MONTHLY,2024-01-01
70,NECOA_ROICE,N3000A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
71,NECOA_ROICE,N3N00A,SELF_CARE,45.00,USD,N,MONTHLY,2024-01-01
72,NECOA_ROICE,N3200A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
73,NECOA_ROICE,N32N0A,SELF_CARE,32.00,USD,N,MONTHLY,2024-01-01
74,NECOA_ROICE,N5000A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
75,NECOA_ROICE,N5N00A,SELF_CARE,35.00,USD,N,MONTHLY,2024-01-01
